node u,node v,length,label
1,46,11.72,0
1,23,14.20,0
2,49,109.59,0
3,13,31.70,0
4,3,42.01,0
4,79,48.24,0
5,4,296.58,0
5,45,18.51,0
6,3,31.89,0
6,13,12.35,0
8,73,58.31,0
9,102,231.34,0
10,30,69.93,0
12,36,8.94,0
15,10,10.72,0
16,76,6.80,0
17,40,9.55,0
18,51,171.58,0
18,77,113.47,0
19,50,73.14,0
19,7,206.18,0
20,21,72.68,0
21,26,53.95,0
21,22,111.06,0
22,65,24.33,0
23,52,17.09,0
23,63,72.31,0
24,91,19.85,0
25,14,111.00,0
26,15,114.81,0
26,25,55.97,0
27,14,15.67,0
28,69,5.83,0
28,44,60.24,0
29,33,142.78,0
30,34,48.37,0
30,33,87.12,0
31,32,10.95,0
32,34,70.22,0
33,35,70.73,0
33,37,48.39,0
34,24,49.33,0
34,37,87.29,0
35,38,73.61,0
35,29,71.10,0
36,24,69.98,0
37,41,49.62,0
37,39,71.72,0
38,96,49.12,0
39,95,22.06,0
39,35,49.55,0
40,70,80.27,0
41,94,92.57,0
43,28,38.94,0
43,42,57.46,0
44,27,11.16,0
44,4,51.12,0
45,29,36.34,0
45,43,199.05,0
46,66,54.62,0
46,17,95.87,0
47,48,11.70,0
47,61,55.31,0
49,5,191.05,0
49,105,329.17,0
50,7,83.53,0
51,7,13.45,0
52,56,21.84,0
52,64,86.88,0
53,60,3.71,0
53,61,21.44,0
54,22,20.81,0
55,56,110.43,0
55,60,22.52,0
56,57,24.39,0
57,54,24.47,0
57,58,91.84,0
58,55,30.96,0
58,54,103.07,0
59,47,27.02,0
61,59,76.68,0
62,53,58.12,0
62,48,9.82,0
63,64,44.19,0
63,62,24.60,0
64,53,26.96,0
65,11,104.31,0
66,65,50.54,0
66,67,99.63,0
68,69,76.51,0
69,30,60.73,0
70,92,5.78,0
70,71,41.46,0
71,72,42.55,0
72,74,53.78,0
73,75,105.62,0
74,71,65.75,0
74,75,100.01,0
76,18,16.39,0
77,19,401.83,0
77,51,27.32,0
79,78,66.59,0
80,41,58.88,0
80,93,94.44,0
81,83,23.17,0
82,81,19.68,0
82,89,22.24,0
83,41,19.23,0
84,88,12.49,0
85,87,25.52,0
86,85,12.46,0
87,90,13.16,0
88,85,22.14,0
89,88,13.44,0
89,83,19.48,0
90,82,25.28,0
90,91,19.94,0
91,81,25.21,0
92,80,65.43,0
92,87,26.32,0
93,73,50.79,0
94,8,49.20,0
94,93,59.91,0
95,96,48.96,0
95,94,49.68,0
96,98,27.73,0
96,8,49.28,0
97,38,29.17,0
98,101,64.41,0
98,99,116.93,0
99,100,29.94,0
101,49,69.82,0
101,99,43.44,0
103,102,87.17,0
105,50,149.98,0
105,104,344.02,0
27,10,54.00,1
10,32,49.00,1
32,36,47.00,1
36,40,57.00,1
17,67,39.00,1
67,12,39.00,1
12,11,47.00,1
11,31,18.00,1
31,15,49.00,1
15,14,27.02,1
73,100,110.70,1
100,2,147.13,1
2,9,196.27,1
9,7,171.21,1
