ID,latitudine,longitudine
1,41.157781,15.3267894
2,41.1590114,15.3344885
3,41.1555497,15.3287905
4,41.1556813,15.3292608
5,41.1570182,15.3322341
6,41.1554363,15.3284406
7,41.1608856,15.3380284
8,41.1584882,15.3316715
9,41.1599047,15.3364549
10,41.1566241,15.3288117
11,41.1571652,15.3283937
12,41.1574137,15.3282788
13,41.1553457,15.328526
14,41.1561082,15.3289105
15,41.1565854,15.3286944
16,41.1615731,15.3364115
17,41.1579088,15.3280455
18,41.1615322,15.3366832
19,41.1600573,15.3390822
20,41.1557839,15.3260142
21,41.1560252,15.326821
22,41.1567557,15.3269567
23,41.1577055,15.3266549
24,41.1576804,15.3291524
25,41.15574,15.3276782
26,41.1562043,15.3274199
27,41.1561664,15.3290807
28,41.1563103,15.329886
29,41.1568133,15.3316392
30,41.156864,15.3295838
31,41.1570028,15.3284672
32,41.1570426,15.3285868
33,41.1571711,15.3305412
34,41.1572682,15.3293702
35,41.1574075,15.3313255
36,41.1574443,15.3283776
37,41.157576,15.3303293
38,41.1576736,15.3321306
39,41.1578252,15.3311195
40,41.1579372,15.3281532
41,41.1579912,15.330112
42,41.1558108,15.3294393
43,41.1559926,15.3300817
44,41.156138,15.3292086
45,41.1569528,15.3320317
46,41.1577505,15.3269234
47,41.1578547,15.3252746
48,41.1578621,15.325414
49,41.15828,15.3336218
50,41.1601819,15.3383282
51,41.1609917,15.337952
52,41.157556,15.3267024
53,41.1573193,15.3253796
54,41.1569377,15.3268989
55,41.1571372,15.3254792
56,41.157365,15.3267631
57,41.1571517,15.3268309
58,41.1569596,15.325764
59,41.1579054,15.3249594
60,41.1573008,15.3253428
61,41.157369,15.3251322
62,41.1578306,15.3255236
63,41.1577618,15.3258025
64,41.1573729,15.3256936
65,41.1568331,15.3272285
66,41.157274,15.3270819
67,41.1575838,15.3281986
68,41.1566087,15.330711
69,41.1563588,15.3298595
70,41.158224,15.3290331
71,41.158584,15.3290225
72,41.158959,15.3289216
73,41.1589761,15.3314164
74,41.1590549,15.3294148
75,41.1593828,15.3304688
76,41.1615611,15.3364912
77,41.1612321,15.3379415
78,41.1553984,15.3300516
79,41.1552478,15.3292818
80,41.158472,15.3298174
81,41.1578405,15.3296468
82,41.1580041,15.3295571
83,41.1579229,15.329901
84,41.1582984,15.3296936
85,41.1581155,15.3294984
86,41.1582186,15.3294401
87,41.1580257,15.3292179
88,41.1581933,15.3297418
89,41.1580813,15.3298022
90,41.1579165,15.3292785
91,41.157751,15.3293702
92,41.1582441,15.3290968
93,41.1588118,15.3308512
94,41.1583157,15.3311303
95,41.1579041,15.3313612
96,41.1580791,15.3318978
97,41.157429,15.3322229
98,41.1581782,15.3322018
99,41.1587689,15.3327283
100,41.1590381,15.3327326
101,41.1584085,15.3329078
102,41.1600305,15.3339009
103,41.159615,15.3331026
104,41.1589698,15.337311
105,41.1593803,15.3369906
