node u,node v,length,label
1,2,343.89,0
2,27,28.76,0
2,9,145.55,0
3,72,8.74,0
3,78,30.14,0
4,63,45.72,0
5,6,132.60,0
6,38,120.17,0
7,30,216.70,0
7,23,14.86,0
8,43,110.61,0
9,16,232.33,0
9,74,13.74,0
10,20,65.98,0
10,58,20.98,0
11,49,29.40,0
11,41,27.57,0
12,7,194.81,0
13,47,19.63,0
14,24,589.31,0
15,42,5.14,0
15,65,13.81,0
16,26,105.43,0
16,25,7.15,0
17,39,30.89,0
17,19,47.95,0
18,12,5.72,0
18,46,97.36,0
19,57,43.30,0
20,18,21.36,0
20,55,28.31,0
21,9,160.08,0
21,1,282.01,0
22,11,18.62,0
22,45,19.06,0
23,64,24.68,0
23,62,95.93,0
24,19,45.38,0
25,3,80.04,0
27,14,154.27,0
28,29,56.74,0
29,27,28.31,0
29,70,51.13,0
31,5,12.41,0
32,28,108.91,0
32,14,366.24,0
33,35,10.93,0
33,83,54.67,0
34,38,42.62,0
35,36,13.75,0
35,83,56.40,0
36,85,37.17,0
37,31,10.83,0
38,17,27.14,0
39,34,24.53,0
39,37,95.98,0
40,56,30.69,0
41,52,62.63,0
41,28,89.60,0
42,13,75.85,0
42,48,27.92,0
43,10,10.61,0
43,50,30.22,0
46,43,119.46,0
47,66,26.96,0
48,49,72.92,0
48,22,42.37,0
49,25,32.89,0
50,40,24.79,0
51,47,11.46,0
51,86,37.65,0
51,87,45.26,0
53,90,22.51,0
54,53,25.35,0
54,58,25.39,0
55,54,26.05,0
55,57,36.56,0
56,53,25.36,0
57,12,35.94,0
58,50,19.97,0
58,56,20.14,0
59,61,27.66,0
59,77,57.80,0
60,59,37.38,0
60,76,95.49,0
61,5,25.40,0
62,64,84.65,0
62,31,37.38,0
63,60,9.72,0
63,61,45.52,0
64,4,40.23,0
65,22,28.24,0
65,44,19.76,0
66,15,10.10,0
67,32,24.63,0
67,24,8.80,0
67,89,19.68,0
68,67,61.53,0
69,40,48.35,0
69,71,21.69,0
69,75,60.07,0
70,73,49.96,0
70,82,93.88,0
71,69,19.18,0
72,80,67.93,0
72,81,34.26,0
73,66,86.93,0
74,13,15.16,0
78,71,8.61,0
78,33,48.91,0
80,8,16.92,0
81,79,13.58,0
81,80,50.61,0
82,74,18.83,0
83,84,20.54,0
84,85,27.98,0
84,41,25.43,0
85,68,91.04,0
86,82,1.11,0
86,87,15.66,0
87,73,31.18,0
88,68,66.58,0
88,89,75.45,0
89,90,38.21,0
90,19,23.94,0
37,34,70.27,1
