ID,latitudine,longitudine
1,41.4311199,15.1265432
2,41.4332012,15.1242634
3,41.4339884,15.1216396
4,41.4304705,15.1213651
5,41.4313272,15.1220461
6,41.4308686,15.1233138
7,41.4306976,15.1205133
8,41.4333748,15.1210259
9,41.4344459,15.1244821
10,41.4327564,15.1219182
11,41.4342755,15.1228721
12,41.4319729,15.1218658
13,41.4344868,15.1241498
14,41.4317015,15.124768
15,41.4345387,15.1234774
16,41.4345881,15.1221613
17,41.4321187,15.1228005
18,41.4320231,15.1218511
19,41.4323214,15.1226306
20,41.4322142,15.1218692
21,41.4334855,15.1258233
22,41.4343143,15.1230726
23,41.4307247,15.1206735
24,41.4326919,15.1228565
25,41.4345379,15.1222135
26,41.43454,15.1209406
27,41.4329509,15.124193
28,41.4335878,15.1238419
29,41.4330905,15.1239918
30,41.4312831,15.119075
31,41.4313125,15.1218986
32,41.4327613,15.1231593
33,41.4340439,15.1221287
34,41.431792,15.1224321
35,41.4339572,15.1221904
36,41.4338508,15.1222737
37,41.4313559,15.122014
38,41.4318932,15.1229249
39,41.4320059,15.1225019
40,41.4331842,15.1222038
41,41.4340971,15.1230965
42,41.4345817,15.1234548
43,41.4328004,15.1218053
44,41.4343194,15.1234639
45,41.4342181,15.1232612
46,41.4320624,15.120844
47,41.4345015,15.1239151
48,41.4346118,15.1231804
49,41.4344038,15.1225651
50,41.4330291,15.1220009
51,41.434401,15.1238901
52,41.4336693,15.1235224
53,41.4327054,15.1224126
54,41.4326479,15.1221184
55,41.4324181,15.1220647
56,41.4329251,15.1223308
57,41.4321235,15.1222461
58,41.4328694,15.1221052
59,41.4309611,15.1219783
60,41.4308354,15.1215628
61,41.4311776,15.1218158
62,41.4312693,15.1214544
63,41.4308734,15.1214583
64,41.4306303,15.1209412
65,41.4344704,15.1233391
66,41.4345437,15.1235977
67,41.4327662,15.1228914
68,41.4332653,15.1232069
69,41.4335931,15.1220065
70,41.4335138,15.1242192
71,41.4337379,15.1219511
72,41.4339246,15.1215813
73,41.4339249,15.1241073
74,41.4344556,15.1243268
75,41.4331314,15.1216594
76,41.4308264,15.1226974
77,41.4310224,15.1226512
78,41.4338043,15.1218979
79,41.4337081,15.121821
80,41.433411,15.121223
81,41.4336307,15.121695
82,41.4342864,15.1243192
83,41.4341329,15.1226769
84,41.4340271,15.1228659
85,41.4338085,15.1227008
86,41.4342875,15.124306
87,41.4341812,15.1241828
88,41.4334131,15.1225816
89,41.4328299,15.1226747
90,41.4325167,15.1225105
