node u,node v,length,label
2,27,28.76,1
3,78,30.14,1
8,43,110.61,1
9,16,232.33,1
10,20,65.98,1
11,49,29.4,1
13,47,19.63,1
14,24,589.31,1
16,25,7.15,1
17,39,30.89,1
18,12,5.72,1
18,46,97.36,1
20,18,21.36,1
20,55,28.31,1
21,9,160.08,1
23,64,24.68,1
24,19,45.38,1
25,3,80.04,1
27,14,154.27,1
29,27,28.31,1
32,14,366.24,1
33,35,10.93,1
33,83,54.67,1
35,36,13.75,1
36,85,37.17,1
39,37,95.98,1
41,52,62.63,1
41,28,89.6,1
42,13,75.85,1
43,10,10.61,1
43,50,30.22,1
46,43,119.46,1
47,66,26.96,1
48,22,42.37,1
49,25,32.89,1
51,86,37.65,1
54,53,25.35,1
58,56,20.14,1
59,61,27.66,1
59,77,57.8,1
60,59,37.38,1
63,60,9.72,1
67,32,24.63,1
68,67,61.53,1
69,71,21.69,1
69,75,60.07,1
70,82,93.88,1
72,80,67.93,1
72,81,34.26,1
78,33,48.91,1
80,8,16.92,1
81,80,50.61,1
82,74,18.83,1
84,41,25.43,1
86,87,15.66,1
87,73,31.18,1
88,68,66.58,1
37,34,70.27,1
2,1,343.89,1
9,2,145.55,1
63,4,45.72,1
6,5,132.6,1
38,6,120.17,1
74,9,13.74,1
58,10,20.98,1
41,11,27.57,1
7,12,194.81,1
65,15,13.81,1
19,17,47.95,1
57,19,43.3,1
1,21,282.01,1
62,23,95.93,1
70,29,51.13,1
5,31,12.41,1
28,32,108.91,1
38,34,42.62,1
83,35,56.4,1
17,38,27.14,1
34,39,24.53,1
56,40,30.69,1
48,42,27.92,1
49,48,72.92,1
47,51,11.46,1
87,51,45.26,1
90,53,22.51,1
58,54,25.39,1
54,55,26.05,1
57,55,36.56,1
53,56,25.36,1
12,57,35.94,1
50,58,19.97,1
5,61,25.4,1
64,62,84.65,1
31,62,37.38,1
61,63,45.52,1
4,64,40.23,1
22,65,28.24,1
24,67,8.8,1
40,69,48.35,1
71,69,21.69,1
73,70,49.96,1
66,73,86.93,1
13,74,15.16,1
71,78,8.61,1
84,83,20.54,1
85,84,27.98,1
68,85,91.04,1
89,88,75.45,1
90,89,38.21,1
19,90,23.94,1
34,39,24.53,1
39,37,95.98,1
82,86,1.11,1
86,82,1.11,1
51,47,11.46,1
42,48,27.92,1
15,42,5.14,1
15,66,10.1,1
66,15,10.1,1
83,84,20.54,1
35,33,10.93,1
78,71,8.61,1
7,23,14.86,1
23,7,14.86,1
3,72,8.74,1
27,2,28.76,1
61,59,27.66,1
26,16,105.43,1
16,26,105.43,1
16,25,7.15,1
25,16,7.15,1
25,49,32.89,1
55,20,28.31,1
39,17,30.89,1
60,63,9.72,1
12,18,5.72,1
53,90,22.51,1
42,15,5.14,1
15,42,5.14,1
31,5,12.41,1
44,65,19.76,1
65,44,19.76,1
81,79,13.58,1
79,81,13.58,1
74,13,15.16,1
73,87,31.18,1
10,58,20.98,1
56,58,20.14,1
28,29,56.74,1
29,28,56.74,1
14,27,154.27,1
27,29,28.31,1
29,70,51.13,1
67,24,8.8,1
32,67,24.63,1
85,84,27.98,1
84,41,25.43,1
52,41,62.63,1
40,50,24.79,1
50,40,24.79,1
55,54,26.05,1
55,57,36.56,1
77,59,57.8,1
59,60,37.38,1
60,76,95.49,1
76,60,95.49,1
62,31,37.38,1
31,37,10.83,1
37,31,10.83,1
34,38,42.62,1
80,72,67.93,1
72,3,8.74,1
3,72,8.74,1
78,3,30.14,1
71,78,8.61,1
69,71,19.18,1
75,69,60.07,1
89,67,19.68,1
67,89,19.68,1
67,68,61.53,1
11,22,18.62,1
22,11,18.62,1
22,45,19.06,1
45,22,19.06,1
30,7,216.7,1
7,30,216.7,1
23,7,14.86,1
64,23,24.68,1
37,34,70.27,1
