node u,node v,length,label
1,33,410.43,0
2,1,35.29,0
2,34,43.65,0
3,8,55.70,0
4,39,96.25,0
5,10,22.10,0
6,5,99.49,0
8,19,107.38,0
10,9,119.29,0
11,36,148.07,0
13,27,7.95,0
13,29,101.72,0
14,18,71.56,0
15,17,64.45,0
16,4,13.28,0
17,16,7.74,0
18,17,143.87,0
19,31,13.94,0
20,19,86.81,0
22,24,33.38,0
22,11,395.46,0
23,41,34.96,0
24,23,42.51,0
24,26,55.70,0
26,23,47.88,0
27,22,10.18,0
28,32,80.48,0
29,30,42.94,0
29,28,79.81,0
30,37,224.35,0
30,32,82.17,0
31,2,189.57,0
32,31,184.78,0
33,28,70.54,0
33,13,88.15,0
36,21,77.80,0
36,35,40.86,0
37,20,26.68,0
37,36,158.80,0
38,16,82.80,0
39,3,84.35,0
39,38,102.34,0
41,25,96.91,0
41,40,139.10,0
6,7,7,0
6,9,40.86,0
9,14,64.45,0
13,40,9,0
36,39,39,0
3,7,160.00,1
20,12,216.70,1
12,7,216.70,1
