ID,latitudine,longitudine
1,41.1189885,15.2863701
2,41.1188895,15.2867342
3,41.1194459,15.2891724
4,41.1188037,15.2906767
5,41.1204368,15.2918744
6,41.1197861,15.2910956
7,41.1197566,15.2910194
8,41.11952,15.2885196
9,41.1194601,15.2913108
10,41.1202618,15.2919076
11,41.1217074,15.2885377
12,41.1199859,15.290504
13,41.1221846,15.283982
14,41.1189084,15.2916072
15,41.1186603,15.2913809
16,41.1187173,15.2905673
17,41.1186724,15.2906379
18,41.1183966,15.2921212
19,41.1198935,15.2873448
20,41.1204662,15.2880374
21,41.1201899,15.2902114
22,41.1223393,15.2840453
23,41.1228261,15.2843222
24,41.1224469,15.284387
25,41.1226823,15.2831049
26,41.1227088,15.2848722
27,41.122254,15.2840047
28,41.1212037,15.2845803
29,41.1218014,15.2850847
30,41.1216415,15.2855513
31,41.1199747,15.287218
32,41.1209618,15.2854854
33,41.1214067,15.2837825
34,41.1187058,15.287194
35,41.1208456,15.2898949
36,41.1206138,15.2895169
37,41.1206291,15.287805
38,41.1184826,15.2897559
39,41.1193211,15.2901635
40,41.1231207,15.2832752
41,41.1229117,15.2839206
