node u,node v,length,label
1,68,9.58,0
1,67,62.61,0
3,94,3.97,0
4,294,22.69,0
4,6,57.21,0
8,234,87.31,0
11,249,141.12,0
11,40,107.44,0
12,245,115.10,0
12,13,24.88,0
15,276,12.74,0
17,146,24.07,0
18,85,204.72,0
21,259,96.02,0
22,236,81.99,0
23,216,131.04,0
23,207,208.10,0
26,126,95.51,0
27,50,16.49,0
28,183,8.00,0
30,200,2.58,0
31,29,29.08,0
31,30,36.78,0
32,31,19.47,0
32,29,34.77,0
33,36,55.29,0
33,34,7.17,0
34,35,10.71,0
34,1,42.57,0
35,32,58.48,0
35,185,11.68,0
36,66,95.25,0
37,204,106.45,0
38,256,19.48,0
38,255,85.15,0
40,41,513.46,0
40,12,222.71,0
41,42,11.59,0
43,141,33.20,0
44,158,24.90,0
45,48,29.55,0
45,128,83.71,0
46,133,17.77,0
46,159,164.04,0
47,53,7.47,0
48,147,15.04,0
48,142,45.98,0
49,165,6.04,0
50,49,12.15,0
51,180,31.78,0
51,182,74.68,0
52,140,6.37,0
53,145,11.28,0
54,144,16.17,0
56,52,133.20,0
57,150,32.78,0
57,27,182.33,0
58,71,15.37,0
58,79,64.21,0
59,207,143.08,0
61,65,65.35,0
62,67,38.52,0
64,63,7.95,0
64,89,191.11,0
65,64,36.23,0
65,70,34.61,0
67,72,26.43,0
68,19,6.44,0
70,75,56.91,0
70,64,64.90,0
71,186,9.50,0
71,2,43.50,0
72,76,55.90,0
73,72,19.08,0
74,73,22.08,0
74,118,241.18,0
75,193,17.50,0
75,192,6.66,0
76,77,19.91,0
76,82,52.55,0
77,73,55.67,0
78,81,31.95,0
78,58,99.85,0
79,96,97.88,0
79,81,44.07,0
80,84,31.55,0
80,78,44.20,0
81,84,43.34,0
83,77,54.38,0
84,96,52.34,0
85,188,109.40,0
85,87,56.61,0
86,80,50.53,0
86,98,54.17,0
88,90,10.04,0
88,69,218.98,0
90,92,56.52,0
90,94,18.88,0
91,86,33.51,0
91,88,11.22,0
93,91,7.60,0
94,93,14.66,0
96,100,20.60,0
98,103,36.07,0
98,105,28.36,0
100,102,13.42,0
100,135,183.27,0
101,116,59.89,0
102,124,115.02,0
103,95,42.45,0
103,114,52.29,0
105,110,21.38,0
105,102,28.52,0
107,3,83.46,0
108,107,7.10,0
108,126,85.57,0
109,99,59.42,0
109,107,48.73,0
110,124,78.94,0
110,113,22.00,0
111,108,31.58,0
111,109,10.83,0
112,111,11.04,0
112,104,42.82,0
113,114,23.95,0
114,123,38.40,0
114,125,54.58,0
116,115,21.11,0
117,198,18.63,0
117,106,47.88,0
118,136,90.13,0
118,117,41.09,0
119,113,32.68,0
119,123,24.40,0
121,120,26.95,0
121,97,97.38,0
