ID,latitudine,longitudine
1,41.2004366,15.563305
2,41.2005317,15.5635514
3,41.2019278,15.5667349
4,41.2076049,15.5598424
5,41.2076675,15.5607109
6,41.2075833,15.5605253
7,41.2075244,15.5607285
8,41.207522,15.5605667
9,41.2076704,15.5605874
10,41.2071486,15.5609047
11,41.207958,15.5608739
12,41.2072629,15.5630593
13,41.2070881,15.5628928
14,41.2057751,15.5615256
15,41.2050644,15.560992
16,41.2049176,15.5616303
17,41.2039544,15.5619606
18,41.203414,15.5626945
19,41.2005798,15.5633256
20,41.2041778,15.562786
21,41.2058434,15.5613071
22,41.2069535,15.5641708
23,41.2068879,15.5635752
24,41.2070537,15.5647436
25,41.2070607,15.5649137
26,41.2022321,15.566697
27,41.2052723,15.5695319
28,41.1992726,15.5623334
29,41.1992352,15.5627855
30,41.1994587,15.5623081
31,41.1994949,15.562745
32,41.1995126,15.5629765
33,41.1999924,15.5633745
34,41.200056,15.5633602
35,41.1999916,15.563265
36,41.2000578,15.5640296
37,41.2050308,15.5610879
38,41.2046531,15.5606164
39,41.2044398,15.5602012
40,41.2071266,15.5613501
41,41.211294,15.5613499
42,41.2112991,15.5612115
43,41.203572,15.5658003
44,41.2047875,15.562934
45,41.2036276,15.5645892
46,41.2033567,15.563194
47,41.2036622,15.5678557
48,41.2037087,15.5649255
49,41.2054847,15.5697256
50,41.2053946,15.5696434
51,41.207699,15.569958
52,41.2035576,15.5705373
53,41.2037154,15.5679102
54,41.2037379,15.5682785
55,41.2039017,15.570897
56,41.2039405,15.5720159
57,41.2039407,15.5697655
58,41.2006288,15.5642397
59,41.2042523,15.5623528
60,41.2052909,15.563147
61,41.1996545,15.56225
62,41.20001,15.5626171
63,41.200129,15.561726
64,41.2002005,15.561726
65,41.200238,15.5621562
66,41.2002512,15.5649918
67,41.2003542,15.5625647
68,41.2005221,15.5633188
69,41.2005352,15.5647088
70,41.200547,15.5621065
71,41.2005837,15.5640664
72,41.2005897,15.5625222
73,41.2006091,15.5627488
74,41.2006404,15.5630094
75,41.2010551,15.5620248
76,41.2010871,15.562425
77,41.2011054,15.5626617
78,41.2011268,15.5652282
79,41.2011524,15.5645632
80,41.2013705,15.5656455
81,41.2013565,15.5649988
82,41.2015555,15.5623415
83,41.2015892,15.5625664
84,41.2015926,15.5654109
85,41.2016,15.5631075
86,41.2016354,15.5661363
87,41.2016882,15.5637679
88,41.2017119,15.5665326
89,41.2017361,15.5608858
90,41.2017506,15.566641
91,41.2018014,15.5664706
92,41.2018115,15.5671618
93,41.2018421,15.5665435
94,41.2019095,15.5666941
95,41.2019163,15.5664109
96,41.2019618,15.5650229
97,41.2019724,15.5635628
98,41.202039,15.5657736
99,41.2020511,15.5677321
100,41.2020928,15.5651841
101,41.2021196,15.5616755
102,41.2021602,15.5653172
103,41.2022301,15.566122
104,41.2022542,15.5684158
105,41.2022488,15.5655808
106,41.2022572,15.5620064
107,41.2022978,15.5676029
108,41.2023285,15.5676773
109,41.2023833,15.5680658
110,41.2024058,15.5654333
111,41.2024693,15.5680051
112,41.2025182,15.56812
113,41.2025242,15.5656439
114,41.202638,15.565887
115,41.2026608,15.5614696
116,41.2026544,15.5617218
117,41.2026864,15.5619609
118,41.2027218,15.5624498
119,41.202768,15.5654258
120,41.2027997,15.5640203
121,41.2028077,15.5636983
122,41.2028216,15.569624
123,41.2029208,15.5656236
124,41.2029896,15.5648965
125,41.2029954,15.5659979
126,41.202995,15.567166
127,41.2030269,15.5693134
128,41.2030408,15.5639769
129,41.2030503,15.5638115
130,41.2030567,15.5619567
131,41.2031124,15.5615074
132,41.203166,15.5650781
133,41.2031969,15.5631934
134,41.2032825,15.5652909
135,41.2033007,15.5649525
136,41.2033529,15.5619389
137,41.2034004,15.5688256
138,41.2034627,15.5615816
139,41.2034718,15.563812
140,41.2035282,15.5704719
141,41.2035865,15.5661967
142,41.203602,15.5654542
143,41.2037074,15.568213
144,41.2037659,15.5684682
145,41.2037957,15.5679925
146,41.2037773,15.5617952
147,41.2038131,15.5650398
148,41.203855,15.5625532
149,41.2038804,15.5692701
150,41.2039467,15.5701572
151,41.2039482,15.5664079
152,41.2039557,15.5707428
153,41.204002,15.5671252
154,41.2043325,15.5671214
155,41.2044113,15.567922
156,41.2044392,15.5679757
157,41.2045086,15.5675067
158,41.2046847,15.5631866
159,41.2047121,15.5637627
160,41.2047548,15.5680292
161,41.2048441,15.5687674
162,41.2051204,15.5702263
163,41.205314,15.5713364
164,41.2054538,15.5692405
165,41.2055203,15.5697802
166,41.2059361,15.5697533
167,41.2063429,15.5697956
168,41.2063561,15.5699954
169,41.2063695,15.5701437
170,41.2067073,15.5730425
171,41.2070074,15.5698736
172,41.2070245,15.5724762
173,41.2070702,15.5704256
174,41.2070859,15.5720118
175,41.2071423,15.5721204
176,41.20716,15.5740497
177,41.2072237,15.5705537
178,41.207304,15.5742073
179,41.2074228,15.5703537
180,41.2074145,15.5699216
181,41.2076449,15.5706023
182,41.207746,15.5708483
183,41.1993443,15.5623255
184,41.1993828,15.5622475
185,41.1999807,15.5631262
186,41.2005024,15.5641011
187,41.2005273,15.5643868
188,41.2006289,15.5633174
189,41.2005689,15.5623783
190,41.2005651,15.5623318
191,41.2010324,15.5617887
192,41.2010474,15.5619459
193,41.2010717,15.5622328
194,41.2013935,15.5618619
195,41.2014845,15.5618845
196,41.2015505,15.5618243
197,41.2016289,15.5621679
198,41.202657,15.5617417
199,41.1991457,15.562685
200,41.1994813,15.5623012
201,41.2037643,15.5611631
202,41.2038034,15.5609989
203,41.2039767,15.5613355
204,41.2041002,15.5610799
205,41.2051126,15.5590875
206,41.2051698,15.5591291
207,41.2052681,15.5624558
208,41.2052838,15.5626863
209,41.2052875,15.5629823
210,41.2054093,15.5615921
211,41.205779,15.5620981
212,41.2059424,15.5592488
213,41.2059563,15.5635616
214,41.2060904,15.5633133
215,41.2061258,15.5639566
216,41.2061538,15.5625788
217,41.2063417,15.5638763
218,41.2063531,15.5632715
219,41.2064575,15.5645779
220,41.2064684,15.5651669
221,41.2065215,15.5638095
222,41.2066177,15.5643052
223,41.206676,15.5637601
224,41.2066896,15.5646424
225,41.2067663,15.563733
226,41.2067626,15.5642496
227,41.2067998,15.5598261
228,41.2068354,15.5651136
229,41.206853,15.5637071
230,41.2068474,15.5646862
231,41.2068816,15.563839
232,41.20687,15.5653798
233,41.2069519,15.5641857
234,41.2071167,15.5598382
235,41.2072435,15.5608802
236,41.2072274,15.5648184
237,41.2073746,15.5642229
238,41.2073782,15.5638426
239,41.2075347,15.5608319
240,41.2076669,15.5641766
241,41.2076778,15.5608023
242,41.2077305,15.5605306
243,41.2078189,15.5601203
244,41.2078497,15.5600753
245,41.2078866,15.5640977
246,41.2081,15.5639017
247,41.2083207,15.5645313
248,41.2083936,15.5636247
249,41.2084618,15.5617067
250,41.2089355,15.5607019
251,41.2099313,15.5612555
252,41.2090078,15.5598743
253,41.2090759,15.5597705
254,41.2097048,15.5605327
255,41.2041839,15.5602001
256,41.2045426,15.5604391
257,41.2047959,15.5591856
258,41.2049793,15.5595949
259,41.2051324,15.5606799
260,41.2051963,15.5605411
261,41.2056058,15.5603763
262,41.2056833,15.5603644
263,41.2059395,15.5601002
264,41.2059715,15.5602926
265,41.2059104,15.5621809
266,41.2060636,15.5617522
267,41.204253,15.5591882
268,41.2046521,15.5586733
269,41.2046662,15.559406
270,41.2048195,15.5599119
271,41.2052987,15.5603252
272,41.2057134,15.5599775
273,41.2033853,15.5609206
274,41.2034168,15.5611913
275,41.2036903,15.5609972
276,41.2049709,15.560904
277,41.2043464,15.5593179
278,41.2043434,15.5590769
279,41.2044518,15.559192
280,41.2047383,15.5587376
281,41.2050042,15.5589362
282,41.2048669,15.5604605
283,41.2059793,15.5596571
284,41.2060797,15.5604898
285,41.206104,15.5594105
286,41.2061049,15.5603555
287,41.2064685,15.5596672
288,41.2065371,15.5598672
289,41.2060898,15.559706
290,41.2062115,15.5596754
291,41.2068275,15.5601687
292,41.2070191,15.5598962
293,41.207021,15.5602704
294,41.2077989,15.5599266
295,41.2079587,15.5591279
296,41.2096989,15.5605498
297,41.2097364,15.5608791
298,41.2098269,15.5606371
299,41.2099196,15.5603993
300,41.2036184,15.5703977
301,41.2037425,15.5702944
302,41.2101192,15.5614999
