node u,node v,length,label
1,67,62.61,1
3,94,3.97,1
4,294,22.69,1
8,234,87.31,1
21,259,96.02,1
22,236,81.99,1
23,216,131.04,1
32,29,34.77,1
33,34,7.17,1
34,35,10.71,1
34,1,42.57,1
35,32,58.48,1
36,66,95.25,1
37,204,106.45,1
40,12,222.71,1
43,141,33.2,1
44,158,24.9,1
45,48,29.55,1
45,128,83.71,1
48,147,15.04,1
48,142,45.98,1
52,140,6.37,1
54,144,16.17,1
56,52,133.2,1
57,150,32.78,1
59,207,143.08,1
64,89,191.11,1
65,70,34.61,1
67,72,26.43,1
70,64,64.9,1
71,186,9.5,1
72,76,55.9,1
73,72,19.08,1
74,118,241.18,1
75,192,6.66,1
76,77,19.91,1
76,82,52.55,1
77,73,55.67,1
78,81,31.95,1
80,84,31.55,1
84,96,52.34,1
85,87,56.61,1
86,80,50.53,1
90,92,56.52,1
91,86,33.51,1
98,105,28.36,1
100,102,13.42,1
102,124,115.02,1
103,95,42.45,1
105,102,28.52,1
107,3,83.46,1
109,107,48.73,1
110,124,78.94,1
111,109,10.83,1
113,114,23.95,1
114,125,54.58,1
116,115,21.11,1
117,198,18.63,1
117,106,47.88,1
118,136,90.13,1
118,117,41.09,1
119,113,32.68,1
119,123,24.4,1
129,139,47.17,1
129,45,92.58,1
132,119,52.96,1
132,134,22.02,1
133,129,59.79,1
134,43,53.41,1
141,151,43.93,1
141,47,139.56,1
142,43,29.15,1
144,149,68.29,1
149,57,41.98,1
150,152,49,1
152,55,14.23,1
152,162,149.03,1
155,157,51.51,1
156,161,80.09,1
156,160,48.82,1
158,133,183.83,1
162,165,58.05,1
162,163,126.7,1
166,168,57.26,1
167,166,45.37,1
168,169,12.5,1
171,173,46.7,1
171,167,74.18,1
174,175,11.04,1
186,36,59.96,1
188,19,5.5,1
189,190,3.91,1
190,193,56.94,1
198,116,1.69,1
201,274,40.66,1
202,201,14.41,1
204,267,193.78,1
205,280,70.95,1
207,208,19.44,1
208,209,24.77,1
209,60,13.78,1
214,213,25.57,1
217,222,63.73,1
218,214,30.57,1
222,221,42.83,1
223,225,10.29,1
225,229,9.88,1
226,223,42.07,1
226,233,21.72,1
227,291,28.83,1
230,226,37.72,1
231,237,63.74,1
232,220,48.33,1
235,293,56.79,1
239,235,32.63,1
246,245,28.84,1
247,248,106.28,1
248,246,40.04,1
254,253,133.21,1
260,261,49.62,1
278,268,52.27,1
284,262,46.75,1
293,292,40.15,1
302,42,133.48,1
210,16,53,1
229,231,77,1
18,20,48,1
50,41,1055.48,1
242,251,252.56,1
15,37,252.56,1
37,16,252.56,1
238,13,252.56,1
13,266,252.56,1
266,14,252.56,1
14,15,252.56,1
20,59,37.18,1
6,4,57.21,1
40,11,107.44,1
276,15,12.74,1
85,18,204.72,1
207,23,208.1,1
126,26,95.51,1
50,27,16.49,1
29,31,29.08,1
31,32,19.47,1
36,33,55.29,1
41,40,513.46,1
42,41,11.59,1
133,46,17.77,1
159,46,164.04,1
165,49,6.04,1
49,50,12.15,1
180,51,31.78,1
145,53,11.28,1
27,57,182.33,1
79,58,64.21,1
65,61,65.35,1
67,62,38.52,1
64,65,36.23,1
19,68,6.44,1
75,70,56.91,1
2,71,43.5,1
73,74,22.08,1
193,75,17.5,1
58,78,99.85,1
96,79,97.88,1
81,79,44.07,1
78,80,44.2,1
84,81,43.34,1
77,83,54.38,1
188,85,109.4,1
90,88,10.04,1
94,90,18.88,1
88,91,11.22,1
91,93,7.6,1
100,96,20.6,1
103,98,36.07,1
135,100,183.27,1
116,101,59.89,1
114,103,52.29,1
126,108,85.57,1
113,110,22,1
108,111,31.58,1
123,114,38.4,1
134,123,48.91,1
47,126,93.99,1
124,132,25.01,1
132,135,18.3,1
142,135,53.7,1
138,136,32.6,1
127,140,111.81,1
149,144,68.29,1
27,145,208.67,1
154,153,44.69,1
46,158,152.65,1
49,166,50.39,1
168,167,16.78,1
170,172,65.44,1
181,179,39.49,1
184,183,7.81,1
30,183,12.8,1
186,187,24.06,1
74,188,27.84,1
70,190,18.96,1
191,192,13.26,1
194,192,39.29,1
76,193,16.17,1
29,199,13.03,1
204,202,33.7,1
281,205,17.48,1
218,208,130.08,1
209,214,93.54,1
225,218,60.02,1
223,221,17.67,1
226,222,16.77,1
232,228,22.6,1
24,230,23.44,1
236,232,83.99,1
240,238,90.48,1
241,239,16.1,1
11,241,32.03,1
9,242,8.2,1
295,243,104.42,1
296,244,238.05,1
246,247,65.36,1
253,252,11.52,1
252,254,96.25,1
39,256,22.95,1
286,264,15.82,1
278,267,13.74,1
258,270,31.92,1
259,276,31.51,1
241,5,7,1
9,5,7,1
6,9,7,1
8,6,7,1
7,8,7,1
239,7,7,1
210,14,41,1
44,20,45,1
60,44,42,1
238,23,70,1
233,24,55,1
22,233,4,1
231,22,29,1
148,59,48.26,1
251,302,22,1
59,207,143.08,1
207,23,208.1,1
23,238,70,1
16,17,120,1
17,18,82,1
18,20,48,1
41,40,513.46,1
40,12,222.71,1
12,13,24.88,1
13,266,252.56,1
266,14,252.56,1
14,210,41,1
210,16,53,1
16,17,120,1
17,18,82,1
18,20,48,1
20,44,45,1
44,158,24.9,1
158,46,152.65,1
46,133,17.77,1
133,129,59.79,1
129,45,92.58,1
45,48,29.55,1
48,142,45.98,1
142,43,29.15,1
43,141,33.2,1
141,47,139.56,1
47,53,7.47,1
53,145,11.28,1
145,27,208.67,1
27,50,16.49,1
251,302,22,1
302,42,133.48,1
42,41,11.59,1
41,40,513.46,1
40,11,107.44,1
11,241,32.03,1
241,5,7,1
5,9,7,1
9,242,8.2,1
147,48,15.04,1
35,34,10.71,1
10,235,10.79,1
235,10,10.79,1
190,189,3.91,1
243,244,5.09,1
116,198,1.69,1
28,183,8,1
183,28,8,1
72,73,19.08,1
224,230,17.93,1
230,224,17.93,1
254,296,1.57,1
296,254,1.57,1
192,75,6.66,1
6,8,7,1
81,78,31.95,1
7,239,7,1
8,7,7,1
8,6,7,1
169,168,12.5,1
298,299,22.41,1
299,298,22.41,1
278,279,15.43,1
279,278,15.43,1
49,165,6.04,1
87,85,56.61,1
186,71,9.5,1
288,287,21.5,1
287,288,21.5,1
195,194,10.49,1
194,195,10.49,1
61,65,65.35,1
105,110,21.38,1
110,105,21.38,1
260,259,13.61,1
30,200,2.58,1
200,30,2.58,1
274,201,40.66,1
201,203,27.69,1
203,201,27.69,1
122,127,43.76,1
127,122,43.76,1
267,277,20.52,1
277,267,20.52,1
265,266,41.27,1
266,265,41.27,1
300,140,11.8,1
140,300,11.8,1
236,25,22,1
25,236,22,1
26,126,95.51,1
124,132,25.01,1
135,132,18.3,1
177,179,37.7,1
179,177,37.7,1
112,111,11.04,1
205,206,7.25,1
206,205,7.25,1
280,205,70.95,1
205,281,17.48,1
150,301,25.44,1
301,150,25.44,1
158,44,24.9,1
94,93,14.66,1
93,94,14.66,1
93,91,7.6,1
172,174,39.5,1
174,172,39.5,1
188,74,27.84,1
19,188,5.5,1
68,19,6.44,1
68,1,9.58,1
1,68,9.58,1
201,202,14.41,1
55,152,14.23,1
290,289,13.77,1
289,290,13.77,1
131,136,61.47,1
136,131,61.47,1
107,108,7.1,1
108,107,7.1,1
14,210,41,1
52,56,133.2,1
