node u,node v,length,label
1,2,15.28,0
4,1,57.46,0
5,100,109.43,0
6,7,106.11,0
7,24,10.23,0
7,32,44.16,0
8,25,87.75,0
9,8,51.42,0
9,116,85.77,0
10,27,170.10,0
11,13,31.35,0
11,47,39.40,0
12,48,22.27,0
12,72,75.60,0
13,104,125.54,0
14,68,15.92,0
15,60,107.54,0
17,28,13.34,0
17,59,55.52,0
18,24,172.75,0
19,97,6.48,0
22,26,115.00,0
22,21,338.12,0
23,22,144.55,0
23,27,174.64,0
24,3,50.17,0
25,10,32.89,0
25,23,48.48,0
26,21,337.88,0
27,96,37.75,0
28,61,43.02,0
28,69,36.94,0
29,38,46.25,0
31,45,51.74,0
32,82,47.69,0
32,30,119.93,0
33,120,71.09,0
35,93,14.87,0
36,37,21.29,0
37,29,29.40,0
37,62,31.85,0
47,50,41.50,0
47,49,32.54,0
48,66,22.75,0
49,72,39.39,0
50,51,19.27,0
50,108,35.12,0
51,52,13.61,0
51,105,63.48,0
53,54,19.33,0
54,56,9.61,0
54,58,158.80,0
55,60,54.29,0
57,55,40.53,0
60,17,99.27,0
66,65,55.44,0
66,71,33.85,0
67,99,10.55,0
67,66,54.56,0
68,92,23.83,0
68,67,142.85,0
72,11,26.55,0
72,65,42.96,0
73,50,30.75,0
73,49,39.92,0
74,34,16.40,0
74,49,76.46,0
75,77,14.47,0
78,81,40.38,0
80,43,24.35,0
84,83,17.64,0
85,87,22.05,0
87,88,18.16,0
88,89,52.27,0
89,90,23.28,0
89,64,41.65,0
92,91,45.72,0
92,97,67.30,0
94,10,195.38,0
95,9,273.67,0
96,26,10.41,0
97,33,40.45,0
99,48,73.48,0
102,103,107.19,0
104,106,94.89,0
106,107,50.53,0
106,111,66.29,0
107,51,44.84,0
109,110,48.05,0
111,95,65.43,0
111,70,64.86,0
112,114,82.24,0
114,113,63.63,0
114,118,23.42,0
115,116,62.70,0
116,112,98.77,0
117,115,45.53,0
117,115,106.03,0
118,117,22.10,0
118,119,67.53,0
120,12,3.52,0
15,53,11,0
53,20,15,0
20,19,49,0
19,15,60,0
97,98,27,0
73,74,83,0
74,110,50,0
98,91,17,0
60,63,190,0
63,36,1,0
36,2,1,0
2,63,1,0
2,39,52,0
1,40,24,0
40,41,43,0
40,42,57,0
43,42,13,0
42,41,16,0
41,39,24,0
39,29,19,0
6,5,71,0
5,9,45,0
39,75,39,0
75,76,17,0
90,38,9,0
90,30,34,0
38,76,43,0
76,78,22,0
78,79,17,0
79,44,100,0
44,45,23,0
31,32,19,0
3,84,12,0
84,46,24,0
33,35,28,1
20,102,140.00,1
102,109,5.00,1
109,86,160.00,1
86,6,180.00,1
55,59,120.00,1
59,62,110.00,1
46,44,37.00,1
98,99,70.00,1
13,47,61.76,1
3,4,172.60,1
4,16,172.60,1
16,15,172.60,1
35,101,172.60,1
101,34,172.60,1
34,120,28.79,1
