ID,latitudine,longitudine
1,41.3976998,15.1949464
2,41.3975743,15.195021
3,41.3989711,15.1962609
4,41.3980975,15.1945592
5,41.3984326,15.1979402
6,41.3980407,15.1972044
7,41.3988521,15.1969542
8,41.3985294,15.1990696
9,41.3985268,15.1984632
10,41.3993539,15.2000018
11,41.3947636,15.194729
12,41.3953441,15.1937858
13,41.3946678,15.1950825
14,41.3955364,15.1912717
15,41.3962102,15.192445
16,41.3970958,15.1928025
17,41.3969187,15.1945176
18,41.400215,15.1961933
19,41.3957464,15.1925228
20,41.3960554,15.1927947
21,41.3972287,15.2044952
22,41.3984749,15.2016383
23,41.3988796,15.200164
24,41.3988923,15.1968439
25,41.3991533,15.1997121
26,41.3992148,15.2026013
27,41.3992622,15.2020276
28,41.3969827,15.1946528
29,41.3976273,15.1956698
30,41.3977003,15.1963719
31,41.3984075,15.1968258
32,41.3984617,15.1970303
33,41.3955633,15.1929406
34,41.3955854,15.1939074
35,41.3957852,15.1930591
36,41.3974803,15.1950971
37,41.397554,15.1953314
38,41.3976977,15.1962162
39,41.3978226,15.1956686
40,41.3978355,15.195168
41,41.3980307,15.1956092
42,41.3981623,15.1955071
43,41.3982408,15.1954446
44,41.398325,15.1965649
45,41.398385,15.1967043
46,41.3986299,15.1963823
47,41.3950551,15.1949976
48,41.39515,15.1937201
49,41.3952307,15.1946856
50,41.3953579,15.1952884
51,41.3954989,15.1954228
52,41.395592,15.1955288
53,41.3961577,15.1925729
54,41.39624,15.1927687
55,41.3962584,15.1935155
56,41.3962938,15.1928589
57,41.3963052,15.1930336
58,41.396344,15.1945341
59,41.3965255,15.1949177
60,41.3967287,15.1933665
61,41.3968378,15.195126
62,41.3973384,15.195578
63,41.3974903,15.1949521
64,41.3974931,15.1956728
65,41.3946515,15.19411
66,41.3949677,15.1935962
67,41.3950727,15.1929593
68,41.395528,15.191459
69,41.3972318,15.1948076
70,41.3960275,15.195362
71,41.3947523,15.1933171
72,41.3949166,15.1944846
73,41.3955116,15.1949819
74,41.3956916,15.1940437
75,41.3978721,15.1958947
76,41.3978918,15.1961928
77,41.3979165,15.1957407
78,41.3979746,15.1961548
79,41.3980804,15.1962659
80,41.3981414,15.1951846
81,41.3981471,15.1957288
82,41.3988021,15.1966914
83,41.3988337,15.1965114
84,41.3988524,15.1963026
85,41.3968023,15.1955987
86,41.3968072,15.1958745
87,41.3969359,15.1957909
88,41.3970802,15.1958929
89,41.3974981,15.1961718
90,41.3976982,15.1962494
91,41.3953226,15.1922054
92,41.3955441,15.1917437
93,41.3958613,15.1929291
94,41.4000829,15.2021059
95,41.3965492,15.1965133
96,41.3992286,15.2024779
97,41.3956942,15.1924882
98,41.3954553,15.1923064
99,41.3951657,15.1929841
100,41.3990337,15.1970923
101,41.3956518,15.1937286
102,41.3960192,15.1942378
103,41.3965689,15.1952875
104,41.3950207,15.1962696
105,41.3959401,15.1952182
106,41.3955238,15.1963882
107,41.3952832,15.1958743
108,41.3951799,15.1956362
109,41.396057,15.1944034
110,41.3957937,15.194
111,41.3960566,15.1960928
112,41.4000306,15.1993137
113,41.4003432,15.1976345
114,41.4001846,15.1983675
115,41.3994277,15.197982
116,41.3992762,15.1987061
117,41.3998181,15.1981464
118,41.399986,15.198274
119,41.3999053,15.1976646
120,41.3953567,15.1937471
