node u,node v,length,label
4,1,57.46,1
6,7,106.11,1
7,24,10.23,1
8,25,87.75,1
9,8,51.42,1
9,116,85.77,1
11,13,31.35,1
12,48,22.27,1
12,72,75.6,1
13,104,125.54,1
17,28,13.34,1
22,21,338.12,1
23,22,144.55,1
23,27,174.64,1
24,3,50.17,1
25,23,48.48,1
27,96,37.75,1
28,61,43.02,1
28,69,36.94,1
32,82,47.69,1
32,30,119.93,1
33,120,71.09,1
37,62,31.85,1
47,49,32.54,1
49,72,39.39,1
50,51,19.27,1
51,52,13.61,1
51,105,63.48,1
54,58,158.8,1
66,71,33.85,1
67,66,54.56,1
68,92,23.83,1
72,11,26.55,1
72,65,42.96,1
73,50,30.75,1
74,34,16.4,1
74,49,76.46,1
84,83,17.64,1
87,88,18.16,1
88,89,52.27,1
89,90,23.28,1
92,91,45.72,1
95,9,273.67,1
96,26,10.41,1
97,33,40.45,1
104,106,94.89,1
106,107,50.53,1
106,111,66.29,1
107,51,44.84,1
109,110,48.05,1
111,95,65.43,1
118,119,67.53,1
120,12,3.52,1
1,40,24,1
40,41,43,1
40,42,57,1
42,41,16,1
41,39,24,1
90,38,9,1
38,76,43,1
76,78,22,1
44,45,23,1
31,32,19,1
3,84,12,1
84,46,24,1
33,35,28,1
20,102,140,1
102,109,5,1
109,86,160,1
86,6,180,1
55,59,120,1
59,62,110,1
46,44,37,1
98,99,70,1
13,47,61.76,1
3,4,172.6,1
4,16,172.6,1
16,15,172.6,1
35,101,172.6,1
101,34,172.6,1
34,120,28.79,1
2,1,15.28,1
32,7,44.16,1
27,10,170.1,1
47,11,39.4,1
60,15,107.54,1
59,17,55.52,1
24,18,172.75,1
26,22,115,1
10,25,32.89,1
21,26,337.88,1
38,29,46.25,1
45,31,51.74,1
37,36,21.29,1
29,37,29.4,1
50,47,41.5,1
66,48,22.75,1
54,53,19.33,1
60,55,54.29,1
17,60,99.27,1
65,66,55.44,1
99,67,10.55,1
67,68,142.85,1
49,73,39.92,1
81,78,40.38,1
97,92,67.3,1
10,94,195.38,1
48,99,73.48,1
103,102,107.19,1
70,111,64.86,1
114,112,82.24,1
118,114,23.42,1
116,115,62.7,1
112,116,98.77,1
115,117,45.53,1
115,117,106.03,1
117,118,22.1,1
53,15,11,1
20,53,15,1
19,20,49,1
15,19,60,1
98,97,27,1
110,74,50,1
91,98,17,1
63,60,190,1
36,63,1,1
2,36,1,1
63,2,1,1
39,2,52,1
42,43,13,1
29,39,19,1
5,6,71,1
9,5,45,1
30,90,34,1
79,78,17,1
44,79,100,1
62,37,31.85,1
37,36,21.29,1
36,63,1,1
63,60,190,1
60,55,54.29,1
15,53,11,1
53,20,15,1
47,11,39.4,1
11,13,31.35,1
99,48,73.48,1
48,12,22.27,1
12,120,3.52,1
120,33,71.09,1
6,7,106.11,1
7,24,10.23,1
24,3,50.17,1
3,84,12,1
84,46,24,1
120,33,71.09,1
33,97,40.45,1
97,98,27,1
44,45,23,1
45,31,51.74,1
31,32,19,1
32,7,44.16,1
7,24,10.23,1
24,3,50.17,1
22,23,144.55,1
48,12,22.27,1
36,63,1,1
11,47,39.4,1
77,75,14.47,1
75,77,14.47,1
28,17,13.34,1
24,7,10.23,1
111,70,64.86,1
41,42,16,1
14,68,15.92,1
68,14,15.92,1
83,84,17.64,1
25,10,32.89,1
54,56,9.61,1
56,54,9.61,1
90,38,9,1
89,64,41.65,1
64,89,41.65,1
15,53,11,1
115,116,62.7,1
78,81,40.38,1
114,113,63.63,1
113,114,63.63,1
26,96,10.41,1
96,27,37.75,1
66,67,54.56,1
71,66,33.85,1
19,97,6.48,1
97,19,6.48,1
92,97,67.3,1
62,37,31.85,1
93,35,14.87,1
35,93,14.87,1
69,28,36.94,1
61,28,43.02,1
105,51,63.48,1
51,50,19.27,1
50,108,35.12,1
108,50,35.12,1
100,5,109.43,1
5,100,109.43,1
117,118,22.1,1
1,4,57.46,1
1,40,24,1
40,1,24,1
42,40,57,1
43,42,13,1
43,80,24.35,1
80,43,24.35,1
73,74,83,1
74,73,83,1
34,74,16.4,1
76,38,43,1
38,90,9,1
90,89,23.28,1
89,88,52.27,1
88,87,18.16,1
87,85,22.05,1
85,87,22.05,1
57,55,40.53,1
55,57,40.53,1
107,106,50.53,1
51,107,44.84,1
52,51,13.61,1
82,32,47.69,1
7,32,44.16,1
7,24,10.23,1
18,24,172.75,1
58,54,158.8,1
53,54,19.33,1
53,20,15,1
102,103,107.19,1
119,118,67.53,1
118,117,22.1,1
117,115,45.53,1
116,115,62.7,1
116,9,85.77,1
8,9,51.42,1
25,8,87.75,1
10,25,32.89,1
94,10,195.38,1
79,44,100,1
78,79,17,1
78,76,22,1
76,75,17,1
75,76,17,1
75,39,39,1
39,75,39,1
39,29,19,1
102,109,5,1
55,59,120,1
20,102,140,1
46,44,37,1
