node u,node v,length,label
2,15,22.92,0
2,42,195.89,0
3,34,31.88,0
3,18,114.62,0
6,8,292.69,0
7,5,69.97,0
8,9,118.79,0
12,3,10.93,0
12,25,16.22,0
14,46,207.16,0
15,16,293.27,0
16,39,85.00,0
16,1,88.53,0
17,23,322.49,0
18,15,16.85,0
19,37,42.90,0
20,8,65.81,0
25,10,14.67,0
25,49,54.47,0
27,6,22.19,0
30,48,48.98,0
31,30,16.50,0
31,32,134.96,0
32,17,75.27,0
32,30,148.78,0
33,29,107.41,0
33,50,281.23,0
37,21,58.60,0
37,21,88.58,0
38,41,66.89,0
38,39,381.99,0
39,41,411.57,0
40,38,190.03,0
40,2,413.72,0
42,50,63.03,0
42,43,226.19,0
44,47,58.00,0
47,45,39.28,0
48,49,51.50,0
48,33,57.04,0
49,31,18.16,0
19,20,80.00,0
8,6,350.00,0
35,36,53,0
36,28,23,0
35,26,32,0
12,26,84,0
26,28,53,0
28,13,13,0
13,21,76,0
13,11,45,0
11,24,60.31,0
24,44,60,0
11,45,79,0
45,10,25,0
44,14,80,0
10,22,39,0
22,47,26,0
22,14,130,0
6,7,54.00,1
7,36,89.00,1
34,35,86.00,1
16,27,76.84,1
27,4,60.31,1
4,34,159.85,1
