ID,latitudine,longitudine
1,41.2494655,15.3430241
2,41.2489655,15.3384093
3,41.2499061,15.3394339
4,41.2494441,15.3414372
5,41.2496355,15.3411649
6,41.2499085,15.3422008
7,41.2501398,15.3416359
8,41.2517148,15.3433072
9,41.2525445,15.3429945
10,41.2502578,15.3392635
11,41.2507095,15.3403602
12,41.2499994,15.3393926
13,41.2507098,15.3408699
14,41.2516068,15.338334
15,41.249049,15.3386599
16,41.2490782,15.3421066
17,41.2521271,15.3372491
18,41.2491552,15.3385162
19,41.2506954,15.3428899
20,41.2511579,15.3431507
21,41.25075,15.3416828
22,41.2505665,15.3390252
23,41.2538549,15.3398324
24,41.2508151,15.3396336
25,41.2501296,15.339305
26,41.2503826,15.3402087
27,41.2497634,15.3420199
28,41.2506267,15.3407274
29,41.2507558,15.3369596
30,41.2505062,15.3385023
31,41.2505733,15.3386783
32,41.2515683,15.3377573
33,41.2499524,15.3376729
34,41.2496996,15.3396985
35,41.250189,15.3404565
36,41.2505139,15.3409435
37,41.2507237,15.3423781
38,41.2455993,15.3394678
39,41.248322,15.3420665
40,41.2454915,15.3372602
41,41.2452162,15.3400847
42,41.2481075,15.3363751
43,41.2469114,15.3351624
44,41.2511295,15.3389583
45,41.2503548,15.339499
46,41.2518039,15.3395694
47,41.2506676,15.3392807
48,41.2502095,15.3382633
49,41.2504377,15.3387993
50,41.2480711,15.3356807
