node u,node v,length,label
2,15,22.92,1
3,34,31.88,1
12,3,10.93,1
12,25,16.22,1
15,16,293.27,1
16,39,85,1
16,1,88.53,1
20,8,65.81,1
25,10,14.67,1
25,49,54.47,1
27,6,22.19,1
31,30,16.5,1
33,29,107.41,1
33,50,281.23,1
37,21,88.58,1
38,39,381.99,1
39,41,411.57,1
40,2,413.72,1
48,33,57.04,1
49,31,18.16,1
35,36,53,1
36,28,23,1
28,13,13,1
13,11,45,1
11,24,60.31,1
24,44,60,1
44,14,80,1
6,7,54,1
7,36,89,1
34,35,86,1
16,27,76.84,1
27,4,60.31,1
4,34,159.85,1
42,2,195.89,1
18,3,114.62,1
8,6,292.69,1
9,8,118.79,1
46,14,207.16,1
15,18,16.85,1
48,30,48.98,1
32,31,134.96,1
17,32,75.27,1
30,32,148.78,1
21,37,88.58,1
41,38,66.89,1
38,40,190.03,1
50,42,63.03,1
43,42,226.19,1
45,47,39.28,1
49,48,51.5,1
20,19,80,1
6,8,350,1
26,35,32,1
26,12,84,1
28,26,53,1
45,11,79,1
10,45,25,1
22,10,39,1
14,22,130,1
35,26,32,1
26,12,84,1
12,3,10.93,1
3,18,114.62,1
18,15,16.85,1
15,16,293.27,1
36,28,23,1
28,13,13,1
13,21,76,1
21,37,58.6,1
37,19,42.9,1
19,20,80,1
20,8,65.81,1
8,6,350,1
22,47,26,1
47,22,26,1
3,12,10.93,1
2,15,22.92,1
44,47,58,1
47,44,58,1
47,45,39.28,1
31,49,18.16,1
39,38,381.99,1
13,28,13,1
42,43,226.19,1
10,25,14.67,1
5,7,69.97,1
7,5,69.97,1
6,27,22.19,1
21,37,58.6,1
30,48,48.98,1
29,33,107.41,1
35,26,32,1
1,16,88.53,1
14,46,207.16,1
23,17,322.49,1
17,23,322.49,1
32,17,75.27,1
11,13,45,1
13,21,76,1
21,13,76,1
37,21,58.6,1
37,19,42.9,1
19,37,42.9,1
19,20,80,1
8,20,65.81,1
8,9,118.79,1
34,35,86,1
