node u,node v,length,label
1,2,214.61,0
2,37,89.71,0
2,75,133.89,0
3,26,153.39,0
4,12,19.82,0
5,4,454.21,0
5,68,127.38,0
6,5,12.50,0
7,51,59.30,0
7,8,212.79,0
8,9,243.85,0
8,17,189.78,0
9,23,16.17,0
9,71,247.77,0
10,86,9.50,0
11,33,50.91,0
12,85,20.28,0
13,64,4.58,0
14,76,48.49,0
15,62,73.81,0
16,24,64.40,0
16,83,82.04,0
17,25,67.96,0
17,18,84.48,0
18,65,208.23,0
18,65,426.18,0
20,21,15.17,0
20,11,64.02,0
21,19,85.65,0
22,55,53.21,0
24,78,335.29,0
25,80,128.38,0
25,44,261.32,0
26,6,300.45,0
26,74,17.48,0
27,31,36.07,0
27,47,38.79,0
28,39,76.79,0
28,32,93.79,0
30,19,269.92,0
30,38,157.73,0
31,41,112.10,0
31,28,16.79,0
32,40,50.13,0
32,30,179.73,0
33,29,74.40,0
33,63,50.58,0
34,35,39.92,0
34,49,150.33,0
36,34,39.33,0
37,6,221.37,0
37,1,236.31,0
38,36,4.25,0
38,43,141.28,0
39,54,162.00,0
40,39,86.18,0
40,36,65.34,0
44,42,13.51,0
44,72,90.16,0
46,58,26.92,0
46,45,39.03,0
48,58,15.85,0
48,59,49.37,0
49,46,50.55,0
49,56,81.29,0
50,84,48.68,0
50,13,151.93,0
51,50,54.86,0
51,84,102.52,0
55,21,111.83,0
57,48,45.98,0
58,60,36.28,0
61,66,77.55,0
61,62,32.29,0
62,27,16.84,0
64,23,137.44,0
64,7,11.72,0
65,88,118.66,0
67,20,15.30,0
68,81,23.46,0
69,68,172.23,0
71,16,125.80,0
71,70,99.86,0
74,4,192.09,0
74,73,42.17,0
75,13,283.05,0
78,90,149.40,0
80,61,68.16,0
83,77,57.98,0
83,82,31.99,0
84,52,13.20,0
85,79,42.08,0
85,87,24.28,0
87,10,9.24,0
88,78,70.63,0
88,89,240.73,0
89,90,91.19,0
91,89,138.87,0
55,53,43.00,0
3,75,208.07,1
11,12,54.36,1
19,20,243.38,1
80,15,31.35,1
15,22,309.67,1
22,14,76.13,1
14,10,40.37,1
