ID,latitudine,longitudine
1,41.1313686,15.5167874
2,41.1329435,15.5181166
3,41.134258,15.5145095
4,41.1341223,15.5137571
5,41.1323314,15.514657
6,41.1322694,15.5147815
7,41.1353913,15.5154301
8,41.1369203,15.5165733
9,41.1348366,15.5160862
10,41.1347491,15.5137199
11,41.1345796,15.5134518
12,41.1342969,15.5138008
13,41.135323,15.5152623
14,41.1349132,15.5141488
15,41.1379923,15.5154006
16,41.1378193,15.5180698
17,41.1384752,15.5171875
18,41.1388079,15.5175714
19,41.1352565,15.5120294
20,41.1347926,15.5128476
21,41.1349289,15.5128396
22,41.1354977,15.5146
23,41.1347345,15.5162237
24,41.138193,15.5186532
25,41.138747,15.5166189
26,41.1334676,15.5158884
27,41.138185,15.5145058
28,41.1380609,15.5139165
29,41.1340911,15.5121045
30,41.1373452,15.5111263
31,41.1380476,15.5141156
32,41.1379609,15.5128425
33,41.1343914,15.512898
34,41.1371356,15.5134865
35,41.1371337,15.5139573
36,41.1372542,15.5130488
37,41.132486,15.5172609
38,41.1372563,15.5129981
39,41.1375264,15.5143114
40,41.1377725,15.5133863
41,41.1372654,15.5149267
42,41.1374093,15.5159249
43,41.1378044,15.5118225
44,41.1374514,15.5160762
45,41.1358634,15.5133096
46,41.1356974,15.5129635
47,41.1379434,15.5144055
48,41.1353136,15.5129306
49,41.1360094,15.5128376
50,41.1363888,15.5156559
51,41.1359119,15.5155793
52,41.1368643,15.5159922
53,41.1353299,15.5135326
54,41.1363,15.5144147
55,41.135332,15.5140386
56,41.1360861,15.5136858
57,41.1353347,15.5123824
58,41.1354557,15.5129452
59,41.13551,15.5133428
60,41.1354943,15.5125217
61,41.1385035,15.5147755
62,41.1382263,15.5146992
63,41.1346213,15.5125732
64,41.1353517,15.5153015
65,41.1390332,15.5185628
66,41.138682,15.5138808
67,41.1346558,15.5128672
68,41.1327842,15.5153569
69,41.133151,15.5148663
70,41.1367146,15.5168706
71,41.1368129,15.5173859
72,41.1368063,15.5156217
73,41.1330979,15.516007
74,41.1333962,15.5157071
75,41.1335056,15.5167322
76,41.1348544,15.5136795
77,41.1372099,15.5173382
78,41.1404599,15.5174685
79,41.134686,15.5142132
80,41.1382681,15.5153949
81,41.1328555,15.5151053
82,41.137464,15.5175183
83,41.1377181,15.5173524
84,41.1367881,15.5158714
85,41.1344708,15.5138647
86,41.1348235,15.5136641
87,41.1346702,15.5137544
88,41.1399232,15.5178147
89,41.1412574,15.5157981
90,41.1416724,15.5167111
91,41.140492,15.5144992
