node u,node v,length,label
1,2,214.61,1
2,75,133.89,1
5,68,127.38,1
7,8,212.79,1
8,9,243.85,1
9,23,16.17,1
9,71,247.77,1
10,86,9.5,1
11,33,50.91,1
12,85,20.28,1
16,24,64.4,1
17,25,67.96,1
18,65,426.18,1
20,11,64.02,1
24,78,335.29,1
25,80,128.38,1
25,44,261.32,1
26,74,17.48,1
27,31,36.07,1
28,39,76.79,1
30,19,269.92,1
30,38,157.73,1
31,41,112.1,1
31,28,16.79,1
32,30,179.73,1
37,1,236.31,1
39,54,162,1
44,42,13.51,1
44,72,90.16,1
49,56,81.29,1
50,84,48.68,1
51,50,54.86,1
58,60,36.28,1
61,66,77.55,1
61,62,32.29,1
62,27,16.84,1
64,7,11.72,1
68,81,23.46,1
71,16,125.8,1
71,70,99.86,1
74,4,192.09,1
75,13,283.05,1
80,61,68.16,1
83,82,31.99,1
84,52,13.2,1
88,89,240.73,1
89,90,91.19,1
3,75,208.07,1
11,12,54.36,1
19,20,243.38,1
80,15,31.35,1
15,22,309.67,1
22,14,76.13,1
14,10,40.37,1
37,2,89.71,1
12,4,19.82,1
4,5,454.21,1
5,6,12.5,1
51,7,59.3,1
64,13,4.58,1
83,16,82.04,1
18,17,84.48,1
65,18,208.23,1
21,20,15.17,1
19,21,85.65,1
6,26,300.45,1
40,32,50.13,1
29,33,74.4,1
6,37,221.37,1
39,40,86.18,1
36,40,65.34,1
58,48,15.85,1
13,50,151.93,1
84,51,102.52,1
23,64,137.44,1
88,65,118.66,1
20,67,15.3,1
68,69,172.23,1
90,78,149.4,1
77,83,57.98,1
79,85,42.08,1
78,88,70.63,1
89,91,138.87,1
75,13,283.05,1
13,64,4.58,1
64,7,11.72,1
7,8,212.79,1
8,17,189.78,1
17,25,67.96,1
25,80,128.38,1
80,15,31.35,1
15,22,309.67,1
22,55,53.21,1
55,21,111.83,1
21,19,85.65,1
20,11,64.02,1
10,87,9.24,1
87,85,24.28,1
85,12,20.28,1
12,4,19.82,1
4,74,192.09,1
74,26,17.48,1
26,3,153.39,1
3,75,208.07,1
75,13,283.05,1
13,64,4.58,1
64,7,11.72,1
7,8,212.79,1
8,17,189.78,1
17,25,67.96,1
25,80,128.38,1
12,4,19.82,1
4,74,192.09,1
74,26,17.48,1
26,3,153.39,1
91,89,138.87,1
50,51,54.86,1
66,61,77.55,1
55,53,43,1
53,55,43,1
76,14,48.49,1
14,76,48.49,1
36,38,4.25,1
38,36,4.25,1
13,64,4.58,1
54,39,162,1
42,44,13.51,1
27,62,16.84,1
48,58,15.85,1
4,12,19.82,1
85,12,20.28,1
5,6,12.5,1
33,29,74.4,1
81,68,23.46,1
52,84,13.2,1
67,20,15.3,1
63,33,50.58,1
33,63,50.58,1
33,11,50.91,1
12,4,19.82,1
4,5,454.21,1
68,5,127.38,1
69,68,172.23,1
34,35,39.92,1
35,34,39.92,1
78,88,70.63,1
82,83,31.99,1
26,74,17.48,1
70,71,99.86,1
17,8,189.78,1
8,17,189.78,1
45,46,39.03,1
46,45,39.03,1
2,37,89.71,1
83,77,57.98,1
16,83,82.04,1
15,62,73.81,1
62,15,73.81,1
62,27,16.84,1
27,47,38.79,1
47,27,38.79,1
3,26,153.39,1
26,3,153.39,1
74,26,17.48,1
74,73,42.17,1
73,74,42.17,1
57,48,45.98,1
48,57,45.98,1
48,59,49.37,1
59,48,49.37,1
43,38,141.28,1
38,43,141.28,1
38,30,157.73,1
22,55,53.21,1
55,22,53.21,1
55,21,111.83,1
21,55,111.83,1
56,49,81.29,1
86,10,9.5,1
10,87,9.24,1
87,10,9.24,1
87,85,24.28,1
85,87,24.28,1
85,79,42.08,1
23,9,16.17,1
64,23,137.44,1
7,64,11.72,1
65,18,208.23,1
72,44,90.16,1
44,25,261.32,1
41,31,112.1,1
31,28,16.79,1
28,31,16.79,1
28,32,93.79,1
32,28,93.79,1
32,40,50.13,1
40,32,50.13,1
40,36,65.34,1
36,34,39.33,1
34,36,39.33,1
34,49,150.33,1
49,34,150.33,1
49,46,50.55,1
46,49,50.55,1
46,58,26.92,1
58,46,26.92,1
60,58,36.28,1
11,12,54.36,1
