node u,node v,length,label
2,13,169.44,0
2,22,35.44,0
4,23,303.42,0
5,26,126.26,0
6,10,78.65,0
7,14,108.85,0
8,3,46.48,0
8,20,346.43,0
9,1,149.68,0
10,12,43.57,0
10,9,135.61,0
11,36,34.35,0
11,7,135.37,0
12,1,273.43,0
13,18,604.44,0
14,15,22.35,0
14,27,47.34,0
15,25,52.49,0
16,19,47.27,0
17,5,19.88,0
17,18,146.26,0
18,24,342.49,0
19,22,391.69,0
19,34,81.67,0
21,16,90.69,0
21,38,162.56,0
22,8,34.47,0
23,16,355.78,0
24,12,151.42,0
24,7,140.23,0
25,26,267.37,0
26,2,9.71,0
27,28,23.89,0
27,17,97.00,0
30,33,7.87,0
32,31,14.72,0
33,32,87.18,0
34,25,13.82,0
34,33,473.31,0
35,22,147.14,0
36,21,30.06,0
37,38,12.98,0
38,36,156.64,0
6,29,18.00,0
11,29,18.00,0
4,29,18.00,0
15,28,48.00,1
28,5,95.00,1
30,32,79.29,1
