ID,latitudine,longitudine
1,41.5897791,14.9786277
2,41.5969247,14.9750726
3,41.5978742,14.9754937
4,41.5925312,14.976768
5,41.5957209,14.9753537
6,41.5922908,14.976548
7,41.5935893,14.9754384
8,41.5974592,14.9754264
9,41.5911176,14.9784958
10,41.5917078,14.9770835
11,41.5925664,14.976308
12,41.5915405,14.9766127
13,41.5976187,14.9733705
14,41.5945601,14.9752709
15,41.5945824,14.975538
16,41.5936855,14.9772295
17,41.5958179,14.9752318
18,41.5952978,14.9742287
19,41.5939914,14.9768516
20,41.5985424,14.9789915
21,41.5929069,14.9769284
22,41.5972073,14.9751865
23,41.5914878,14.9800225
24,41.5924746,14.9753979
25,41.5946336,14.9761655
26,41.5968386,14.9750923
27,41.5949824,14.975199
28,41.5950107,14.9754838
29,41.5923887,14.9764694
30,41.5964604,14.976766
31,41.596574,14.9758659
32,41.5966332,14.9760242
33,41.5964015,14.9767135
34,41.5945125,14.9762029
35,41.5975538,14.9768879
36,41.5927344,14.9766545
37,41.5940666,14.975701
38,41.5939563,14.9757519
