node u,node v,length,label
2,22,35.44,1
9,1,149.68,1
10,9,135.61,1
11,36,34.35,1
11,7,135.37,1
17,18,146.26,1
19,34,81.67,1
21,16,90.69,1
21,38,162.56,1
24,12,151.42,1
25,26,267.37,1
26,2,9.71,1
27,28,23.89,1
34,25,13.82,1
35,22,147.14,1
36,21,30.06,1
38,36,156.64,1
6,29,18,1
4,29,18,1
15,28,48,1
28,5,95,1
30,32,79.29,1
13,2,169.44,1
23,4,303.42,1
26,5,126.26,1
10,6,78.65,1
14,7,108.85,1
3,8,46.48,1
12,10,43.57,1
1,12,273.43,1
18,13,604.44,1
27,14,47.34,1
25,15,52.49,1
5,17,19.88,1
24,18,342.49,1
22,19,391.69,1
16,23,355.78,1
7,24,140.23,1
17,27,97,1
31,32,14.72,1
29,11,18,1
32,33,87.18,1
33,30,7.87,1
5,17,19.88,1
17,27,97,1
27,14,47.34,1
14,15,22.35,1
28,27,23.89,1
14,15,22.35,1
15,14,22.35,1
15,25,52.49,1
36,21,30.06,1
38,37,12.98,1
37,38,12.98,1
12,10,43.57,1
16,19,47.27,1
19,16,47.27,1
2,26,9.71,1
29,11,18,1
33,30,7.87,1
30,33,7.87,1
8,3,46.48,1
18,17,146.26,1
7,24,140.23,1
20,8,346.43,1
8,20,346.43,1
8,22,34.47,1
22,8,34.47,1
22,35,147.14,1
32,31,14.72,1
32,33,87.18,1
33,32,87.18,1
33,34,473.31,1
34,33,473.31,1
