node u,node v,length,label
1,23,146.46,0
2,131,54.93,0
3,118,20.56,0
4,126,17.45,0
4,123,34.62,0
5,102,96.80,0
5,57,21.98,0
6,177,18.30,0
6,33,147.18,0
8,3,24.72,0
8,165,68.44,0
9,8,8.82,0
9,115,29.25,0
10,167,87.48,0
11,81,39.03,0
12,13,387.83,0
13,169,88.47,0
14,39,15.78,0
14,176,134.44,0
15,159,20.42,0
16,117,59.48,0
16,116,56.22,0
17,122,16.72,0
18,23,159.41,0
18,15,27.86,0
20,141,165.47,0
20,18,319.50,0
21,46,23.25,0
21,67,26.79,0
22,35,16.82,0
22,41,20.69,0
23,181,36.65,0
24,4,27.50,0
24,17,23.46,0
25,151,4.84,0
26,65,14.69,0
26,34,23.77,0
27,72,35.56,0
28,76,46.75,0
29,26,283.69,0
29,155,223.86,0
30,174,2.45,0
30,120,23.70,0
31,26,23.75,0
31,22,84.67,0
32,20,10.22,0
34,45,25.89,0
34,21,69.37,0
35,60,4.31,0
36,40,83.01,0
39,44,145.68,0
39,7,86.42,0
40,130,41.15,0
41,59,17.87,0
41,73,19.73,0
42,54,12.36,0
42,55,54.13,0
43,47,22.44,0
44,33,102.43,0
45,46,63.02,0
45,48,18.95,0
46,49,19.08,0
46,47,61.91,0
47,51,24.48,0
48,49,57.46,0
48,50,20.71,0
49,52,19.19,0
49,51,61.28,0
50,52,50.64,0
50,54,70.35,0
51,53,21.61,0
52,42,17.39,0
52,53,56.51,0
53,55,20.60,0
54,147,95.11,0
55,56,4.16,0
56,97,20.59,0
56,129,65.15,0
57,147,20.87,0
57,137,55.87,0
58,105,13.16,0
58,92,86.25,0
59,134,10.05,0
59,94,72.81,0
60,64,13.62,0
61,60,24.86,0
62,58,54.62,0
62,79,12.33,0
63,35,54.87,0
63,64,53.83,0
64,66,19.90,0
65,63,12.55,0
65,66,68.72,0
66,21,20.68,0
67,68,14.02,0
67,64,57.17,0
68,70,17.71,0
68,61,57.07,0
69,135,14.74,0
69,62,56.18,0
70,43,5.60,0
70,61,76.91,0
71,43,15.26,0
71,59,98.31,0
72,75,37.13,0
72,74,128.47,0
73,94,59.95,0
74,73,16.43,0
75,31,23.77,0
75,74,87.33,0
77,76,12.30,0
77,103,46.55,0
78,77,10.90,0
78,104,49.96,0
79,78,19.12,0
79,105,52.51,0
81,40,85.93,0
81,80,167.81,0
82,108,17.39,0
82,81,22.53,0
83,84,16.69,0
83,82,34.91,0
84,112,10.56,0
85,86,9.67,0
85,83,40.68,0
86,89,8.22,0
86,87,18.23,0
87,111,24.60,0
87,90,36.66,0
89,84,51.37,0
89,93,30.38,0
91,37,11.54,0
92,91,17.23,0
93,88,73.16,0
94,93,5.00,0
95,103,8.28,0
95,91,61.08,0
96,104,4.73,0
96,92,57.87,0
97,99,17.90,0
97,100,81.19,0
98,128,38.72,0
99,5,16.49,0
99,101,90.26,0
100,98,10.37,0
101,100,13.38,0
101,173,14.18,0
102,101,16.24,0
103,28,13.35,0
104,95,2.68,0
105,96,15.38,0
106,30,52.16,0
109,110,37.68,0
109,83,16.66,0
110,85,16.03,0
110,111,20.69,0
111,107,113.84,0
111,133,154.69,0
113,172,27.67,0
113,82,89.85,0
114,113,45.77,0
114,167,27.83,0
115,114,80.64,0
116,10,15.75,0
117,116,40.19,0
117,9,36.50,0
118,25,29.42,0
119,117,56.18,0
119,118,39.29,0
120,16,76.69,0
120,119,61.60,0
121,25,76.18,0
121,122,66.64,0
122,124,21.53,0
123,17,15.81,0
123,124,32.72,0
124,125,12.40,0
126,56,37.05,0
127,126,19.41,0
127,128,28.61,0
128,123,20.14,0
129,98,7.49,0
129,127,47.96,0
130,131,39.14,0
130,150,46.46,0
131,132,11.68,0
132,145,28.79,0
132,110,133.17,0
133,38,65.32,0
134,58,11.47,0
135,71,15.58,0
135,134,105.53,0
136,102,20.14,0
137,136,71.15,0
137,136,59.15,0
139,140,28.21,0
139,138,184.93,0
140,2,84.97,0
141,144,53.40,0
141,139,78.67,0
142,143,28.87,0
143,36,34.96,0
143,130,61.67,0
144,132,90.62,0
145,133,22.30,0
145,144,109.21,0
146,42,32.58,0
147,6,193.86,0
149,18,265.42,0
150,2,13.36,0
150,142,40.30,0
151,69,8.99,0
151,24,32.39,0
152,20,225.51,0
153,32,273.28,0
154,153,230.40,0
154,31,176.06,0
155,153,197.55,0
155,154,158.38,0
156,15,47.01,0
157,159,42.01,0
159,162,21.21,0
159,158,34.80,0
160,162,49.24,0
162,163,21.26,0
162,161,38.67,0
163,164,39.31,0
165,114,19.45,0
165,170,45.05,0
167,168,25.89,0
167,172,47.39,0
168,171,49.25,0
168,166,164.29,0
169,11,118.54,0
170,113,14.74,0
171,169,124.02,0
172,11,49.89,0
172,171,30.43,0
173,174,104.22,0
174,121,17.74,0
175,120,459.68,0
176,178,29.26,0
176,177,133.52,0
177,14,68.07,0
178,29,296.79,0
178,179,474.59,0
180,7,225.48,0
181,140,100.69,0
181,182,161.13,0
1,12,12.00,0
12,148,12.00,0
148,163,12.00,0
163,1,12.00,0
131,109,125.37,1
112,170,88.28,1
115,10,30.66,1
112,88,11.64,1
88,37,20.01,1
37,28,59.56,1
76,3,38.48,1
