ID,latitudine,longitudine
1,41.6151079,15.1047007
2,41.618056,15.1029732
3,41.6212854,15.1048592
4,41.6221155,15.1040496
5,41.622911,15.1032763
6,41.6248683,15.1021613
7,41.6264247,15.1012697
8,41.6211638,15.1051081
9,41.6212157,15.1051883
10,41.621014,15.1058566
11,41.6196512,15.1045907
12,41.6150652,15.1050715
13,41.6183499,15.1062478
14,41.6255948,15.1017937
15,41.6147248,15.1038933
16,41.6216023,15.1062119
17,41.6220616,15.1044775
18,41.6146729,15.1035656
19,41.6120573,15.103606
20,41.616267,15.1007484
21,41.6216291,15.1030827
22,41.6209527,15.1030709
23,41.6161052,15.1035527
24,41.6219257,15.1042617
25,41.6216658,15.1045437
26,41.62134,15.1021448
27,41.6202796,15.1018674
28,41.6206071,15.1043886
29,41.6222585,15.0990916
30,41.6222605,15.1053856
31,41.6211314,15.1020833
32,41.6163532,15.1007059
33,41.6253438,15.1038138
34,41.6215338,15.1022581
35,41.6211038,15.1030807
36,41.6182156,15.1043638
37,41.6201207,15.1040885
38,41.6181343,15.1019535
39,41.6257261,15.1017218
40,41.6187535,15.1036871
41,41.6209518,15.1033195
42,41.6223363,15.10301
43,41.6216928,15.1038491
44,41.6261991,15.1033563
45,41.6217613,15.1023243
46,41.6218381,15.1030754
47,41.621893,15.103815
48,41.6219282,15.1023706
49,41.6220089,15.1030534
50,41.6221091,15.1024298
51,41.6221114,15.1037778
52,41.6221807,15.1030314
53,41.6222953,15.1036937
54,41.6224464,15.1029896
55,41.6224751,15.1036342
56,41.6225082,15.1036576
57,41.6230856,15.1031524
58,41.620826,15.1037608
59,41.6209077,15.1035262
60,41.6211424,15.1030852
61,41.6211765,15.1033629
62,41.6212613,15.1040653
63,41.6212644,15.1024565
64,41.6212644,15.1030993
65,41.6212992,15.1023129
66,41.6214432,15.103088
67,41.6216492,15.1034039
68,41.6216655,15.1035712
69,41.6217021,15.1043954
70,41.6216883,15.103782
71,41.6217063,15.1040318
72,41.6205915,15.1019621
73,41.6207781,15.103271
74,41.6208027,15.1030761
75,41.6209204,15.1020376
76,41.6209931,15.1046115
77,41.6210381,15.1044763
78,41.6211052,15.1043807
79,41.6211982,15.1041872
80,41.6182379,15.1053734
81,41.6193633,15.1043221
82,41.6194865,15.104107
83,41.6196567,15.1037542
84,41.619783,15.1038627
85,41.6198348,15.1033267
86,41.6199208,15.1033443
87,41.6199624,15.1031322
88,41.6199521,15.1040042
89,41.6199902,15.1033104
90,41.6200424,15.1027044
91,41.6201701,15.1039664
92,41.6202439,15.1037841
93,41.6202508,15.10322
94,41.6202906,15.1032479
95,41.6206893,15.1041528
96,41.6207175,15.104072
97,41.6226554,15.1035073
98,41.6227309,15.1044698
99,41.6227821,15.1033745
100,41.6228235,15.1044549
101,41.6229431,15.1044375
102,41.6230883,15.1044164
103,41.6206578,15.104243
104,41.6206995,15.1041236
105,41.620776,15.1039043
106,41.62256,15.105868
107,41.6187986,15.1025412
108,41.6193551,15.1039936
109,41.6195254,15.1036576
110,41.6196977,15.1032673
111,41.6197547,15.1030304
112,41.6198615,15.1039341
113,41.6201664,15.104687
114,41.6204981,15.105013
115,41.6211165,15.1055142
116,41.6211385,15.105947
117,41.6213696,15.1055752
118,41.6214522,15.1047525
119,41.62171,15.1050757
120,41.6221103,15.1055879
121,41.62213,15.1052167
122,41.6221596,15.1046301
123,41.6222022,15.1044491
124,41.6222876,15.1048244
125,41.6223695,15.1049257
126,41.6222372,15.103917
127,41.62234,15.1041057
128,41.6223833,15.1044434
129,41.6227179,15.1043814
130,41.6184446,15.1034149
131,41.6185367,15.1029605
132,41.6185575,15.1028228
133,41.6186836,15.1022319
134,41.6208718,15.1036372
135,41.6217152,15.1042189
136,41.6232684,15.1043903
137,41.6232747,15.1037748
138,41.6156426,15.1032344
139,41.6172794,15.1028627
140,41.6173114,15.1031993
141,41.6174525,15.1019513
142,41.6181143,15.103608
143,41.6181581,15.1039503
144,41.6178291,15.1023499
145,41.6186307,15.1024906
146,41.6222916,15.1026226
147,41.6232541,15.1030418
148,41.6147453,15.1050302
149,41.6122872,15.1036573
150,41.6180877,15.1031282
151,41.6216972,15.1045033
152,41.6143916,15.0997531
153,41.6185532,15.0992812
154,41.6202374,15.1007439
155,41.6202608,15.0988417
156,41.6151385,15.1037769
157,41.6151332,15.1040299
158,41.6144571,15.1042193
159,41.6147634,15.1041335
160,41.6152377,15.1042671
161,41.6144624,15.1044741
162,41.6148034,15.104383
163,41.6148435,15.104633
164,41.6144982,15.1047342
165,41.6205986,15.1048215
166,41.6195768,15.1073185
167,41.6203543,15.105287
168,41.6202205,15.1055419
169,41.6187899,15.1054309
170,41.6202488,15.1045481
171,41.6198418,15.1052346
172,41.6200118,15.1049478
173,41.6229861,15.1045981
174,41.6222447,15.1053651
175,41.6223008,15.1105555
176,41.6248373,15.1005331
177,41.6250216,15.1020813
178,41.6246717,15.1002596
179,41.6249996,15.095419
180,41.6269094,15.1035605
181,41.6164258,15.1034518
182,41.6171708,15.1050651
