node u,node v,length,label
1,23,146.46,1
2,131,54.93,1
6,33,147.18,1
9,115,29.25,1
10,167,87.48,1
15,159,20.42,1
16,117,59.48,1
18,15,27.86,1
20,141,165.47,1
22,35,16.82,1
23,181,36.65,1
24,17,23.46,1
28,76,46.75,1
31,22,84.67,1
34,45,25.89,1
35,60,4.31,1
41,59,17.87,1
42,54,12.36,1
43,47,22.44,1
45,48,18.95,1
47,51,24.48,1
48,49,57.46,1
48,50,20.71,1
49,51,61.28,1
50,52,50.64,1
51,53,21.61,1
52,53,56.51,1
53,55,20.6,1
55,56,4.16,1
56,97,20.59,1
57,137,55.87,1
58,105,13.16,1
59,94,72.81,1
60,64,13.62,1
63,64,53.83,1
68,61,57.07,1
69,135,14.74,1
71,43,15.26,1
72,75,37.13,1
75,31,23.77,1
75,74,87.33,1
77,103,46.55,1
78,77,10.9,1
79,105,52.51,1
82,108,17.39,1
82,81,22.53,1
83,84,16.69,1
85,83,40.68,1
86,89,8.22,1
87,90,36.66,1
89,93,30.38,1
93,88,73.16,1
94,93,5,1
96,104,4.73,1
96,92,57.87,1
97,99,17.9,1
97,100,81.19,1
99,101,90.26,1
101,173,14.18,1
103,28,13.35,1
105,96,15.38,1
109,110,37.68,1
113,82,89.85,1
114,167,27.83,1
115,114,80.64,1
116,10,15.75,1
117,116,40.19,1
120,16,76.69,1
121,25,76.18,1
121,122,66.64,1
122,124,21.53,1
131,132,11.68,1
132,145,28.79,1
135,134,105.53,1
137,136,59.15,1
139,140,28.21,1
139,138,184.93,1
140,2,84.97,1
141,139,78.67,1
145,133,22.3,1
146,42,32.58,1
151,69,8.99,1
152,20,225.51,1
154,153,230.4,1
155,154,158.38,1
159,158,34.8,1
162,161,38.67,1
163,164,39.31,1
165,170,45.05,1
167,168,25.89,1
167,172,47.39,1
168,171,49.25,1
168,166,164.29,1
169,11,118.54,1
170,113,14.74,1
171,169,124.02,1
172,171,30.43,1
173,174,104.22,1
174,121,17.74,1
176,177,133.52,1
178,179,474.59,1
181,140,100.69,1
1,12,12,1
12,148,12,1
148,163,12,1
163,1,12,1
131,109,125.37,1
112,170,88.28,1
115,10,30.66,1
112,88,11.64,1
88,37,20.01,1
37,28,59.56,1
76,3,38.48,1
118,3,20.56,1
126,4,17.45,1
123,4,34.62,1
102,5,96.8,1
57,5,21.98,1
177,6,18.3,1
3,8,24.72,1
165,8,68.44,1
8,9,8.82,1
81,11,39.03,1
13,12,387.83,1
169,13,88.47,1
39,14,15.78,1
176,14,134.44,1
122,17,16.72,1
23,18,159.41,1
18,20,319.5,1
46,21,23.25,1
67,21,26.79,1
4,24,27.5,1
151,25,4.84,1
65,26,14.69,1
34,26,23.77,1
72,27,35.56,1
26,29,283.69,1
155,29,223.86,1
120,30,23.7,1
26,31,23.75,1
20,32,10.22,1
21,34,69.37,1
40,36,83.01,1
44,39,145.68,1
130,40,41.15,1
73,41,19.73,1
55,42,54.13,1
33,44,102.43,1
46,45,63.02,1
49,46,19.08,1
47,46,61.91,1
52,49,19.19,1
54,50,70.35,1
42,52,17.39,1
147,54,95.11,1
129,56,65.15,1
147,57,20.87,1
92,58,86.25,1
134,59,10.05,1
60,61,24.86,1
58,62,54.62,1
