node u,node v,length,label
1,132,27.28,0
1,7,41.17,0
1,86,217.21,0
2,32,560.51,0
3,47,44.50,0
3,40,27.40,0
4,22,68.92,0
5,49,35.75,0
5,48,191.72,0
6,66,98.67,0
6,86,63.02,0
7,85,1.76,0
8,97,13.25,0
9,30,37.38,0
9,68,47.88,0
10,119,18.66,0
11,31,35.94,0
11,25,100.17,0
12,8,8.41,0
13,54,28.64,0
13,81,83.44,0
14,74,66.71,0
15,44,154.23,0
16,52,26.68,0
16,19,143.92,0
17,124,40.45,0
18,17,9.90,0
18,21,42.90,0
19,50,27.66,0
19,3,129.61,0
20,82,56.85,0
20,69,32.86,0
21,76,12.88,0
21,111,38.65,0
22,30,30.43,0
22,10,63.71,0
23,26,35.64,0
24,27,71.00,0
24,25,37.89,0
24,125,63.07,0
25,98,28.37,0
26,15,185.15,0
27,110,21.36,0
27,108,25.40,0
28,117,24.31,0
28,9,14.02,0
29,112,10.01,0
29,67,364.82,0
30,4,72.26,0
31,94,19.51,0
31,98,97.99,0
32,55,173.61,0
33,41,28.08,0
33,75,9.68,0
35,24,8.90,0
36,46,69.34,0
36,60,28.86,0
37,53,81.99,0
37,65,37.09,0
38,37,75.15,0
38,43,85.11,0
39,62,123.62,0
40,58,54.43,0
40,67,159.64,0
41,36,62.08,0
41,14,70.67,0
42,7,39.13,0
43,53,86.23,0
43,19,37.42,0
44,136,38.49,0
44,122,104.70,0
45,32,132.18,0
46,23,255.36,0
47,70,28.96,0
48,64,28.11,0
48,6,71.26,0
49,71,21.43,0
49,34,246.32,0
50,56,30.59,0
50,47,121.52,0
51,44,115.75,0
52,121,59.57,0
52,59,29.61,0
53,57,69.92,0
54,63,28.07,0
54,80,82.19,0
55,46,316.56,0
55,73,79.25,0
56,120,82.30,0
56,22,31.74,0
57,42,39.21,0
58,34,68.07,0
58,38,184.19,0
59,83,54.14,0
59,20,33.66,0
60,61,73.29,0
60,128,45.46,0
61,12,22.58,0
61,41,57.20,0
62,55,51.04,0
63,17,37.85,0
64,65,74.39,0
65,72,30.84,0
66,42,82.90,0
67,2,514.78,0
68,10,7.77,0
68,69,68.53,0
69,11,20.91,0
70,56,120.65,0
70,4,63.42,0
71,64,157.23,0
71,38,54.27,0
72,57,81.38,0
72,66,37.86,0
73,29,12.14,0
74,73,62.28,0
75,104,24.74,0
76,77,143.26,0
76,131,195.42,0
77,15,104.29,0
77,131,109.88,0
78,17,79.99,0
79,63,80.98,0
79,78,32.45,0
80,132,41.86,0
80,79,28.19,0
81,80,28.48,0
81,1,41.07,0
82,83,32.62,0
82,134,38.91,0
83,133,41.86,0
83,84,29.56,0
84,52,53.74,0
84,85,27.77,0
85,16,53.03,0
87,91,56.05,0
87,101,18.27,0
88,92,56.25,0
88,87,11.35,0
89,103,17.61,0
89,93,56.39,0
90,88,20.18,0
90,94,57.66,0
91,89,20.00,0
92,91,10.94,0
92,97,84.88,0
93,95,10.86,0
94,92,19.35,0
94,8,87.61,0
95,96,22.38,0
96,33,15.12,0
97,96,27.05,0
98,12,23.04,0
99,103,55.78,0
99,114,19.63,0
100,74,17.17,0
100,14,64.86,0
101,99,19.18,0
101,89,55.96,0
102,104,44.95,0
103,116,19.59,0
103,105,56.44,0
104,14,17.12,0
105,75,16.29,0
105,93,15.76,0
106,60,111.83,0
108,107,31.69,0
108,109,13.73,0
109,106,70.78,0
110,18,43.62,0
110,111,37.71,0
111,109,25.04,0
112,113,18.37,0
113,28,105.43,0
114,118,17.63,0
114,113,17.20,0
115,100,7.52,0
115,118,58.51,0
116,115,14.21,0
116,114,57.59,0
117,31,57.39,0
117,90,16.83,0
118,112,15.16,0
119,20,55.28,0
119,120,31.95,0
120,59,58.77,0
120,121,29.51,0
121,50,82.66,0
122,123,39.21,0
124,122,39.82,0
124,136,88.96,0
125,126,7.94,0
125,127,38.40,0
126,106,16.43,0
127,61,16.82,0
127,128,45.38,0
128,126,53.56,0
129,130,57.92,0
129,51,96.53,0
131,23,84.04,0
132,133,29.49,0
132,84,42.86,0
133,135,32.78,0
133,79,42.66,0
134,135,2.12,0
135,78,43.60,0
136,13,151.24,0
134,35,67.77,1
35,69,100.95,1
