ID,latitudine,longitudine
1,41.5961988,15.1109017
2,41.5871273,15.1079686
3,41.5933309,15.108805
4,41.5933759,15.1102431
5,41.5952341,15.1071627
6,41.5971442,15.1090272
7,41.5958686,15.1106777
8,41.5947643,15.1130296
9,41.5940432,15.1111919
10,41.5944457,15.1109484
11,41.5946739,15.1117771
12,41.5948067,15.1131133
13,41.5972054,15.1115573
14,41.5939201,15.113626
15,41.5982648,15.115241
16,41.5954217,15.1104
17,41.5968059,15.1125612
18,41.5967177,15.1125451
19,41.594267,15.1096266
20,41.5950382,15.1113519
21,41.5966746,15.1130578
22,41.5939313,15.1106111
23,41.5970373,15.1160214
24,41.595495,15.1125707
25,41.5951887,15.1127655
26,41.5973385,15.1161679
27,41.5961333,15.1125486
28,41.5939486,15.1113034
29,41.5930823,15.1124203
30,41.5937786,15.1109147
31,41.5944245,15.112052
32,41.5912349,15.1118717
33,41.5943216,15.1133292
34,41.5930898,15.1071908
35,41.5954391,15.1124941
36,41.5946693,15.1143052
37,41.5954727,15.1087921
38,41.5948667,15.1083919
39,41.592516,15.1147895
40,41.593169,15.1085893
41,41.594455,15.1136159
42,41.5960197,15.1102527
43,41.5944355,15.1092375
44,41.5979999,15.1134382
45,41.5908711,15.1103585
46,41.5948455,15.1151048
47,41.593174,15.1092969
48,41.596624,15.1085268
49,41.5951612,15.1075814
50,41.5941595,15.1099266
51,41.5989479,15.1140023
52,41.595307,15.1106818
53,41.5951397,15.1096718
54,41.5970844,15.1118614
55,41.5925242,15.1130328
56,41.5940483,15.110263
57,41.5957038,15.1100432
58,41.5932964,15.1079606
59,41.5951903,15.1110019
60,41.5948892,15.1141392
61,41.5949244,15.1133345
62,41.5921801,15.1134389
63,41.5969658,15.1121594
64,41.5963894,15.1086526
65,41.5957706,15.1089927
66,41.5963288,15.1093462
67,41.591737,15.1084654
68,41.5943938,15.111011
69,41.5948156,15.1116118
70,41.5930762,15.1096185
71,41.5951156,15.1078318
72,41.5960183,15.1091595
73,41.5931371,15.1125465
74,41.5934245,15.1131875
75,41.594247,15.1133892
76,41.596641,15.113206
77,41.597562,15.1144105
78,41.596185,15.1120859
79,41.5963108,15.1117338
80,41.5964201,15.1114279
81,41.5965305,15.1111189
82,41.5955012,15.1116419
83,41.5956277,15.111288
84,41.5957409,15.1109664
85,41.5958542,15.1106688
86,41.5975965,15.1094829
87,41.5937647,15.1119111
88,41.5938419,15.1118219
89,41.5939421,15.112589
90,41.5939728,15.1116539
91,41.5940809,15.112436
92,41.5941564,15.1123517
93,41.5942588,15.1131184
94,41.5942899,15.1122025
95,41.5943369,15.11304
96,41.5944485,15.113264
97,41.594663,15.1131134
98,41.5949816,15.1129648
99,41.5935082,15.1122028
100,41.5935411,15.1130522
101,41.5936388,15.1120522
102,41.5937945,15.1131859
103,41.5938217,15.1127265
104,41.594043,15.113502
105,41.5941509,15.1132413
106,41.5955159,15.1133208
107,41.5958322,15.1128678
108,41.596117,15.1128533
109,41.5961048,15.1130176
110,41.5963254,15.1125489
111,41.5963295,15.1130023
112,41.5931471,15.1123367
113,41.5932661,15.1121834
114,41.5933655,15.1123418
115,41.5935922,15.1129929
116,41.5936887,15.1128809
117,41.5940902,15.1115262
118,41.5932396,15.1124706
119,41.5945952,15.1110502
120,41.5947126,15.1106995
121,41.5948223,15.1103767
122,41.5970741,15.1132085
123,41.5971353,15.1136388
124,41.5971426,15.1127385
125,41.5953865,15.1130917
126,41.5954114,15.1131812
127,41.5950645,15.1132584
128,41.5951069,15.1136789
129,41.5994545,15.1149205
130,41.5989848,15.1152217
131,41.5967207,15.1151037
132,41.5960869,15.1111936
133,41.5959659,15.1115091
134,41.5958135,15.1118511
135,41.5958314,15.1118599
136,41.5979148,15.1129895
