node u,node v,length,label
1,7,41.17,1
1,86,217.21,1
2,32,560.51,1
3,47,44.5,1
4,22,68.92,1
5,49,35.75,1
7,85,1.76,1
9,68,47.88,1
11,25,100.17,1
12,8,8.41,1
13,54,28.64,1
15,44,154.23,1
16,19,143.92,1
18,21,42.9,1
19,50,27.66,1
19,3,129.61,1
20,69,32.86,1
21,111,38.65,1
22,30,30.43,1
23,26,35.64,1
24,125,63.07,1
25,98,28.37,1
26,15,185.15,1
27,110,21.36,1
28,9,14.02,1
29,67,364.82,1
31,94,19.51,1
32,55,173.61,1
33,41,28.08,1
36,46,69.34,1
37,53,81.99,1
37,65,37.09,1
38,37,75.15,1
41,36,62.08,1
43,19,37.42,1
44,136,38.49,1
45,32,132.18,1
46,23,255.36,1
49,71,21.43,1
50,56,30.59,1
52,59,29.61,1
54,63,28.07,1
55,73,79.25,1
56,120,82.3,1
57,42,39.21,1
58,34,68.07,1
59,83,54.14,1
60,128,45.46,1
61,12,22.58,1
63,17,37.85,1
64,65,74.39,1
65,72,30.84,1
67,2,514.78,1
68,69,68.53,1
69,11,20.91,1
70,4,63.42,1
71,64,157.23,1
71,38,54.27,1
72,57,81.38,1
73,29,12.14,1
76,77,143.26,1
77,131,109.88,1
81,1,41.07,1
82,83,32.62,1
83,133,41.86,1
84,85,27.77,1
85,16,53.03,1
87,91,56.05,1
88,92,56.25,1
88,87,11.35,1
89,103,17.61,1
89,93,56.39,1
90,88,20.18,1
91,89,20,1
92,97,84.88,1
93,95,10.86,1
95,96,22.38,1
96,33,15.12,1
100,14,64.86,1
101,89,55.96,1
103,116,19.59,1
105,93,15.76,1
106,60,111.83,1
108,107,31.69,1
110,18,43.62,1
111,109,25.04,1
114,118,17.63,1
115,100,7.52,1
116,114,57.59,1
117,90,16.83,1
119,20,55.28,1
124,122,39.82,1
125,126,7.94,1
125,127,38.4,1
126,106,16.43,1
127,61,16.82,1
128,126,53.56,1
131,23,84.04,1
133,135,32.78,1
135,78,43.6,1
136,13,151.24,1
134,35,67.77,1
35,69,100.95,1
132,1,27.28,1
48,5,191.72,1
66,6,98.67,1
86,6,63.02,1
97,8,13.25,1
30,9,37.38,1
119,10,18.66,1
74,14,66.71,1
52,16,26.68,1
124,17,40.45,1
17,18,9.9,1
82,20,56.85,1
10,22,63.71,1
27,24,71,1
25,24,37.89,1
108,27,25.4,1
117,28,24.31,1
112,29,10.01,1
4,30,72.26,1
98,31,97.99,1
75,33,9.68,1
24,35,8.9,1
60,36,28.86,1
43,38,85.11,1
62,39,123.62,1
58,40,54.43,1
14,41,70.67,1
7,42,39.13,1
53,43,86.23,1
