node u,node v,length,label
1,2,43.91,0
2,22,111.66,0
2,41,29.89,0
3,7,10.46,0
4,25,91.66,0
5,14,249.07,0
6,38,142.95,0
7,4,88.60,0
7,1,511.09,0
8,73,125.56,0
8,4,69.69,0
9,57,113.16,0
10,17,163.32,0
11,9,79.44,0
12,25,99.47,0
13,26,54.82,0
13,53,105.31,0
14,37,149.93,0
15,16,476.66,0
16,27,33.46,0
17,44,15.58,0
17,3,118.50,0
18,66,11.30,0
18,55,76.08,0
19,18,18.83,0
20,14,21.87,0
21,40,32.91,0
22,21,179.12,0
23,79,91.89,0
24,45,3.54,0
24,48,20.50,0
25,24,17.17,0
26,27,146.30,0
27,28,97.95,0
28,62,25.49,0
29,77,15.26,0
30,10,23.96,0
31,34,83.23,0
36,51,27.43,0
36,21,22.51,0
36,37,256.79,0
37,85,96.66,0
38,20,10.84,0
38,39,81.42,0
39,70,18.07,0
39,40,35.03,0
40,20,83.49,0
42,8,19.33,0
43,42,166.06,0
43,44,30.28,0
44,8,156.90,0
45,19,19.00,0
48,49,56.15,0
48,50,49.74,0
51,52,25.49,0
51,64,38.46,0
52,53,74.60,0
52,81,47.09,0
53,84,54.97,0
54,52,23.68,0
55,75,97.69,0
55,56,30.13,0
56,9,20.35,0
56,65,53.30,0
57,58,30.73,0
58,13,137.31,0
59,79,21.89,0
59,61,39.43,0
61,60,42.96,0
61,63,19.56,0
62,82,6.00,0
62,63,44.91,0
63,28,92.69,0
65,57,57.72,0
65,66,22.01,0
66,35,35.98,0
67,32,57.66,0
68,69,113.22,0
68,1,143.51,0
70,71,170.71,0
70,71,188.90,0
71,68,38.32,0
72,26,16.63,0
73,25,9.44,0
73,74,78.45,0
76,15,192.31,0
76,5,105.67,0
77,42,26.20,0
77,78,21.38,0
79,80,4.30,0
80,36,21.50,0
82,83,33.56,0
82,59,14.56,0
85,76,19.47,0
86,85,97.80,0
54,80,43,0
32,31,26,0
31,45,35,0
31,33,31,0
33,19,7,0
12,47,19,0
22,46,95.00,1
46,32,48.00,1
34,47,97.00,1
47,41,190.00,1
