ID,latitudine,longitudine
1,41.3411124,15.1997509
2,41.341499,15.199683
3,41.342375,15.1950248
4,41.3422269,15.1961685
5,41.3439817,15.2049601
6,41.3408684,15.2040106
7,41.3423085,15.1951134
8,41.3426534,15.1958195
9,41.34322,15.1969829
10,41.3437358,15.1923093
11,41.3439014,15.1967078
12,41.3413215,15.1973426
13,41.3429324,15.1994351
14,41.3421464,15.2035371
15,41.3460212,15.2047737
16,41.3442395,15.2007767
17,41.3430319,15.1939414
18,41.3425962,15.1974318
19,41.342454,15.1975157
20,41.3421068,15.2032828
21,41.3423693,15.2019349
22,41.3422542,15.1998603
23,41.3426721,15.203054
24,41.3422568,15.1974573
25,41.3422104,15.1972625
26,41.3431037,15.2000275
27,41.3440035,15.2010253
28,41.3434037,15.2018447
29,41.3431986,15.1958686
30,41.3439492,15.1922998
31,41.3422184,15.1978605
32,41.3422586,15.1981914
33,41.342419,15.1976457
34,41.3416517,15.1983399
35,41.3426738,15.1979885
36,41.3425709,15.201959
37,41.3434318,15.2039681
38,41.3420094,15.2032802
39,41.3420896,15.2024167
40,41.34231,15.2023211
41,41.3416178,15.1993619
42,41.3428261,15.1958457
43,41.343384,15.1940402
44,41.3431152,15.1940882
45,41.3422876,15.1974679
46,41.3421754,15.1986546
47,41.3412174,15.1974448
48,41.3420741,15.1974476
49,41.3418664,15.197984
50,41.3416447,15.1975937
51,41.3426173,15.2016363
52,41.342717,15.2013624
53,41.3426313,15.2004771
54,41.3427902,15.2016282
55,41.3430516,15.1967687
56,41.3430547,15.1970709
57,41.342877,15.1982294
58,41.3427741,15.1985658
59,41.3429987,15.2019512
60,41.3429783,15.2029009
61,41.342941,15.2024172
62,41.3431799,15.2019049
63,41.3431163,15.2024361
64,41.3426524,15.2011781
65,41.3428076,15.1975692
66,41.342611,15.1975657
67,41.3424664,15.198822
68,41.3420642,15.2000059
69,41.3411372,15.2003877
70,41.3419348,15.2023509
71,41.3422257,15.2004002
72,41.3431438,15.2002194
73,41.3422721,15.1971848
74,41.342779,15.1967775
75,41.3438695,15.196636
76,41.3444505,15.2038615
77,41.3430615,15.1958602
78,41.3431455,15.1956298
79,41.3428022,15.201967
80,41.3427637,15.2019716
81,41.3430589,15.2016207
82,41.3431277,15.2019232
83,41.3431136,15.2015216
84,41.3425199,15.1998498
85,41.3442837,15.2037933
86,41.3439343,15.2027674
