node u,node v,length,label
1,2,43.91,1
2,22,111.66,1
2,41,29.89,1
7,1,511.09,1
8,73,125.56,1
12,25,99.47,1
14,37,149.93,1
15,16,476.66,1
16,27,33.46,1
18,66,11.3,1
20,14,21.87,1
21,40,32.91,1
22,21,179.12,1
24,45,3.54,1
24,48,20.5,1
25,24,17.17,1
27,28,97.95,1
28,62,25.49,1
31,34,83.23,1
36,51,27.43,1
36,21,22.51,1
37,85,96.66,1
38,20,10.84,1
39,70,18.07,1
40,20,83.49,1
42,8,19.33,1
43,42,166.06,1
48,50,49.74,1
51,52,25.49,1
51,64,38.46,1
52,53,74.6,1
52,81,47.09,1
54,52,23.68,1
59,79,21.89,1
62,82,6,1
65,66,22.01,1
67,32,57.66,1
68,1,143.51,1
70,71,170.71,1
71,68,38.32,1
72,26,16.63,1
76,15,192.31,1
79,80,4.3,1
80,36,21.5,1
82,59,14.56,1
85,76,19.47,1
22,46,95,1
46,32,48,1
34,47,97,1
47,41,190,1
7,3,10.46,1
25,4,91.66,1
14,5,249.07,1
38,6,142.95,1
4,7,88.6,1
4,8,69.69,1
57,9,113.16,1
17,10,163.32,1
9,11,79.44,1
53,13,105.31,1
3,17,118.5,1
55,18,76.08,1
18,19,18.83,1
79,23,91.89,1
10,30,23.96,1
37,36,256.79,1
39,38,81.42,1
40,39,35.03,1
44,43,30.28,1
8,44,156.9,1
19,45,19,1
49,48,56.15,1
84,53,54.97,1
56,55,30.13,1
9,56,20.35,1
65,56,53.3,1
58,57,30.73,1
13,58,137.31,1
61,59,39.43,1
63,61,19.56,1
63,62,44.91,1
28,63,92.69,1
35,66,35.98,1
71,70,188.9,1
25,73,9.44,1
5,76,105.67,1
85,86,97.8,1
80,54,43,1
31,32,26,1
45,31,35,1
33,31,31,1
19,33,7,1
47,12,19,1
41,2,29.89,1
2,22,111.66,1
32,31,26,1
31,34,83.23,1
70,39,18.07,1
21,40,32.91,1
64,51,38.46,1
65,57,57.72,1
57,65,57.72,1
80,79,4.3,1
17,44,15.58,1
44,17,15.58,1
45,24,3.54,1
56,9,20.35,1
25,4,91.66,1
73,25,9.44,1
61,63,19.56,1
66,18,11.3,1
82,62,6,1
62,82,6,1
62,28,25.49,1
78,77,21.38,1
77,78,21.38,1
77,29,15.26,1
29,77,15.26,1
48,49,56.15,1
53,84,54.97,1
26,72,16.63,1
27,26,146.3,1
26,27,146.3,1
26,13,54.82,1
13,26,54.82,1
76,85,19.47,1
68,71,38.32,1
41,2,29.89,1
85,37,96.66,1
86,85,97.8,1
66,35,35.98,1
77,42,26.2,1
42,77,26.2,1
6,38,142.95,1
38,20,10.84,1
20,38,10.84,1
20,14,21.87,1
55,75,97.69,1
75,55,97.69,1
23,79,91.89,1
79,80,4.3,1
54,80,43,1
52,54,23.68,1
81,52,47.09,1
74,73,78.45,1
73,74,78.45,1
73,25,9.44,1
24,25,17.17,1
45,24,3.54,1
45,19,19,1
19,18,18.83,1
18,19,18.83,1
18,66,11.3,1
66,18,11.3,1
66,65,22.01,1
56,65,53.3,1
9,56,20.35,1
11,9,79.44,1
32,67,57.66,1
32,31,26,1
31,45,35,1
24,45,3.54,1
48,24,20.5,1
50,48,49.74,1
1,68,143.51,1
68,69,113.22,1
69,68,113.22,1
60,61,42.96,1
61,60,42.96,1
59,61,39.43,1
59,82,14.56,1
82,59,14.56,1
82,83,33.56,1
83,82,33.56,1
3,7,10.46,1
17,3,118.5,1
10,17,163.32,1
30,10,23.96,1
34,47,97,1
