node u,node v,length,label
1,6,162.00,0
1,12,64.85,0
2,3,42.44,0
3,4,102.18,0
7,39,20.27,0
8,3,212.16,0
8,16,45.78,0
9,15,14.78,0
9,29,123.77,0
10,30,32.36,0
11,13,6.19,0
11,22,140.62,0
12,19,32.95,0
12,36,173.33,0
13,10,48.63,0
14,13,165.69,0
15,61,15.45,0
16,54,48.71,0
18,28,66.37,0
19,9,52.42,0
20,57,21.49,0
20,58,21.89,0
21,35,68.26,0
21,7,636.04,0
22,64,37.37,0
23,14,51.33,0
25,5,340.43,0
26,29,100.50,0
26,36,44.24,0
27,57,71.65,0
28,17,34.42,0
28,14,97.30,0
30,22,100.13,0
31,10,234.30,0
31,32,212.82,0
32,10,57.26,0
33,31,89.08,0
33,32,332.37,0
34,35,94.79,0
35,26,8.15,0
36,21,48.18,0
37,40,15.61,0
39,37,213.59,0
40,46,59.38,0
40,41,103.74,0
41,45,60.38,0
41,39,116.68,0
44,47,55.36,0
44,46,102.57,0
45,48,54.98,0
46,49,55.18,0
46,45,103.28,0
47,50,54.03,0
47,49,103.16,0
48,52,54.19,0
49,53,54.11,0
49,48,102.86,0
50,43,39.43,0
50,53,103.75,0
52,42,47.75,0
52,51,62.09,0
53,38,48.78,0
53,52,102.44,0
54,24,17.52,0
55,8,5.76,0
55,56,102.83,0
58,59,22.13,0
59,55,12.33,0
59,20,25.66,0
60,58,13.90,0
61,63,18.44,0
62,65,17.80,0
63,11,17.91,0
64,66,23.12,0
64,62,18.09,0
66,60,59.04,0
4,5,53,0
5,6,220.00,0
6,2,200.00,1
63,62,190.00,1
62,66,27.19,1
60,65,27.19,1
65,61,27.19,1
19,29,77.76,1
