ID,latitudine,longitudine
1,41.3049669,15.4784579
2,41.3043477,15.4739127
3,41.3043439,15.4734046
4,41.3034999,15.4737918
5,41.3035357,15.4743998
6,41.3044952,15.4766358
7,41.3070778,15.4891342
8,41.3053357,15.4752291
9,41.3058253,15.4788496
10,41.3067972,15.4782984
11,41.3063973,15.4786139
12,41.3051073,15.4792112
13,41.3064502,15.4785907
14,41.3074632,15.4799728
15,41.3059523,15.4787973
16,41.3050166,15.4748829
17,41.3068144,15.4809813
18,41.3065122,15.4798441
19,41.3053828,15.4790659
20,41.3052335,15.475679
21,41.3055922,15.4817832
22,41.3061016,15.4770141
23,41.3075921,15.4805629
24,41.3045928,15.4744153
25,41.304594,15.4780309
26,41.3058674,15.4810994
27,41.3047633,15.476207
28,41.3067205,15.4805887
29,41.3056142,15.4799444
30,41.3066257,15.4779866
31,41.3085548,15.4798285
32,41.307293,15.4781132
33,41.309143,15.4805515
34,41.306633,15.4809946
35,41.305829,15.4811825
36,41.305481,15.4812257
37,41.3076903,15.4918127
38,41.3096884,15.49097
39,41.3071306,15.4893665
40,41.3078241,15.4917563
41,41.3075432,15.490572
42,41.3094107,15.4898054
43,41.3098828,15.4921963
44,41.3086026,15.4927161
45,41.3080621,15.490359
46,41.3083332,15.4915416
47,41.3090788,15.4925227
48,41.3085346,15.490165
49,41.3088063,15.4913421
50,41.3095436,15.492334
51,41.3088367,15.4892631
52,41.3090003,15.4899738
53,41.3092702,15.4911464
54,41.3046353,15.4746172
55,41.3053431,15.4752974
56,41.3046271,15.4754033
57,41.3052879,15.4759259
58,41.3054284,15.4756933
59,41.3053709,15.4754403
60,41.3054972,15.4758322
61,41.306085,15.4787426
62,41.3057725,15.4766931
63,41.3062434,15.4786773
64,41.3059283,15.4766308
65,41.3056198,15.4767571
66,41.3058022,15.4764107
