node u,node v,length,label
1,6,162,1
7,39,20.27,1
8,16,45.78,1
11,22,140.62,1
12,36,173.33,1
16,54,48.71,1
20,58,21.89,1
21,35,68.26,1
21,7,636.04,1
23,14,51.33,1
26,29,100.5,1
31,32,212.82,1
32,10,57.26,1
33,31,89.08,1
35,26,8.15,1
36,21,48.18,1
41,45,60.38,1
44,47,55.36,1
45,48,54.98,1
47,50,54.03,1
49,53,54.11,1
50,53,103.75,1
52,42,47.75,1
52,51,62.09,1
53,38,48.78,1
53,52,102.44,1
55,56,102.83,1
58,59,22.13,1
59,20,25.66,1
61,63,18.44,1
62,65,17.8,1
63,11,17.91,1
64,62,18.09,1
6,2,200,1
63,62,190,1
62,66,27.19,1
60,65,27.19,1
65,61,27.19,1
19,29,77.76,1
12,1,64.85,1
3,2,42.44,1
4,3,102.18,1
3,8,212.16,1
15,9,14.78,1
29,9,123.77,1
30,10,32.36,1
13,11,6.19,1
19,12,32.95,1
10,13,48.63,1
13,14,165.69,1
61,15,15.45,1
9,19,52.42,1
57,20,21.49,1
64,22,37.37,1
5,25,340.43,1
14,28,97.3,1
22,30,100.13,1
10,31,234.3,1
32,33,332.37,1
40,37,15.61,1
37,39,213.59,1
46,40,59.38,1
41,40,103.74,1
39,41,116.68,1
46,44,102.57,1
49,46,55.18,1
45,46,103.28,1
49,47,103.16,1
52,48,54.19,1
48,49,102.86,1
8,55,5.76,1
55,59,12.33,1
58,60,13.9,1
66,64,23.12,1
60,66,59.04,1
5,4,53,1
6,5,220,1
61,63,18.44,1
66,60,59.04,1
2,3,42.44,1
3,4,102.18,1
4,5,53,1
5,6,220,1
29,9,123.77,1
9,19,52.42,1
34,35,94.79,1
35,34,94.79,1
26,36,44.24,1
36,26,44.24,1
8,55,5.76,1
20,58,21.89,1
26,35,8.15,1
35,26,8.15,1
48,45,54.98,1
40,41,103.74,1
13,11,6.19,1
42,52,47.75,1
51,52,62.09,1
22,64,37.37,1
14,23,51.33,1
17,28,34.42,1
28,17,34.42,1
25,5,340.43,1
9,19,52.42,1
19,12,32.95,1
50,43,39.43,1
43,50,39.43,1
2,3,42.44,1
56,55,102.83,1
38,53,48.78,1
53,49,54.11,1
47,49,103.16,1
31,32,212.82,1
27,57,71.65,1
57,27,71.65,1
20,57,21.49,1
59,20,25.66,1
59,55,12.33,1
55,59,12.33,1
55,8,5.76,1
16,8,45.78,1
54,16,48.71,1
54,24,17.52,1
24,54,17.52,1
7,21,636.04,1
39,7,20.27,1
63,61,18.44,1
11,63,17.91,1
11,13,6.19,1
14,13,165.69,1
28,14,97.3,1
28,18,66.37,1
18,28,66.37,1
65,61,27.19,1
