node u,node v,length,label
1,2,177.84,0
2,3,189.30,0
3,107,190.38,0
3,4,329.29,0
4,106,62.69,0
5,30,501.42,0
6,71,115.47,0
6,24,52.43,0
7,72,19.08,0
7,61,55.96,0
8,91,78.23,0
8,93,89.04,0
9,37,27.94,0
10,128,255.95,0
11,105,311.30,0
13,23,34.02,0
14,11,123.14,0
16,30,177.62,0
17,15,93.89,0
18,46,21.17,0
19,86,17.61,0
20,27,394.17,0
20,28,348.01,0
21,85,134.89,0
21,19,141.32,0
22,98,12.84,0
23,21,19.22,0
24,99,74.53,0
24,89,30.84,0
25,5,237.94,0
26,36,166.95,0
27,31,452.66,0
28,31,268.47,0
29,82,7.84,0
30,4,202.86,0
31,5,7.79,0
32,20,99.53,0
33,65,8.34,0
34,19,1033.56,0
35,6,18.78,0
36,35,390.41,0
36,1,280.53,0
37,73,38.93,0
37,8,82.41,0
38,33,8.56,0
41,80,14.37,0
42,48,65.52,0
43,47,21.78,0
43,44,101.23,0
44,75,14.17,0
45,49,52.76,0
46,53,64.48,0
46,51,19.32,0
47,52,46.07,0
48,55,20.55,0
49,52,20.39,0
50,48,19.75,0
51,119,4.90,0
51,45,73.26,0
52,43,63.51,0
53,55,59.27,0
54,18,9.14,0
54,42,52.05,0
55,49,21.91,0
56,27,181.75,0
56,44,22.85,0
58,41,14.29,0
58,65,37.22,0
59,70,20.98,0
59,95,17.90,0
60,68,22.57,0
60,64,26.06,0
61,72,39.40,0
61,69,19.74,0
62,66,19.48,0
62,7,30.79,0
63,59,50.51,0
63,81,95.32,0
64,57,21.55,0
64,71,29.99,0
65,29,9.22,0
66,64,20.00,0
66,74,27.67,0
67,68,38.49,0
67,9,48.01,0
68,57,28.09,0
69,60,39.23,0
69,67,24.02,0
70,58,7.42,0
71,74,20.63,0
72,60,20.54,0
72,66,26.74,0
73,43,27.41,0
73,75,108.07,0
74,62,44.94,0
75,97,72.19,0
76,94,70.13,0
78,77,30.59,0
82,22,6.85,0
83,84,29.56,0
83,117,100.65,0
84,85,21.41,0
84,120,42.65,0
85,29,98.79,0
85,86,28.48,0
86,22,97.06,0
87,121,81.04,0
89,125,40.90,0
89,90,74.42,0
90,99,30.58,0
90,91,196.74,0
91,92,65.75,0
92,105,118.58,0
93,14,11.85,0
95,96,6.52,0
95,98,57.11,0
96,70,11.20,0
96,82,49.34,0
98,126,105.75,0
99,9,63.23,0
100,104,255.18,0
100,102,197.28,0
101,12,118.76,0
101,118,6.30,0
105,10,79.11,0
106,122,15.36,0
108,54,67.94,0
110,112,16.92,0
112,63,34.89,0
112,127,12.93,0
113,77,43.91,0
115,116,19.88,0
115,11,24.98,0
116,38,15.99,0
117,115,12.02,0
117,101,103.82,0
118,100,236.52,0
118,103,122.16,0
119,56,19.75,0
119,47,92.24,0
120,121,30.60,0
120,23,92.26,0
121,83,42.92,0
122,123,77.02,0
122,35,96.90,0
124,90,42.84,0
124,125,74.20,0
126,18,253.69,0
127,113,60.40,0
127,77,11.20,0
79,126,77.00,0
88,113,70.00,0
14,76,29.54,0
76,15,11.61,0
39,50,15.50,0
15,39,2.65,0
93,92,199.54,1
50,109,28.22,1
109,111,21.05,1
111,110,16.76,1
110,108,15.74,1
108,42,24.66,1
42,53,23.06,1
53,45,20.37,1
45,47,21.27,1
39,40,110.10,1
109,80,110.10,1
80,40,110.10,1
40,114,110.10,1
114,116,6.55,1
38,41,37.37,1
41,111,118.71,1
33,84,104.52,1
