ID,latitudine,longitudine
1,41.5765571,15.1181871
2,41.5766446,15.116223
3,41.5774101,15.1144989
4,41.5780633,15.118198
5,41.5814322,15.1117643
6,41.5794173,15.1193402
7,41.5807802,15.118485
8,41.5819603,15.1203416
9,41.5810875,15.1198217
10,41.5824207,15.1236277
11,41.5839385,15.1206706
12,41.5860808,15.1212272
13,41.5862613,15.1206534
14,41.5828622,15.1204591
15,41.5828839,15.1199655
16,41.5776881,15.1148512
17,41.5820419,15.1200493
18,41.5823554,15.1183426
19,41.5852985,15.1194772
20,41.5834306,15.1138486
21,41.5863249,15.120019
22,41.5842749,15.1195745
23,41.5863043,15.1202484
24,41.5798736,15.1194904
25,41.5818393,15.1094413
26,41.5771424,15.122466
27,41.5817478,15.1167477
28,41.5835814,15.1101005
29,41.5842348,15.1197426
30,41.5786299,15.1158807
31,41.581494,15.1117202
32,41.5842649,15.113502
33,41.5841643,15.1199314
34,41.5915595,15.1211361
35,41.5792532,15.1192869
36,41.576665,15.1215495
37,41.5813362,15.1198693
38,41.5841371,15.1200276
39,41.5828861,15.1199338
40,41.5838114,15.1200079
41,41.5838347,15.1198316
42,41.5825456,15.1190164
43,41.5818379,15.1194473
44,41.5816206,15.1182657
45,41.5821902,15.1192327
46,41.5821695,15.1183977
47,41.5820161,15.1193387
48,41.5827076,15.1197732
49,41.582329,15.1198393
50,41.5828842,15.1197475
51,41.5820044,15.1183892
52,41.5821466,15.1198644
53,41.5823569,15.1191313
54,41.5824164,15.1184162
55,41.5825246,15.1198075
56,41.5818225,15.1182227
57,41.5805213,15.1192145
58,41.5838891,15.1196759
59,41.5836766,15.1194878
60,41.5807637,15.1189597
61,41.5811141,15.1187208
62,41.5805033,15.1184823
63,41.5832813,15.1191899
64,41.5805294,15.1189556
65,41.5841996,15.1198429
66,41.5805193,15.1187155
67,41.5811195,15.1192468
68,41.5807736,15.1192307
69,41.5811165,15.1189581
70,41.58383,15.1196346
71,41.5802597,15.1189577
72,41.5807598,15.1187128
73,41.5816271,15.1196113
74,41.5802705,15.1187101
75,41.5815024,15.1183291
76,41.5828785,15.1201049
77,41.5831479,15.1187135
78,41.5833952,15.1188696
79,41.5835047,15.1177034
80,41.5837835,15.1199902
81,41.5839532,15.1189511
82,41.5842571,15.1196534
83,41.585071,15.1204233
84,41.5850985,15.1200698
85,41.5851216,15.1198143
86,41.5851402,15.1194728
87,41.5861755,15.1206251
88,41.5830658,15.1178736
89,41.5798185,15.1198538
90,41.5804743,15.1200326
91,41.5817526,15.1212039
92,41.5822292,15.1216717
93,41.582757,15.1204362
94,41.583501,15.1202373
95,41.5838337,15.1194409
96,41.5838642,15.1195079
97,41.5810227,15.1178286
98,41.5842407,15.119427
99,41.5805299,15.1196725
100,41.5869169,15.1221656
101,41.585047,15.1208685
102,41.5886462,15.1219081
103,41.5857367,15.1220752
104,41.5874379,15.1202406
105,41.5826651,15.1227584
106,41.5783031,15.1188493
107,41.5777941,15.1128377
108,41.5827514,15.1189347
109,41.5828885,15.1194083
110,41.5828922,15.1189539
111,41.5828952,15.1191554
112,41.5830434,15.1189316
113,41.5832372,15.1183511
114,41.584049,15.1201713
115,41.5840911,15.1204516
116,41.5840991,15.1202128
117,41.5841963,15.1204183
118,41.5850631,15.1209411
119,41.5819637,15.1183665
120,41.5854796,15.120127
121,41.5854534,15.1204932
122,41.5784238,15.118937
123,41.5782052,15.1198156
124,41.5803969,15.1205372
125,41.5797468,15.1203361
126,41.5840469,15.1181934
127,41.5830817,15.1187855
128,41.5804131,15.1250021
