node u,node v,length,label
1,2,177.84,1
2,3,189.3,1
3,107,190.38,1
3,4,329.29,1
4,106,62.69,1
7,72,19.08,1
7,61,55.96,1
8,91,78.23,1
8,93,89.04,1
10,128,255.95,1
11,105,311.3,1
14,11,123.14,1
18,46,21.17,1
20,27,394.17,1
21,85,134.89,1
24,99,74.53,1
27,31,452.66,1
29,82,7.84,1
36,1,280.53,1
37,8,82.41,1
41,80,14.37,1
43,44,101.23,1
44,75,14.17,1
45,49,52.76,1
46,51,19.32,1
49,52,20.39,1
51,119,4.9,1
51,45,73.26,1
54,18,9.14,1
58,41,14.29,1
58,65,37.22,1
59,70,20.98,1
60,68,22.57,1
60,64,26.06,1
61,72,39.4,1
62,7,30.79,1
64,71,29.99,1
65,29,9.22,1
66,74,27.67,1
67,68,38.49,1
68,57,28.09,1
69,60,39.23,1
70,58,7.42,1
72,60,20.54,1
72,66,26.74,1
74,62,44.94,1
85,86,28.48,1
86,22,97.06,1
93,14,11.85,1
95,96,6.52,1
96,70,11.2,1
99,9,63.23,1
100,104,255.18,1
100,102,197.28,1
101,12,118.76,1
105,10,79.11,1
106,122,15.36,1
108,54,67.94,1
115,116,19.88,1
116,38,15.99,1
117,101,103.82,1
119,47,92.24,1
124,125,74.2,1
14,76,29.54,1
76,15,11.61,1
15,39,2.65,1
93,92,199.54,1
50,109,28.22,1
109,111,21.05,1
111,110,16.76,1
110,108,15.74,1
108,42,24.66,1
42,53,23.06,1
53,45,20.37,1
45,47,21.27,1
39,40,110.1,1
109,80,110.1,1
80,40,110.1,1
40,114,110.1,1
114,116,6.55,1
38,41,37.37,1
41,111,118.71,1
33,84,104.52,1
30,5,501.42,1
71,6,115.47,1
24,6,52.43,1
23,13,34.02,1
30,16,177.62,1
15,17,93.89,1
86,19,17.61,1
28,20,348.01,1
19,21,141.32,1
98,22,12.84,1
21,23,19.22,1
89,24,30.84,1
5,25,237.94,1
36,26,166.95,1
31,28,268.47,1
4,30,202.86,1
5,31,7.79,1
65,33,8.34,1
6,35,18.78,1
35,36,390.41,1
73,37,38.93,1
48,42,65.52,1
47,43,21.78,1
53,46,64.48,1
52,47,46.07,1
55,48,20.55,1
48,50,19.75,1
43,52,63.51,1
55,53,59.27,1
42,54,52.05,1
49,55,21.91,1
27,56,181.75,1
44,56,22.85,1
95,59,17.9,1
69,61,19.74,1
66,62,19.48,1
59,63,50.51,1
57,64,21.55,1
64,66,20,1
9,67,48.01,1
67,69,24.02,1
74,71,20.63,1
43,73,27.41,1
