node u,node v,length,label
1,4,106.09,0
1,6,63.69,0
2,9,29.29,0
4,16,236.63,0
5,29,327.59,0
5,30,128.55,0
6,28,78.08,0
7,19,5.11,0
7,30,38.04,0
9,3,5.14,0
10,9,538.10,0
10,18,269.92,0
11,10,330.17,0
11,13,259.45,0
13,2,27.92,0
16,15,115.61,0
16,17,234.67,0
17,14,176.57,0
18,8,515.02,0
19,21,85.12,0
19,12,454.51,0
21,20,79.36,0
21,22,430.01,0
22,24,13.28,0
23,22,21.21,0
24,26,140.47,0
25,24,88.13,0
27,28,151.39,0
28,5,58.99,0
29,31,80.92,0
29,12,45.78,0
30,17,87.33,0
31,33,9.31,0
31,32,12.14,0
12,2,30.26,0
6,4,77.51,1
