ID,latitudine,longitudine
1,41.5616081,14.9844908
2,41.561418,14.9791835
3,41.5614742,14.9787769
4,41.5608639,14.9844424
5,41.5607641,14.9824677
6,41.5612306,14.983923
7,41.5598946,14.9829068
8,41.5609141,14.9786899
9,41.5614619,14.9788364
10,41.5606206,14.9758516
11,41.56337,14.9771591
12,41.561332,14.9795286
13,41.5615733,14.9789198
14,41.5584801,14.9858503
15,41.5606713,14.9860726
16,41.5600618,14.9865504
17,41.5594763,14.9842706
18,41.5583471,14.975756
19,41.5599312,14.9828696
20,41.5596171,14.9810092
21,41.5599016,14.981884
22,41.5596738,14.979486
23,41.5597168,14.9797344
24,41.5596622,14.9793272
25,41.5588717,14.9792512
26,41.5609006,14.979028
27,41.5609747,14.9839942
28,41.5608087,14.9831742
29,41.5611434,14.9799897
30,41.5598563,14.9833594
31,41.5607072,14.980763
32,41.5606264,14.9808611
33,41.5606505,14.9806806
