node u,node v,length,label
1,4,106.09,1
4,16,236.63,1
7,19,5.11,1
9,3,5.14,1
10,9,538.1,1
11,10,330.17,1
16,15,115.61,1
16,17,234.67,1
19,21,85.12,1
19,12,454.51,1
29,31,80.92,1
12,2,30.26,1
6,4,77.51,1
6,1,63.69,1
9,2,29.29,1
29,5,327.59,1
30,5,128.55,1
28,6,78.08,1
30,7,38.04,1
13,11,259.45,1
2,13,27.92,1
14,17,176.57,1
8,18,515.02,1
22,23,21.21,1
24,25,88.13,1
5,28,58.99,1
12,29,45.78,1
17,30,87.33,1
33,31,9.31,1
32,31,12.14,1
4,1,106.09,1
1,6,63.69,1
31,33,9.31,1
3,9,5.14,1
24,22,13.28,1
22,24,13.28,1
23,22,21.21,1
7,30,38.04,1
19,7,5.11,1
2,12,30.26,1
21,20,79.36,1
20,21,79.36,1
15,16,115.61,1
17,14,176.57,1
18,8,515.02,1
18,10,269.92,1
10,18,269.92,1
28,27,151.39,1
27,28,151.39,1
31,32,12.14,1
31,29,80.92,1
26,24,140.47,1
24,26,140.47,1
25,24,88.13,1
22,21,430.01,1
21,22,430.01,1
21,19,85.12,1
7,19,5.11,1
30,7,38.04,1
5,30,128.55,1
