node u,node v,length,label
1,12,66.12,0
2,95,47.65,0
2,9,163.62,0
3,72,18.20,0
3,74,47.26,0
4,99,39.05,0
4,5,22.94,0
5,54,87.28,0
6,4,154.61,0
6,56,25.40,0
7,51,56.11,0
8,100,15.40,0
9,100,77.22,0
9,33,128.49,0
10,9,376.42,0
11,55,50.00,0
12,5,79.97,0
12,11,35.15,0
13,71,99.30,0
13,1,140.29,0
14,15,82.60,0
15,78,22.80,0
16,75,33.72,0
17,16,26.35,0
18,21,15.79,0
19,79,35.20,0
19,16,34.07,0
20,19,36.64,0
21,83,24.80,0
21,61,78.93,0
22,23,38.25,0
23,81,18.24,0
23,19,18.22,0
24,82,26.44,0
25,87,25.06,0
26,27,78.05,0
26,86,22.60,0
27,92,23.74,0
28,94,72.38,0
29,93,12.30,0
29,28,65.29,0
30,53,64.49,0
30,2,120.14,0
31,101,10.36,0
32,31,28.10,0
32,34,117.89,0
33,36,51.10,0
34,33,33.01,0
35,34,52.66,0
35,32,56.94,0
36,37,91.57,0
36,43,273.90,0
37,35,62.97,0
38,40,109.26,0
38,37,87.22,0
39,38,90.99,0
40,39,78.78,0
40,45,66.75,0
42,46,140.01,0
42,39,35.18,0
43,49,155.45,0
44,66,41.57,0
44,42,59.96,0
45,47,63.41,0
45,48,115.22,0
46,47,37.59,0
47,48,91.66,0
49,44,152.61,0
50,43,435.23,0
51,49,200.53,0
53,96,105.35,0
53,98,165.82,0
54,11,191.74,0
56,1,66.06,0
57,56,58.25,0
59,13,25.12,0
59,58,67.77,0
60,52,185.36,0
61,77,31.52,0
61,60,71.82,0
62,63,86.99,0
62,26,23.45,0
63,60,166.59,0
63,65,165.51,0
66,67,37.36,0
67,66,92.32,0
67,46,20.83,0
68,69,16.98,0
68,59,48.17,0
70,68,20.11,0
70,71,33.90,0
71,73,21.09,0
72,70,21.77,0
73,74,21.29,0
73,72,40.67,0
74,15,20.54,0
75,15,44.66,0
76,3,23.83,0
76,15,58.08,0
77,78,67.15,0
77,76,22.11,0
78,18,10.86,0
79,18,42.51,0
79,75,33.88,0
80,79,17.08,0
81,80,18.29,0
82,61,20.70,0
83,25,24.71,0
84,80,24.31,0
85,84,26.66,0
86,24,25.86,0
87,27,25.34,0
87,86,80.55,0
88,87,40.22,0
88,85,23.35,0
89,88,25.95,0
90,89,23.77,0
90,81,100.74,0
91,90,12.87,0
91,23,124.34,0
93,92,64.48,0
93,91,17.39,0
94,62,19.44,0
95,94,15.07,0
95,64,71.71,0
97,64,107.76,0
98,29,80.82,0
100,30,16.62,0
101,41,572.82,0
101,53,124.35,0
96,97,45.44,1
97,98,16.85,1
96,64,64.62,1
64,28,14.85,1
28,92,18.66,1
92,62,74.69,1
27,89,39.68,1
25,24,83.52,1
25,85,40.80,1
83,82,82.93,1
83,84,41.29,1
21,80,41.83,1
