ID,latitudine,longitudine
1,41.840372,15.1666985
2,41.8452636,15.166782
3,41.8428078,15.1664758
4,41.8390682,15.1671222
5,41.8390628,15.1668454
6,41.840363,15.1678024
7,41.8536719,15.1712589
8,41.8466268,15.1669345
9,41.8464994,15.1678385
10,41.8469706,15.1721012
11,41.8396368,15.1663822
12,41.8397792,15.166761
13,41.8416112,15.1663807
14,41.8424891,15.1651363
15,41.8430104,15.1658462
16,41.8430099,15.1649001
17,41.8430177,15.1645822
18,41.8433128,15.1658283
19,41.8433162,15.1648902
20,41.8433179,15.1644479
21,41.8434547,15.165826
22,41.8434745,15.1644189
23,41.8434799,15.1648806
24,41.8438809,15.1668371
25,41.8438999,15.1658292
26,41.8443141,15.1667733
27,41.8443532,15.1658325
28,41.8447311,15.1659007
29,41.8447602,15.1651135
30,41.8463411,15.166888
31,41.8470123,15.1671701
32,41.8472371,15.1673251
33,41.8475081,15.1685902
34,41.8475923,15.168208
35,41.847709,15.1675919
36,41.8479253,15.1688489
37,41.848242,15.1678486
38,41.8489977,15.1681274
39,41.8497626,15.1685089
40,41.8498644,15.1675677
41,41.8499087,15.1642217
42,41.8500366,15.1687188
43,41.8501562,15.1702468
44,41.8504912,15.1691082
45,41.8504392,15.1673352
46,41.8508532,15.1680064
47,41.8509783,15.1675848
48,41.8512909,15.1665609
49,41.8515389,15.170277
50,41.8527666,15.174099
51,41.8531747,15.1711436
52,41.842602,15.1694888
53,41.8463852,15.1661117
54,41.8382809,15.1669375
55,41.8400812,15.1662904
56,41.8403692,15.1674959
57,41.8408855,15.1673767
58,41.8417802,15.167193
59,41.8418371,15.1663785
60,41.8432539,15.1675577
61,41.8434635,15.1667787
62,41.8445248,15.1667708
63,41.8447445,15.1677602
64,41.8448644,15.1659109
65,41.8451641,15.1696753
66,41.8506437,15.16865
67,41.8507807,15.1682382
68,41.8422691,15.1664207
69,41.8422719,15.1662158
70,41.8424494,15.1664392
71,41.8424615,15.1660303
72,41.8426446,15.1664591
73,41.8426454,15.1659681
74,41.8428312,15.1659061
75,41.8430101,15.1653071
76,41.8430154,15.1665473
77,41.8432,15.1666445
78,41.8432152,15.1658341
79,41.8433147,15.1653151
80,41.8434682,15.1653214
81,41.843474,15.1651007
82,41.843646,15.1668278
83,41.8436777,15.1658276
84,41.8436867,15.1653293
85,41.8439264,15.1653379
86,41.8441121,15.166803
87,41.8441253,15.1658308
88,41.8441363,15.1653455
89,41.8443696,15.165354
90,41.8443794,15.1650674
91,41.8444951,15.1650725
92,41.8445648,15.1658707
93,41.84465,15.1651007
94,41.8446996,15.1667735
95,41.8448351,15.1667755
96,41.845443,15.165983
97,41.8454685,15.1654355
98,41.8454816,15.1652329
99,41.8387514,15.1669187
100,41.8464899,15.1669064
101,41.8470492,15.1670553
