node u,node v,length,label
2,9,163.62,1
4,99,39.05,1
4,5,22.94,1
5,54,87.28,1
6,4,154.61,1
7,51,56.11,1
9,100,77.22,1
13,71,99.3,1
18,21,15.79,1
19,79,35.2,1
21,83,24.8,1
21,61,78.93,1
23,81,18.24,1
25,87,25.06,1
27,92,23.74,1
30,53,64.49,1
30,2,120.14,1
31,101,10.36,1
32,34,117.89,1
33,36,51.1,1
34,33,33.01,1
35,32,56.94,1
36,43,273.9,1
37,35,62.97,1
38,37,87.22,1
39,38,90.99,1
40,39,78.78,1
42,46,140.01,1
43,49,155.45,1
44,42,59.96,1
46,47,37.59,1
47,48,91.66,1
49,44,152.61,1
53,96,105.35,1
54,11,191.74,1
59,13,25.12,1
59,58,67.77,1
61,77,31.52,1
62,63,86.99,1
63,60,166.59,1
67,66,92.32,1
68,69,16.98,1
68,59,48.17,1
70,68,20.11,1
71,73,21.09,1
72,70,21.77,1
73,72,40.67,1
76,15,58.08,1
77,78,67.15,1
77,76,22.11,1
78,18,10.86,1
79,18,42.51,1
79,75,33.88,1
80,79,17.08,1
81,80,18.29,1
83,25,24.71,1
84,80,24.31,1
85,84,26.66,1
87,27,25.34,1
88,87,40.22,1
88,85,23.35,1
89,88,25.95,1
90,89,23.77,1
91,23,124.34,1
93,91,17.39,1
94,62,19.44,1
95,94,15.07,1
97,64,107.76,1
100,30,16.62,1
96,97,45.44,1
97,98,16.85,1
96,64,64.62,1
64,28,14.85,1
28,92,18.66,1
92,62,74.69,1
27,89,39.68,1
25,24,83.52,1
25,85,40.8,1
83,82,82.93,1
83,84,41.29,1
21,80,41.83,1
12,1,66.12,1
95,2,47.65,1
72,3,18.2,1
74,3,47.26,1
56,6,25.4,1
100,8,15.4,1
33,9,128.49,1
5,12,79.97,1
11,12,35.15,1
15,14,82.6,1
75,16,33.72,1
16,17,26.35,1
16,19,34.07,1
19,20,36.64,1
23,22,38.25,1
82,24,26.44,1
27,26,78.05,1
94,28,72.38,1
93,29,12.3,1
28,29,65.29,1
34,35,52.66,1
40,38,109.26,1
45,40,66.75,1
47,45,63.41,1
48,45,115.22,1
43,50,435.23,1
98,53,165.82,1
1,56,66.06,1
60,61,71.82,1
26,62,23.45,1
66,67,92.32,1
71,70,33.9,1
74,73,21.29,1
15,74,20.54,1
15,75,44.66,1
3,76,23.83,1
61,82,20.7,1
24,86,25.86,1
86,87,80.55,1
81,90,100.74,1
92,93,64.48,1
64,95,71.71,1
29,98,80.82,1
53,101,124.35,1
84,80,24.31,1
80,79,17.08,1
79,18,42.51,1
18,21,15.79,1
21,83,24.8,1
24,86,25.86,1
86,26,22.6,1
26,27,78.05,1
80,79,17.08,1
79,18,42.51,1
18,21,15.79,1
85,88,23.35,1
88,87,40.22,1
87,25,25.06,1
82,61,20.7,1
61,21,78.93,1
21,83,24.8,1
89,88,25.95,1
88,87,40.22,1
87,25,25.06,1
62,94,19.44,1
94,95,15.07,1
95,2,47.65,1
2,30,120.14,1
30,53,64.49,1
53,96,105.35,1
98,53,165.82,1
53,96,105.35,1
73,71,21.09,1
69,68,16.98,1
45,47,63.41,1
18,21,15.79,1
29,93,12.3,1
70,72,21.77,1
66,44,41.57,1
44,66,41.57,1
46,67,20.83,1
67,46,20.83,1
42,39,35.18,1
39,42,35.18,1
59,13,25.12,1
90,91,12.87,1
91,90,12.87,1
74,15,20.54,1
17,16,26.35,1
76,77,22.11,1
87,88,40.22,1
87,27,25.34,1
101,31,10.36,1
31,32,28.1,1
32,31,28.1,1
55,11,50,1
11,55,50,1
100,30,16.62,1
63,65,165.51,1
65,63,165.51,1
80,81,18.29,1
49,51,200.53,1
51,49,200.53,1
51,7,56.11,1
37,36,91.57,1
36,37,91.57,1
62,94,19.44,1
94,95,15.07,1
95,94,15.07,1
2,95,47.65,1
5,4,22.94,1
1,13,140.29,1
13,1,140.29,1
13,59,25.12,1
58,59,67.77,1
26,86,22.6,1
86,26,22.6,1
60,52,185.36,1
52,60,185.36,1
50,43,435.23,1
57,56,58.25,1
56,57,58.25,1
14,15,82.6,1
75,15,44.66,1
20,19,36.64,1
19,23,18.22,1
23,19,18.22,1
22,23,38.25,1
38,40,109.26,1
8,100,15.4,1
30,100,16.62,1
53,30,64.49,1
101,53,124.35,1
101,41,572.82,1
41,101,572.82,1
99,4,39.05,1
4,5,22.94,1
12,5,79.97,1
35,34,52.66,1
34,33,33.01,1
33,34,33.01,1
9,33,128.49,1
9,10,376.42,1
10,9,376.42,1
3,74,47.26,1
15,74,20.54,1
15,78,22.8,1
78,15,22.8,1
96,97,45.44,1
