node u,node v,length,label
1,151,90.14,0
1,26,421.06,0
2,161,29.49,0
2,152,56.81,0
3,111,68.01,0
3,113,22.92,0
5,4,238.42,0
6,99,18.74,0
6,141,38.03,0
7,22,48.00,0
7,64,26.89,0
8,180,4.60,0
8,7,25.85,0
9,11,42.23,0
11,14,22.97,0
11,10,166.27,0
12,20,10.62,0
13,12,29.01,0
13,55,42.61,0
14,112,74.63,0
15,13,16.31,0
16,68,11.11,0
16,98,19.67,0
17,16,49.26,0
17,83,39.90,0
18,14,21.84,0
19,9,37.37,0
19,18,42.79,0
20,19,11.67,0
20,154,31.22,0
21,122,15.87,0
21,27,51.97,0
22,21,37.92,0
22,95,18.32,0
23,89,18.65,0
23,81,54.90,0
25,79,38.42,0
26,32,43.44,0
28,156,20.66,0
28,128,98.88,0
30,87,35.06,0
30,41,15.13,0
31,33,9.31,0
32,174,2.51,0
32,40,336.45,0
33,29,103.87,0
34,31,19.70,0
35,102,25.72,0
35,31,58.51,0
36,57,40.17,0
36,91,30.87,0
37,6,12.25,0
37,34,69.09,0
38,36,11.35,0
38,48,39.62,0
39,30,15.47,0
39,77,76.74,0
40,51,84.69,0
41,38,16.86,0
41,97,39.27,0
42,125,147.90,0
42,39,17.43,0
43,174,201.91,0
44,160,31.27,0
44,46,158.29,0
46,45,22.01,0
46,43,78.75,0
47,146,41.00,0
47,56,15.51,0
49,61,30.88,0
49,58,14.94,0
50,103,36.17,0
51,27,14.68,0
51,50,85.82,0
53,61,15.70,0
54,71,18.67,0
54,124,57.16,0
55,9,58.00,0
56,127,88.69,0
56,84,15.36,0
58,90,14.54,0
58,67,28.55,0
59,15,43.93,0
60,62,15.30,0
61,67,14.98,0
62,94,19.75,0
63,106,20.54,0
63,65,119.44,0
64,35,11.58,0
64,76,33.72,0
65,132,252.91,0
66,81,15.25,0
67,101,14.57,0
68,15,5.76,0
68,83,41.93,0
69,105,29.50,0
69,73,15.11,0
70,75,28.87,0
70,69,14.76,0
71,107,111.53,0
71,99,71.19,0
72,24,28.97,0
72,62,115.28,0
73,49,29.66,0
73,80,14.91,0
74,91,59.50,0
75,85,41.57,0
75,105,15.14,0
76,88,38.98,0
76,82,17.62,0
78,40,65.35,0
79,90,30.27,0
80,79,14.44,0
80,58,29.77,0
81,104,15.76,0
81,92,68.21,0
82,54,26.95,0
82,71,26.69,0
83,55,24.99,0
84,147,8.43,0
84,128,117.68,0
85,53,22.98,0
85,120,38.23,0
86,65,72.95,0
86,47,21.99,0
88,54,16.35,0
88,121,52.27,0
89,100,18.61,0
89,104,45.07,0
90,66,15.09,0
90,101,25.44,0
91,5,293.38,0
93,70,32.77,0
93,50,19.91,0
94,148,5.51,0
95,78,98.76,0
95,123,79.82,0
96,149,29.81,0
96,119,149.64,0
99,60,84.21,0
100,94,17.83,0
100,63,36.72,0
102,37,92.68,0
102,34,36.09,0
104,63,15.44,0
104,52,91.62,0
105,49,15.09,0
105,53,35.96,0
106,86,21.50,0
107,60,39.13,0
107,124,91.77,0
108,66,62.81,0
111,135,24.53,0
112,115,105.57,0
112,110,367.07,0
113,111,55.78,0
113,5,400.87,0
114,19,41.49,0
116,117,89.77,0
117,43,25.88,0
118,119,120.36,0
118,96,69.37,0
119,116,62.72,0
121,72,21.87,0
122,78,73.17,0
122,95,34.40,0
124,121,9.31,0
125,139,32.70,0
128,155,26.45,0
129,133,171.03,0
129,130,161.77,0
130,133,31.23,0
130,143,86.17,0
131,135,59.93,0
132,134,4.95,0
133,131,73.96,0
134,136,30.76,0
134,140,103.78,0
135,109,81.39,0
136,129,37.22,0
136,176,95.78,0
137,143,58.43,0
138,12,43.66,0
139,142,32.73,0
139,144,42.26,0
140,132,153.67,0
141,125,24.61,0
141,28,139.36,0
142,159,91.47,0
143,131,50.15,0
146,145,15.88,0
147,28,12.71,0
147,145,39.72,0
148,146,20.43,0
148,106,26.61,0
149,150,49.18,0
149,93,26.63,0
151,8,62.03,0
151,170,142.05,0
152,172,145.28,0
153,18,23.19,0
155,156,142.30,0
155,3,71.97,0
156,158,100.28,0
157,142,13.83,0
160,118,99.39,0
160,116,192.72,0
161,162,51.22,0
161,171,88.70,0
165,177,13.03,0
165,173,112.60,0
167,168,61.83,0
167,163,60.49,0
168,2,89.65,0
168,164,57.35,0
170,152,60.49,0
170,169,205.93,0
172,166,459.32,0
172,1,173.07,0
174,44,95.56,0
175,13,42.75,0
176,140,31.07,0
176,137,174.03,0
177,167,67.72,0
177,179,143.70,0
178,165,45.12,0
180,17,38.20,0
180,126,86.49,0
23,108,17.79,0
