ID,latitudine,longitudine
1,41.2245465,15.3860087
2,41.226019,15.3863951
3,41.2195699,15.381964
4,41.2189216,15.389647
5,41.2190583,15.3868569
6,41.22179,15.3851669
7,41.2230621,15.3862508
8,41.2232409,15.3864466
9,41.2223519,15.3879461
10,41.2219135,15.389209
11,41.2221955,15.3884061
12,41.2227618,15.3878705
13,41.222885,15.3875648
14,41.2223166,15.3886286
15,41.2229603,15.3873974
16,41.2230332,15.3872206
17,41.2229245,15.3867301
18,41.2224703,15.3885432
19,41.2226661,15.3881045
20,41.2227191,15.3879841
21,41.2228293,15.3852713
22,41.2229282,15.3857052
23,41.2218503,15.3839605
24,41.2226018,15.38426
25,41.2221514,15.3840431
26,41.2257247,15.3815458
27,41.2227052,15.3846724
28,41.2206885,15.3836395
29,41.2220383,15.3874937
30,41.2217689,15.386701
31,41.2222567,15.3861739
32,41.2253445,15.3815458
33,41.2222337,15.3862809
34,41.2222308,15.3859409
35,41.2227622,15.3860243
36,41.2214458,15.3869899
37,41.2218677,15.3852707
38,41.2215327,15.3869187
39,41.2218803,15.3865902
40,41.2235761,15.3844162
41,41.2216609,15.386811
42,41.2219981,15.3864527
43,41.2240037,15.3804575
44,41.224636,15.3822441
45,41.2235369,15.3809528
46,41.2236446,15.3811736
47,41.2210901,15.3833278
48,41.2213895,15.3864849
49,41.2222833,15.3831693
50,41.2225116,15.3839022
51,41.2228369,15.3846603
52,41.2214605,15.3822679
53,41.2223488,15.3827153
54,41.2225411,15.3853353
55,41.222555,15.3873074
56,41.2209723,15.3834271
57,41.2212929,15.3865547
58,41.2221523,15.383209
59,41.2232611,15.3877318
60,41.2215422,15.3841558
61,41.222226,15.382808
62,41.2214583,15.3840108
63,41.2214812,15.3833832
64,41.2228504,15.3860977
65,41.221077,15.3823588
66,41.2218903,15.3832732
67,41.2221009,15.3828746
68,41.2229842,15.3873363
69,41.2224695,15.3834813
70,41.2225982,15.3834382
71,41.2224082,15.3854704
72,41.2224244,15.3844649
73,41.2223363,15.3835169
74,41.2214899,15.3875541
75,41.2225499,15.383099
76,41.2227568,15.3857145
77,41.2217237,15.3857054
78,41.2236133,15.3850568
79,41.2220788,15.383594
80,41.2222058,15.3835577
81,41.221757,15.3833159
82,41.2226094,15.3856433
83,41.2226729,15.3870536
84,41.2208597,15.3835334
85,41.2225372,15.3826023
86,41.2212555,15.3831849
87,41.2216433,15.3863165
88,41.2226803,15.3852725
89,41.2216965,15.3838717
90,41.2220236,15.3832396
91,41.2212574,15.3872605
92,41.2216398,15.3825154
93,41.2226727,15.3838173
94,41.2213743,15.3838054
95,41.2230758,15.3856078
96,41.2230558,15.3833828
97,41.2215146,15.3863837
98,41.2232051,15.3872741
99,41.2218996,15.3849967
100,41.2215344,15.3838165
101,41.2219798,15.3829411
102,41.2225511,15.3859012
103,41.222207,15.3840541
104,41.2216168,15.3833434
105,41.2224166,15.3831357
106,41.2213006,15.3834349
107,41.2217755,15.384506
108,41.2220062,15.3840082
109,41.2181288,15.3824467
110,41.2235133,15.392911
111,41.2190041,15.3821244
112,41.2222278,15.3894735
113,41.2195009,15.3822164
114,41.2230025,15.3883192
115,41.2218187,15.3905842
116,41.2232782,15.3811824
117,41.223772,15.3804289
118,41.2236198,15.3830284
119,41.2230546,15.381801
120,41.2224988,15.3821519
121,41.2225105,15.3846993
122,41.2229692,15.3852336
123,41.2234496,15.3855348
124,41.2224477,15.3847729
125,41.2213942,15.3850491
126,41.2238226,15.3864316
127,41.2204896,15.382583
128,41.2201989,15.3826527
129,41.2207163,15.3808629
130,41.2192628,15.3809352
131,41.2186572,15.3815954
132,41.2208572,15.3800768
133,41.219285,15.381304
134,41.2208133,15.3800868
135,41.2188164,15.3822785
136,41.2207568,15.3804455
137,41.2183822,15.3803978
138,41.2231215,15.3880788
139,41.2211714,15.3853043
140,41.2198809,15.3801411
141,41.2215511,15.3848416
142,41.2209585,15.3855745
143,41.2184944,15.3810363
144,41.2208961,15.384956
145,41.2210621,15.383905
146,41.2211771,15.3838042
147,41.2207961,15.3835883
148,41.2213553,15.3837446
149,41.2228677,15.3836367
150,41.223249,15.3839222
151,41.2237466,15.3861739
152,41.2255506,15.3861282
153,41.222639,15.3887063
154,41.2229679,15.3881565
155,41.2200669,15.3823898
156,41.220527,15.3837616
157,41.2208778,15.3854487
158,41.2211558,15.3846118
159,41.2215005,15.3863962
160,41.2243928,15.3824318
161,41.2262065,15.3861489
162,41.2265608,15.3858869
163,41.2254817,15.388551
164,41.2254989,15.3878075
165,41.2258859,15.3890788
166,41.2293263,15.3841105
167,41.2258035,15.3881199
168,41.2258907,15.3874011
169,41.2235358,15.38712
170,41.2250147,15.3862525
171,41.2262763,15.3871912
172,41.2257774,15.3849105
173,41.2258621,15.390278
174,41.2253264,15.3815637
175,41.2232049,15.3878384
176,41.219897,15.3805119
177,41.2258685,15.3889247
178,41.2259936,15.3895979
179,41.2271112,15.3890668
180,41.2232041,15.3864717
