node u,node v,length,label
5,4,238.42,1
7,64,26.89,1
8,7,25.85,1
13,55,42.61,1
14,112,74.63,1
15,13,16.31,1
17,83,39.9,1
18,14,21.84,1
19,18,42.79,1
21,122,15.87,1
21,27,51.97,1
22,21,37.92,1
28,128,98.88,1
30,87,35.06,1
35,31,58.51,1
39,77,76.74,1
42,125,147.9,1
47,56,15.51,1
49,61,30.88,1
49,58,14.94,1
55,9,58,1
56,127,88.69,1
56,84,15.36,1
58,90,14.54,1
59,15,43.93,1
62,94,19.75,1
63,65,119.44,1
64,35,11.58,1
64,76,33.72,1
65,132,252.91,1
68,15,5.76,1
71,107,111.53,1
72,24,28.97,1
72,62,115.28,1
73,49,29.66,1
75,105,15.14,1
76,88,38.98,1
76,82,17.62,1
80,79,14.44,1
81,92,68.21,1
82,71,26.69,1
85,120,38.23,1
86,65,72.95,1
88,121,52.27,1
89,104,45.07,1
90,101,25.44,1
93,70,32.77,1
94,148,5.51,1
95,123,79.82,1
96,149,29.81,1
104,63,15.44,1
105,49,15.09,1
105,53,35.96,1
107,60,39.13,1
107,124,91.77,1
108,66,62.81,1
112,110,367.07,1
113,5,400.87,1
114,19,41.49,1
121,72,21.87,1
122,78,73.17,1
122,95,34.4,1
129,133,171.03,1
130,143,86.17,1
131,135,59.93,1
134,136,30.76,1
136,176,95.78,1
137,143,58.43,1
139,142,32.73,1
139,144,42.26,1
141,28,139.36,1
143,131,50.15,1
147,145,39.72,1
148,146,20.43,1
148,106,26.61,1
149,150,49.18,1
151,8,62.03,1
153,18,23.19,1
155,156,142.3,1
160,116,192.72,1
167,168,61.83,1
168,164,57.35,1
172,166,459.32,1
176,137,174.03,1
23,108,17.79,1
108,25,16.41,1
25,103,6.25,1
103,24,48.27,1
24,27,36.37,1
6,145,133.84,1
33,42,30.27,1
151,1,90.14,1
26,1,421.06,1
161,2,29.49,1
152,2,56.81,1
113,3,22.92,1
99,6,18.74,1
22,7,48,1
180,8,4.6,1
11,9,42.23,1
14,11,22.97,1
10,11,166.27,1
12,13,29.01,1
68,16,11.11,1
98,16,19.67,1
16,17,49.26,1
9,19,37.37,1
19,20,11.67,1
95,22,18.32,1
81,23,54.9,1
79,25,38.42,1
32,26,43.44,1
156,28,20.66,1
41,30,15.13,1
33,31,9.31,1
40,32,336.45,1
