node u,node v,length,label
1,42,40.09,0
1,88,17.52,0
2,41,90.81,0
2,44,173.98,0
3,8,10.73,0
3,64,24.64,0
4,101,16.08,0
4,85,39.90,0
6,82,19.93,0
6,88,39.44,0
8,48,19.17,0
9,31,28.98,0
9,2,218.10,0
10,116,183.49,0
10,44,186.46,0
12,33,5.36,0
13,112,115.54,0
14,52,43.45,0
15,63,63.23,0
16,9,175.68,0
17,66,21.14,0
18,26,96.51,0
18,99,48.98,0
20,82,21.56,0
21,66,38.78,0
22,80,55.43,0
22,4,28.31,0
23,49,13.38,0
23,14,81.65,0
24,28,16.20,0
24,14,20.68,0
25,97,27.19,0
25,7,97.26,0
26,113,7.64,0
27,73,26.34,0
28,46,12.34,0
28,74,59.21,0
29,23,35.74,0
29,79,38.53,0
30,89,23.28,0
31,21,25.19,0
32,105,109.75,0
33,20,51.93,0
33,99,37.00,0
34,61,7.07,0
34,59,12.72,0
35,81,41.04,0
35,57,50.19,0
36,90,22.53,0
36,71,42.30,0
37,78,42.95,0
37,80,18.58,0
38,90,41.89,0
39,67,19.01,0
40,36,34.10,0
40,58,7.37,0
41,31,197.98,0
41,34,32.44,0
42,6,16.67,0
44,19,121.80,0
45,15,5.88,0
46,13,19.81,0
46,86,55.97,0
47,20,11.47,0
47,30,26.89,0
48,88,40.24,0
48,94,60.10,0
49,65,19.13,0
49,28,92.31,0
50,94,6.80,0
50,53,43.26,0
50,69,143.88,0
51,107,15.68,0
51,115,28.85,0
52,61,22.11,0
52,29,42.03,0
53,60,62.12,0
54,38,40.04,0
55,97,63.61,0
56,57,8.28,0
57,26,19.73,0
58,24,55.39,0
58,38,14.83,0
59,21,180.81,0
60,1,28.13,0
60,87,29.10,0
61,54,66.27,0
62,72,156.12,0
63,98,21.60,0
63,68,19.91,0
64,96,28.35,0
65,46,86.91,0
66,59,201.85,0
66,10,76.87,0
67,30,20.53,0
68,11,20.28,0
68,72,45.25,0
69,95,23.01,0
69,73,31.85,0
70,106,24.44,0
71,60,36.74,0
71,101,23.04,0
72,39,4.98,0
73,92,10.90,0
74,40,6.04,0
76,81,7.81,0
76,43,34.19,0
77,103,60.72,0
78,22,12.78,0
79,34,130.79,0
80,5,4.14,0
81,106,11.29,0
82,78,27.85,0
83,56,179.82,0
83,91,10.90,0
84,51,23.50,0
84,45,30.08,0
85,36,26.25,0
85,75,34.38,0
86,74,15.21,0
87,86,20.08,0
87,13,40.84,0
88,12,18.90,0
89,39,17.17,0
90,102,16.55,0
91,69,154.83,0
92,100,16.72,0
92,64,59.96,0
93,53,68.15,0
94,27,128.37,0
96,100,47.04,0
96,111,17.50,0
97,89,4.67,0
99,67,5.95,0
100,110,15.80,0
101,42,34.01,0
102,75,23.47,0
102,54,94.91,0
102,17,48.08,0
103,79,77.96,0
103,65,42.91,0
105,35,54.96,0
106,84,20.49,0
106,113,63.42,0
108,109,89.51,0
110,56,58.12,0
110,111,37.69,0
111,57,51.73,0
113,45,22.11,0
115,108,107.53,0
115,114,66.71,0
97,7,83.03,1
7,62,134.91,1
62,15,67.02,1
