ID,latitudine,longitudine
1,41.3251116,15.1613443
2,41.324856,15.157836
3,41.324571,15.1615309
4,41.3257501,15.1611431
5,41.3261802,15.1618047
6,41.3253508,15.1617322
7,41.3248426,15.1634531
8,41.3246653,15.1615581
9,41.326517,15.159177
10,41.3273859,15.1599745
11,41.3244507,15.1626779
12,41.3249572,15.1617284
13,41.3250787,15.1604369
14,41.3251286,15.1597557
15,41.323711,15.1625117
16,41.3250218,15.1585409
17,41.3265828,15.1604119
18,41.3244705,15.1621085
19,41.3257624,15.1569955
20,41.3253961,15.1620599
21,41.3266563,15.159797
22,41.3257252,15.1614583
23,41.3244059,15.1595967
24,41.3252593,15.1599319
25,41.3253264,15.162526
26,41.3236113,15.16219
27,41.3240519,15.1606389
28,41.3251665,15.1600814
29,41.3244941,15.1591895
30,41.3251192,15.162269
31,41.3266077,15.1595024
32,41.3221135,15.1633054
33,41.3249861,15.1617798
34,41.3249708,15.1592517
35,41.3231066,15.162052
36,41.3258722,15.1606677
37,41.3259803,15.1618587
38,41.3256907,15.1602072
39,41.324903,15.1624334
40,41.3256121,15.1604513
41,41.3248887,15.1588853
42,41.325432,15.1615644
43,41.322977,15.1629213
44,41.3263982,15.1581831
45,41.323662,15.162538
46,41.3251031,15.1602027
47,41.3253484,15.1621817
48,41.3247095,15.1613414
49,41.32439,15.1597555
50,41.3246273,15.160795
51,41.3233771,15.1628488
52,41.3248301,15.15942
53,41.3249574,15.1606512
54,41.3254354,15.1598735
55,41.3256275,15.162335
56,41.3235246,15.1618764
57,41.3235533,15.1619679
58,41.3256345,15.1603682
59,41.3250839,15.1592744
60,41.325264,15.1610771
61,41.3250127,15.1593153
62,41.3238061,15.1632973
63,41.3242749,15.162426
64,41.3243554,15.1615658
65,41.3243458,15.1599769
66,41.3267296,15.160251
67,41.3249573,15.1622176
68,41.3244538,15.1624351
69,41.3236782,15.1609221
70,41.3231278,15.1628338
71,41.3255862,15.1610015
72,41.3248598,15.1624493
73,41.3239643,15.1609288
74,41.3255866,15.1605151
75,41.3262933,15.1606406
76,41.3230396,15.1625278
77,41.3234282,15.1597727
78,41.3256556,15.1615801
79,41.3241711,15.15903
80,41.3261443,15.1618177
81,41.3231089,15.1625432
82,41.3255072,15.1618487
83,41.3223674,15.1603873
84,41.3233935,15.1625683
85,41.3260482,15.1608772
86,41.3254863,15.1606354
87,41.3253258,15.1607457
88,41.3250338,15.1615266
89,41.32504,15.162527
90,41.326011,15.1604712
91,41.3223948,15.1602715
92,41.3239818,15.1610572
93,41.3243879,15.1603548
94,41.3246008,15.1608684
95,41.32364,15.1611929
96,41.3241243,15.161705
97,41.3250819,15.1625232
98,41.3242883,15.1626841
99,41.3249046,15.162205
100,41.3239013,15.1612263
101,41.3256396,15.1612674
102,41.326155,15.1604283
103,41.3239627,15.1599214
104,41.3254778,15.1597127
105,41.3226295,15.1622002
106,41.3232093,15.1625637
107,41.3232366,15.1628329
108,41.3240959,15.1640166
109,41.3248469,15.1637552
110,41.3238301,15.1613901
111,41.3239811,15.1617907
112,41.3241005,15.1601771
113,41.3236342,15.1622761
114,41.3238648,15.1637513
115,41.3234569,15.1631753
116,41.3278762,15.1586625
