node u,node v,length,label
1,88,17.52,1
2,41,90.81,1
3,64,24.64,1
9,2,218.1,1
10,44,186.46,1
12,33,5.36,1
14,52,43.45,1
18,26,96.51,1
21,66,38.78,1
24,14,20.68,1
25,7,97.26,1
26,113,7.64,1
28,46,12.34,1
29,23,35.74,1
29,79,38.53,1
30,89,23.28,1
33,20,51.93,1
33,99,37,1
34,61,7.07,1
34,59,12.72,1
35,57,50.19,1
37,80,18.58,1
39,67,19.01,1
40,58,7.37,1
41,31,197.98,1
41,34,32.44,1
44,19,121.8,1
46,13,19.81,1
46,86,55.97,1
47,30,26.89,1
48,88,40.24,1
49,28,92.31,1
50,53,43.26,1
51,107,15.68,1
51,115,28.85,1
52,29,42.03,1
53,60,62.12,1
58,24,55.39,1
58,38,14.83,1
59,21,180.81,1
60,1,28.13,1
62,72,156.12,1
63,98,21.6,1
64,96,28.35,1
65,46,86.91,1
66,10,76.87,1
67,30,20.53,1
69,95,23.01,1
71,101,23.04,1
72,39,4.98,1
74,40,6.04,1
76,43,34.19,1
77,103,60.72,1
79,34,130.79,1
83,91,10.9,1
84,51,23.5,1
85,75,34.38,1
86,74,15.21,1
87,86,20.08,1
88,12,18.9,1
89,39,17.17,1
91,69,154.83,1
92,64,59.96,1
96,100,47.04,1
96,111,17.5,1
99,67,5.95,1
102,54,94.91,1
103,65,42.91,1
115,108,107.53,1
115,114,66.71,1
97,7,83.03,1
7,62,134.91,1
62,15,67.02,1
42,1,40.09,1
44,2,173.98,1
101,4,16.08,1
82,6,19.93,1
88,6,39.44,1
48,8,19.17,1
31,9,28.98,1
116,10,183.49,1
63,15,63.23,1
9,16,175.68,1
66,17,21.14,1
99,18,48.98,1
80,22,55.43,1
4,22,28.31,1
14,23,81.65,1
28,24,16.2,1
97,25,27.19,1
73,27,26.34,1
74,28,59.21,1
81,35,41.04,1
90,36,22.53,1
71,36,42.3,1
78,37,42.95,1
36,40,34.1,1
6,42,16.67,1
15,45,5.88,1
20,47,11.47,1
94,48,60.1,1
94,50,6.8,1
69,50,143.88,1
61,52,22.11,1
38,54,40.04,1
57,56,8.28,1
26,57,19.73,1
87,60,29.1,1
54,61,66.27,1
68,63,19.91,1
59,66,201.85,1
11,68,20.28,1
72,68,45.25,1
106,70,24.44,1
60,71,36.74,1
92,73,10.9,1
81,76,7.81,1
22,78,12.78,1
106,81,11.29,1
78,82,27.85,1
56,83,179.82,1
45,84,30.08,1
36,85,26.25,1
13,87,40.84,1
102,90,16.55,1
100,92,16.72,1
27,94,128.37,1
89,97,4.67,1
110,100,15.8,1
42,101,34.01,1
75,102,23.47,1
17,102,48.08,1
79,103,77.96,1
84,106,20.49,1
113,106,63.42,1
56,110,58.12,1
111,110,37.69,1
57,111,51.73,1
45,113,22.11,1
15,63,63.23,1
63,68,19.91,1
68,72,45.25,1
72,39,4.98,1
39,89,17.17,1
89,97,4.67,1
101,71,23.04,1
97,89,4.67,1
39,72,4.98,1
22,78,12.78,1
110,56,58.12,1
100,92,16.72,1
73,92,10.9,1
73,69,31.85,1
69,73,31.85,1
95,69,23.01,1
40,74,6.04,1
50,94,6.8,1
70,106,24.44,1
49,23,13.38,1
23,49,13.38,1
68,11,20.28,1
110,100,15.8,1
100,110,15.8,1
67,99,5.95,1
98,63,21.6,1
19,44,121.8,1
113,26,7.64,1
84,45,30.08,1
92,73,10.9,1
6,42,16.67,1
80,5,4.14,1
5,80,4.14,1
93,53,68.15,1
53,93,68.15,1
111,96,17.5,1
86,87,20.08,1
114,115,66.71,1
24,14,20.68,1
21,31,25.19,1
31,21,25.19,1
103,77,60.72,1
107,51,15.68,1
34,59,12.72,1
61,34,7.07,1
10,116,183.49,1
38,58,14.83,1
64,3,24.64,1
3,8,10.73,1
8,3,10.73,1
8,48,19.17,1
54,38,40.04,1
38,90,41.89,1
90,38,41.89,1
65,49,19.13,1
49,65,19.13,1
23,49,13.38,1
23,29,35.74,1
52,29,42.03,1
82,20,21.56,1
20,82,21.56,1
29,79,38.53,1
4,85,39.9,1
85,4,39.9,1
32,105,109.75,1
105,32,109.75,1
105,35,54.96,1
35,105,54.96,1
1,88,17.52,1
88,12,18.9,1
12,33,5.36,1
55,97,63.61,1
97,55,63.61,1
89,97,4.67,1
30,89,23.28,1
2,41,90.81,1
16,9,175.68,1
112,13,115.54,1
13,112,115.54,1
43,76,34.19,1
76,81,7.81,1
81,106,11.29,1
106,81,11.29,1
106,84,20.49,1
51,84,23.5,1
115,51,28.85,1
108,115,107.53,1
108,109,89.51,1
109,108,89.51,1
7,62,134.91,1
