node u,node v,length,label
1,2,58.46,0
2,3,38.30,0
2,25,42.63,0
2,27,49.22,0
3,5,49.97,0
3,4,229.16,0
6,7,123.57,0
6,41,112.94,0
7,40,32.30,0
8,9,71.44,0
9,10,150.45,0
10,15,177.74,0
11,13,11.19,0
13,17,279.43,0
14,12,12.94,0
14,24,308.29,0
15,21,197.72,0
16,29,10.86,0
16,1,148.95,0
17,4,288.37,0
17,31,131.21,0
20,14,20.11,0
21,23,37.15,0
22,31,166.96,0
23,19,178.99,0
24,11,438.47,0
24,13,20.40,0
25,26,79.90,0
25,37,34.86,0
26,22,3.69,0
27,18,161.27,0
27,26,101.39,0
28,7,431.48,0
29,33,87.37,0
30,29,425.94,0
31,9,253.74,0
33,12,403.63,0
33,32,105.17,0
34,37,50.94,0
34,47,35.32,0
35,34,37.96,0
35,39,16.66,0
37,36,95.61,0
38,8,35.59,0
39,38,148.12,0
39,44,66.07,0
40,38,173.64,0
41,46,94.64,0
41,16,52.67,0
42,46,31.43,0
43,42,53.21,0
44,42,47.40,0
45,44,52.59,0
46,40,17.59,0
47,35,17.26,0
48,15,180.54,0
48,10,268.37,0
47,1,53.15,1
22,18,210.66,1
11,19,116.08,1
