ID,latitudine,longitudine
1,41.1658602,15.2603772
2,41.1661568,15.2598006
3,41.1664165,15.2601009
4,41.1679961,15.2585628
5,41.1663607,15.2606904
6,41.1638352,15.2629389
7,41.1638821,15.2614742
8,41.1642946,15.258657
9,41.1646859,15.2579801
10,41.1654741,15.2565979
11,41.1702714,15.2575902
12,41.1682763,15.2598147
13,41.170186,15.2576609
14,41.1683291,15.259677
15,41.1669487,15.2558236
16,41.1649406,15.2616707
17,41.167691,15.2574669
18,41.167556,15.2581226
19,41.1705353,15.2563569
20,41.1682308,15.2594791
21,41.1687024,15.2557824
22,41.165849,15.2584582
23,41.1690337,15.2558394
24,41.1701322,15.2578927
25,41.1658903,15.259439
26,41.1658388,15.2585001
27,41.1664606,15.2593832
28,41.1617723,15.2586586
29,41.1650117,15.2617596
30,41.1636213,15.2664189
31,41.1666266,15.256845
32,41.1660706,15.2609391
33,41.1656719,15.261662
34,41.1653912,15.2598991
35,41.1652439,15.2603001
36,41.1649449,15.2585976
37,41.1655865,15.2593486
38,41.1641702,15.2590477
39,41.1650973,15.2602979
40,41.1639414,15.2610965
41,41.1646009,15.2621091
42,41.1642485,15.2610319
43,41.1645552,15.2615198
44,41.1645777,15.2606721
45,41.1648702,15.2611658
46,41.1640302,15.2612704
47,41.1653983,15.2603209
48,41.1660649,15.2540396
