node u,node v,length,label
1,2,58.46,1
2,3,38.3,1
2,27,49.22,1
3,5,49.97,1
3,4,229.16,1
6,7,123.57,1
7,40,32.3,1
14,12,12.94,1
16,1,148.95,1
24,13,20.4,1
25,37,34.86,1
27,26,101.39,1
33,32,105.17,1
34,37,50.94,1
34,47,35.32,1
35,34,37.96,1
37,36,95.61,1
39,44,66.07,1
40,38,173.64,1
42,46,31.43,1
44,42,47.4,1
46,40,17.59,1
47,35,17.26,1
48,15,180.54,1
47,1,53.15,1
22,18,210.66,1
11,19,116.08,1
25,2,42.63,1
41,6,112.94,1
9,8,71.44,1
10,9,150.45,1
15,10,177.74,1
13,11,11.19,1
17,13,279.43,1
24,14,308.29,1
21,15,197.72,1
29,16,10.86,1
4,17,288.37,1
31,17,131.21,1
23,21,37.15,1
31,22,166.96,1
19,23,178.99,1
11,24,438.47,1
26,25,79.9,1
22,26,3.69,1
18,27,161.27,1
7,28,431.48,1
33,29,87.37,1
29,30,425.94,1
9,31,253.74,1
12,33,403.63,1
38,39,148.12,1
46,41,94.64,1
44,45,52.59,1
10,48,268.37,1
18,27,161.27,1
27,26,101.39,1
26,22,3.69,1
1,2,58.46,1
2,25,42.63,1
25,37,34.86,1
37,34,50.94,1
34,47,35.32,1
19,23,178.99,1
23,21,37.15,1
21,15,197.72,1
15,10,177.74,1
10,9,150.45,1
9,31,253.74,1
31,17,131.21,1
17,13,279.43,1
13,11,11.19,1
39,35,16.66,1
35,39,16.66,1
14,20,20.11,1
20,14,20.11,1
42,43,53.21,1
43,42,53.21,1
37,25,34.86,1
26,22,3.69,1
22,31,166.96,1
15,10,177.74,1
13,24,20.4,1
5,3,49.97,1
45,44,52.59,1
32,33,105.17,1
27,18,161.27,1
8,9,71.44,1
8,38,35.59,1
38,8,35.59,1
36,37,95.61,1
37,34,50.94,1
41,16,52.67,1
16,41,52.67,1
16,29,10.86,1
29,16,10.86,1
30,29,425.94,1
17,13,279.43,1
13,11,11.19,1
28,7,431.48,1
7,40,32.3,1
40,7,32.3,1
40,46,17.59,1
11,19,116.08,1
