node u,node v,length,label
1,51,7.18,0
1,52,58.56,0
2,12,47.19,0
2,45,47.07,0
3,5,21.44,0
4,34,53.30,0
4,31,15.92,0
5,46,59.72,0
6,44,18.87,0
7,8,53.81,0
8,20,88.34,0
9,8,32.36,0
9,28,37.94,0
10,4,38.83,0
11,9,42.67,0
11,10,77.91,0
12,49,45.11,0
12,14,250.42,0
13,29,529.53,0
13,29,205.87,0
15,2,19.19,0
16,22,31.98,0
16,37,19.80,0
18,17,118.96,0
19,52,11.09,0
19,18,144.84,0
20,18,40.35,0
21,25,20.60,0
21,11,30.68,0
22,26,25.76,0
23,19,57.36,0
23,20,107.76,0
24,48,156.45,0
25,7,22.70,0
26,7,209.04,0
26,25,187.07,0
27,23,59.84,0
27,1,65.97,0
28,10,34.85,0
28,34,32.84,0
29,16,296.45,0
29,22,62.33,0
30,3,52.40,0
31,30,99.94,0
31,27,53.41,0
32,41,27.47,0
33,43,122.37,0
33,36,215.32,0
34,23,53.27,0
35,21,23.00,0
35,40,109.86,0
36,38,18.78,0
36,37,212.85,0
37,39,50.03,0
38,35,17.21,0
38,39,143.36,0
39,40,38.04,0
40,21,103.24,0
41,33,38.87,0
41,42,222.80,0
43,35,122.50,0
44,43,154.98,0
44,30,146.52,0
45,47,46.37,0
45,24,113.16,0
46,15,57.80,0
47,46,38.99,0
47,48,85.89,0
48,32,269.15,0
49,57,43.60,0
50,49,157.62,0
50,54,70.08,0
51,58,69.44,0
52,53,19.17,0
54,59,53.35,0
54,55,33.71,0
55,56,172.01,0
55,59,25.53,0
56,58,51.61,0
57,15,23.37,0
57,56,27.84,0
58,30,51.83,0
59,51,108.98,0
3,6,65.00,1
42,5,48.00,1
