ID,latitudine,longitudine
1,41.5062692,15.1135324
2,41.5069636,15.112005
3,41.5076722,15.1130574
4,41.5073407,15.1141792
5,41.5077626,15.1129368
6,41.50791,15.1139457
7,41.5073604,15.1159204
8,41.50718,15.1153226
9,41.5074671,15.1152591
10,41.5075491,15.1145519
11,41.5077218,15.1154555
12,41.5067227,15.111558
13,41.508656,15.1211874
14,41.5053858,15.1091498
15,41.5069099,15.1122203
16,41.5084152,15.1181621
17,41.5051139,15.1164193
18,41.5060936,15.115847
19,41.5061785,15.1142047
20,41.5064241,15.1156479
21,41.5077426,15.1158227
22,41.5081398,15.1182727
23,41.5066683,15.1144208
24,41.507929,15.1105904
25,41.5075594,15.1158598
26,41.5080969,15.1179687
27,41.5068235,15.1137327
28,41.5073762,15.11482
29,41.508129,15.1190105
30,41.507242,15.1128529
31,41.5072403,15.1140446
32,41.5099029,15.1137277
33,41.5096874,15.1144022
34,41.5070928,15.114714
35,41.5079312,15.1157126
36,41.5082539,15.1156791
37,41.5083278,15.1179572
38,41.5080855,15.1156966
39,41.5081705,15.1173961
40,41.5079973,15.1170024
41,41.5098869,15.1140424
42,41.5080606,15.1134651
43,41.5089448,15.1151912
44,41.5079827,15.1141505
45,41.50724,15.1115818
46,41.5073186,15.1125594
47,41.5073302,15.1121255
48,41.5079596,15.1123615
49,41.5063803,15.1118485
50,41.5049831,15.1120637
51,41.5062701,15.1134462
52,41.5060812,15.1141755
53,41.5059113,15.1141364
54,41.5050159,15.112899
55,41.5052773,15.1130923
56,41.5067328,15.1124351
57,41.5067205,15.112103
58,41.5068009,15.1130482
59,41.5053095,15.1133929
