node u,node v,length,label
7,8,53.81,1
8,20,88.34,1
13,29,529.53,1
16,22,31.98,1
16,37,19.8,1
19,52,11.09,1
19,18,144.84,1
21,25,20.6,1
23,19,57.36,1
24,48,156.45,1
25,7,22.7,1
26,25,187.07,1
27,23,59.84,1
28,10,34.85,1
29,16,296.45,1
32,41,27.47,1
33,36,215.32,1
36,38,18.78,1
36,37,212.85,1
37,39,50.03,1
38,35,17.21,1
41,42,222.8,1
44,30,146.52,1
45,24,113.16,1
47,48,85.89,1
48,32,269.15,1
49,57,43.6,1
50,49,157.62,1
52,53,19.17,1
54,55,33.71,1
57,15,23.37,1
57,56,27.84,1
3,6,65,1
42,5,48,1
52,1,58.56,1
12,2,47.19,1
45,2,47.07,1
5,3,21.44,1
34,4,53.3,1
31,4,15.92,1
46,5,59.72,1
8,9,32.36,1
28,9,37.94,1
4,10,38.83,1
9,11,42.67,1
10,11,77.91,1
49,12,45.11,1
29,13,205.87,1
2,15,19.19,1
17,18,118.96,1
18,20,40.35,1
11,21,30.68,1
20,23,107.76,1
7,26,209.04,1
1,27,65.97,1
34,28,32.84,1
22,29,62.33,1
3,30,52.4,1
30,31,99.94,1
27,31,53.41,1
43,33,122.37,1
23,34,53.27,1
21,35,23,1
40,35,109.86,1
39,38,143.36,1
40,39,38.04,1
21,40,103.24,1
33,41,38.87,1
35,43,122.5,1
43,44,154.98,1
47,45,46.37,1
15,46,57.8,1
46,47,38.99,1
54,50,70.08,1
58,51,69.44,1
59,54,53.35,1
30,58,51.83,1
51,59,108.98,1
5,3,21.44,1
6,44,18.87,1
44,43,154.98,1
43,33,122.37,1
33,41,38.87,1
41,42,222.8,1
59,55,25.53,1
55,59,25.53,1
4,34,53.3,1
37,16,19.8,1
56,58,51.61,1
58,56,51.61,1
52,19,11.09,1
10,28,34.85,1
25,7,22.7,1
12,49,45.11,1
11,21,30.68,1
35,21,23,1
35,43,122.5,1
38,36,18.78,1
1,51,7.18,1
51,1,7.18,1
26,22,25.76,1
22,26,25.76,1
6,44,18.87,1
44,6,18.87,1
39,40,38.04,1
48,47,85.89,1
15,2,19.19,1
9,8,32.36,1
20,18,40.35,1
41,33,38.87,1
5,46,59.72,1
56,57,27.84,1
56,55,172.01,1
55,56,172.01,1
55,54,33.71,1
53,52,19.17,1
19,52,11.09,1
18,19,144.84,1
18,17,118.96,1
14,12,250.42,1
12,14,250.42,1
2,12,47.19,1
2,45,47.07,1
31,27,53.41,1
42,5,48,1
