node u,node v,length,label
1,78,161.30,0
1,2,26.81,0
2,82,83.55,0
2,174,11.81,0
3,169,14.72,0
3,10,43.44,0
4,148,67.01,0
4,3,24.48,0
5,158,129.56,0
6,52,156.60,0
6,7,79.70,0
7,167,16.21,0
7,24,268.48,0
8,9,81.65,0
9,162,25.29,0
9,93,32.76,0
9,140,31.53,0
10,171,77.36,0
10,179,83.34,0
11,26,13.33,0
11,77,20.34,0
12,13,20.16,0
13,38,16.32,0
14,30,32.47,0
14,11,117.39,0
15,50,88.81,0
15,69,202.82,0
16,17,40.39,0
16,15,82.40,0
17,19,56.45,0
17,18,108.52,0
18,16,97.50,0
19,21,182.11,0
19,20,54.43,0
20,23,65.72,0
20,59,99.56,0
21,18,104.84,0
23,24,9.62,0
23,22,98.97,0
24,25,100.74,0
25,21,40.26,0
26,12,32.17,0
26,32,84.71,0
27,88,19.67,0
28,33,100.77,0
29,34,17.65,0
32,31,34.13,0
32,35,17.71,0
33,29,46.89,0
33,36,14.23,0
34,35,46.44,0
34,14,36.03,0
35,33,17.29,0
35,12,107.59,0
37,29,18.45,0
37,39,48.04,0
39,40,13.74,0
39,38,120.83,0
41,37,16.18,0
41,44,128.11,0
43,41,16.56,0
43,45,48.52,0
43,160,17.87,0
44,42,86.15,0
45,46,9.10,0
45,44,91.27,0
47,72,18.18,0
48,43,19.80,0
48,51,49.61,0
50,48,19.93,0
50,51,67.88,0
51,49,9.54,0
52,54,105.21,0
52,58,165.39,0
54,60,41.98,0
54,56,165.18,0
56,57,57.06,0
56,55,37.04,0
58,6,179.20,0
60,53,8.90,0
60,61,352.05,0
61,62,96.67,0
62,138,192.63,0
63,64,41.00,0
63,128,18.10,0
64,133,64.07,0
65,97,11.73,0
66,150,3.33,0
67,146,12.87,0
68,69,115.99,0
70,71,57.27,0
71,99,6.59,0
72,48,41.64,0
72,50,54.01,0
73,76,19.16,0
73,142,16.93,0
75,76,58.71,0
76,74,26.93,0
77,78,87.90,0
78,13,23.09,0
79,80,67.22,0
81,83,56.98,0
82,88,30.79,0
83,82,20.23,0
83,84,34.23,0
84,27,8.20,0
86,85,57.08,0
87,27,64.13,0
87,84,78.14,0
88,2,80.56,0
89,90,42.05,0
91,144,84.51,0
92,87,14.05,0
93,92,32.12,0
94,65,31.65,0
94,95,27.00,0
95,64,126.46,0
95,96,59.17,0
96,99,55.61,0
98,100,53.19,0
99,4,53.95,0
100,147,9.20,0
101,96,12.61,0
101,102,53.53,0
102,100,22.73,0
103,155,37.51,0
103,104,42.45,0
104,151,76.76,0
105,65,10.20,0
105,108,53.50,0
106,113,26.42,0
108,106,4.01,0
108,109,31.96,0
110,112,42.76,0
110,62,229.97,0
111,145,17.74,0
111,110,25.71,0
112,106,9.86,0
113,114,12.33,0
113,117,29.94,0
114,123,36.47,0
115,114,10.50,0
117,118,15.11,0
117,116,12.77,0
118,119,20.14,0
119,122,20.39,0
119,135,59.27,0
120,94,12.98,0
123,119,21.69,0
123,122,44.21,0
124,122,5.61,0
125,126,36.30,0
125,132,18.62,0
126,129,36.08,0
127,118,2.50,0
127,126,46.84,0
128,132,50.95,0
129,128,10.51,0
129,130,20.44,0
131,63,6.11,0
131,141,28.71,0
132,133,22.22,0
133,120,58.64,0
134,135,31.28,0
134,131,79.03,0
135,131,52.48,0
136,137,65.85,0
137,134,14.56,0
138,8,167.16,0
138,137,50.30,0
139,141,14.09,0
140,64,1.45,0
140,141,49.09,0
143,144,28.41,0
144,92,25.86,0
145,112,33.86,0
145,107,25.43,0
147,148,36.35,0
147,181,11.57,0
149,102,17.06,0
150,67,25.99,0
151,152,7.12,0
151,157,21.87,0
152,157,37.94,0
153,152,28.05,0
153,155,65.54,0
154,153,9.95,0
155,104,3.08,0
157,111,51.08,0
158,25,164.82,0
158,58,132.49,0
159,14,14.54,0
159,160,113.85,0
160,163,20.53,0
161,164,49.04,0
161,167,59.47,0
162,159,26.26,0
163,47,10.25,0
163,164,115.71,0
164,162,19.35,0
165,47,54.58,0
166,161,46.87,0
167,8,13.98,0
169,168,80.48,0
169,170,49.47,0
171,172,167.45,0
173,174,86.91,0
174,175,53.83,0
175,168,14.21,0
175,176,86.72,0
177,1,77.99,0
180,181,11.78,0
181,150,36.46,0
73,38,130,0
177,178,130,0
156,66,35,0
30,86,8.22,0
86,81,22.90,0
81,79,27.21,0
93,30,49.04,1
79,77,27.21,1
71,91,27.61,1
91,90,17.17,1
90,168,15.62,1
101,98,16.10,1
98,97,14.34,1
97,66,66.43,1
127,121,48.50,1
121,120,30.90,1
