ID,latitudine,longitudine
1,41.2793291,15.2649135
2,41.2795692,15.2648849
3,41.28019,15.2636706
4,41.2803861,15.2638037
5,41.284654,15.27199
6,41.2827808,15.2674681
7,41.2822019,15.2669101
8,41.2820143,15.266649
9,41.2813591,15.2662094
10,41.2798736,15.263366
11,41.2797339,15.266249
12,41.2793674,15.2664601
13,41.2792663,15.2666604
14,41.2807845,15.2663727
15,41.2804262,15.269125
16,41.2809451,15.2698276
17,41.2812318,15.2695308
18,41.2814867,15.2707452
19,41.2817188,15.26934
20,41.2821853,15.2691734
21,41.2821899,15.2714265
22,41.2823446,15.2708602
23,41.2823606,15.2699245
24,41.282447,15.2699184
25,41.282447,15.2711207
26,41.2796148,15.2662667
27,41.2804455,15.2651418
28,41.2793965,15.2666828
29,41.2807021,15.2670057
30,41.2808077,15.2659853
31,41.2806524,15.2665566
32,41.2803493,15.2664925
33,41.2802875,15.2669032
34,41.2807292,15.2667976
35,41.280318,15.2667003
36,41.2802633,15.2670704
37,41.2806738,15.2672232
38,41.2791852,15.2668232
39,41.2802502,15.2671102
40,41.2802268,15.2672716
41,41.280649,15.267414
42,41.2787716,15.2672767
43,41.2806236,15.2676093
44,41.2795154,15.267142
45,41.2801948,15.2675015
46,41.2801783,15.2676081
47,41.2810456,15.2677623
48,41.2805932,15.2678428
49,41.2800755,15.2676805
50,41.2805626,15.2680778
51,41.2801596,15.2677033
52,41.28417,15.2677541
53,41.285559,15.2680234
54,41.2851052,15.2679456
55,41.2852213,15.2691792
56,41.2849963,15.269403
57,41.2846004,15.2698375
58,41.2834622,15.2693939
59,41.2816556,15.2682867
60,41.2854795,15.2680108
61,41.284874,15.264524
62,41.2840242,15.2647217
63,41.2819383,15.265922
64,41.28157,15.2659451
65,41.2815234,15.2639543
66,41.2813705,15.263073
67,41.2811897,15.2628359
68,41.281193,15.2715135
69,41.280224,15.2715036
70,41.2809878,15.2649188
71,41.2807119,15.2643401
72,41.2809594,15.2679472
73,41.2782129,15.2667306
74,41.2784129,15.2662475
75,41.2787754,15.2668169
76,41.278296,15.2665297
77,41.2797472,15.2660063
78,41.2790943,15.2665081
79,41.2802838,15.2659488
80,41.2797585,15.2657207
81,41.2805282,15.2659658
82,41.2800439,15.265304
83,41.2801662,15.2654832
84,41.2804037,15.2652226
85,41.2803792,15.2654864
86,41.2807339,15.2659802
87,41.280879,15.2656156
88,41.2802721,15.2650953
89,41.2805946,15.2650715
90,41.2803884,15.2646497
91,41.2805216,15.2645457
92,41.2809832,15.2657107
93,41.2812314,15.2659068
94,41.281484,15.2643292
95,41.2813453,15.2645898
96,41.2811305,15.2641319
97,41.2814514,15.2638517
98,41.2813337,15.2639219
99,41.2807154,15.2642668
100,41.2809653,15.2635229
101,41.2812153,15.2640317
102,41.2808107,15.2637009
103,41.2816174,15.2636339
104,41.2818326,15.2634261
105,41.2815684,15.263848
106,41.2820447,15.2640976
107,41.2819929,15.263693
108,41.2820138,15.2640728
109,41.2819265,15.2643808
110,41.2823983,15.2636795
111,41.2822193,15.2634847
112,41.2821135,15.2640232
113,41.2822497,15.2641575
114,41.2823589,15.264132
115,41.282449,15.2640946
116,41.2821101,15.2644497
117,41.2822148,15.2645126
118,41.2821923,15.2646909
119,41.2823668,15.2647554
120,41.2814769,15.2644842
121,41.2817475,15.2645681
122,41.2825368,15.2648468
123,41.2824206,15.2645059
124,41.2825864,15.2648588
125,41.2818183,15.2649915
126,41.2820864,15.2652394
127,41.2821698,15.26469
128,41.2819265,15.2657218
129,41.2819869,15.265625
130,41.2819209,15.2653967
131,41.2819771,15.2659737
132,41.2817283,15.2651794
133,41.2815285,15.265181
134,41.2824472,15.2656068
135,41.2822135,15.2654326
136,41.282637,15.2659916
137,41.2824872,15.2654416
138,41.2828816,15.2653857
139,41.2818725,15.2664246
140,41.2815584,15.2659529
141,41.2818657,15.2662837
142,41.2781308,15.2669012
143,41.2809638,15.2651038
144,41.2808879,15.2654284
145,41.282151,15.2636766
146,41.281248,15.2627029
147,41.2810202,15.2634405
148,41.2807609,15.2631757
149,41.2806856,15.2635827
150,41.2813427,15.2630582
151,41.2821328,15.2628129
152,41.282159,15.2627351
153,41.2819151,15.2626493
154,41.2818688,15.2625474
155,41.2818056,15.2634181
156,41.2816954,15.2629953
157,41.2822934,15.2629639
158,41.2838542,15.2708907
159,41.2809152,15.2663668
160,41.2807796,15.2676606
161,41.2816255,15.2667502
162,41.2811472,15.2663193
163,41.280957,15.2677285
164,41.281303,15.2664225
165,41.281286,15.2671934
166,41.2813428,15.2671622
167,41.2821012,15.2667699
168,41.280267,15.2647437
169,41.2801142,15.263815
170,41.2797416,15.2634916
171,41.2793601,15.2638333
172,41.279541,15.2647471
173,41.2797134,15.2638402
174,41.2796753,15.264879
175,41.2801543,15.2648222
176,41.2799392,15.2638247
177,41.2786506,15.2647544
178,41.2785594,15.2636701
179,41.2793546,15.2635111
180,41.2811642,15.2634584
181,41.2810979,15.2633484
