node u,node v,length,label
1,2,26.81,1
2,174,11.81,1
4,148,67.01,1
7,167,16.21,1
9,93,32.76,1
11,77,20.34,1
13,38,16.32,1
14,11,117.39,1
16,17,40.39,1
17,19,56.45,1
19,21,182.11,1
21,18,104.84,1
23,24,9.62,1
25,21,40.26,1
26,12,32.17,1
34,14,36.03,1
37,29,18.45,1
41,44,128.11,1
43,41,16.56,1
43,160,17.87,1
44,42,86.15,1
47,72,18.18,1
48,43,19.8,1
50,51,67.88,1
51,49,9.54,1
54,56,165.18,1
56,57,57.06,1
56,55,37.04,1
63,128,18.1,1
65,97,11.73,1
66,150,3.33,1
72,48,41.64,1
72,50,54.01,1
73,76,19.16,1
77,78,87.9,1
78,13,23.09,1
82,88,30.79,1
83,82,20.23,1
87,84,78.14,1
93,92,32.12,1
94,65,31.65,1
95,64,126.46,1
98,100,53.19,1
100,147,9.2,1
103,155,37.51,1
105,108,53.5,1
106,113,26.42,1
108,106,4.01,1
108,109,31.96,1
110,62,229.97,1
113,117,29.94,1
117,118,15.11,1
119,122,20.39,1
120,94,12.98,1
123,119,21.69,1
125,132,18.62,1
127,126,46.84,1
128,132,50.95,1
131,63,6.11,1
132,133,22.22,1
133,120,58.64,1
134,131,79.03,1
137,134,14.56,1
138,137,50.3,1
140,141,49.09,1
143,144,28.41,1
145,112,33.86,1
152,157,37.94,1
153,152,28.05,1
157,111,51.08,1
158,25,164.82,1
159,14,14.54,1
160,163,20.53,1
161,164,49.04,1
163,47,10.25,1
164,162,19.35,1
169,170,49.47,1
171,172,167.45,1
174,175,53.83,1
175,176,86.72,1
180,181,11.78,1
86,81,22.9,1
93,30,49.04,1
79,77,27.21,1
71,91,27.61,1
91,90,17.17,1
90,168,15.62,1
101,98,16.1,1
98,97,14.34,1
97,66,66.43,1
127,121,48.5,1
121,120,30.9,1
78,1,161.3,1
82,2,83.55,1
169,3,14.72,1
3,4,24.48,1
158,5,129.56,1
52,6,156.6,1
7,6,79.7,1
24,7,268.48,1
9,8,81.65,1
162,9,25.29,1
140,9,31.53,1
26,11,13.33,1
13,12,20.16,1
50,15,88.81,1
69,15,202.82,1
18,17,108.52,1
20,19,54.43,1
23,20,65.72,1
22,23,98.97,1
25,24,100.74,1
32,26,84.71,1
88,27,19.67,1
33,28,100.77,1
34,29,17.65,1
31,32,34.13,1
35,32,17.71,1
29,33,46.89,1
36,33,14.23,1
35,34,46.44,1
33,35,17.29,1
12,35,107.59,1
39,37,48.04,1
40,39,13.74,1
38,39,120.83,1
37,41,16.18,1
45,43,48.52,1
46,45,9.1,1
44,45,91.27,1
51,48,49.61,1
48,50,19.93,1
54,52,105.21,1
58,52,165.39,1
60,54,41.98,1
6,58,179.2,1
61,60,352.05,1
62,61,96.67,1
64,63,41,1
133,64,64.07,1
146,67,12.87,1
99,71,6.59,1
142,73,16.93,1
76,75,58.71,1
74,76,26.93,1
83,81,56.98,1
84,83,34.23,1
85,86,57.08,1
27,87,64.13,1
2,88,80.56,1
90,89,42.05,1
144,91,84.51,1
87,92,14.05,1
95,94,27,1
96,95,59.17,1
99,96,55.61,1
4,99,53.95,1
96,101,12.61,1
102,101,53.53,1
100,102,22.73,1
104,103,42.45,1
151,104,76.76,1
65,105,10.2,1
112,110,42.76,1
110,111,25.71,1
106,112,9.86,1
114,113,12.33,1
123,114,36.47,1
116,117,12.77,1
135,119,59.27,1
122,123,44.21,1
122,124,5.61,1
126,125,36.3,1
118,127,2.5,1
128,129,10.51,1
141,131,28.71,1
131,135,52.48,1
8,138,167.16,1
141,139,14.09,1
64,140,1.45,1
92,144,25.86,1
107,145,25.43,1
148,147,36.35,1
181,147,11.57,1
157,151,21.87,1
155,153,65.54,1
58,158,132.49,1
160,159,113.85,1
167,161,59.47,1
159,162,26.26,1
164,163,115.71,1
47,165,54.58,1
161,166,46.87,1
8,167,13.98,1
168,169,80.48,1
174,173,86.91,1
168,175,14.21,1
38,73,130,1
66,156,35,1
66,150,3.33,1
150,181,36.46,1
181,147,11.57,1
147,100,9.2,1
100,102,22.73,1
102,101,53.53,1
120,133,58.64,1
133,132,22.22,1
132,125,18.62,1
125,126,36.3,1
126,127,46.84,1
30,86,8.22,1
86,81,22.9,1
81,79,27.21,1
168,169,80.48,1
169,3,14.72,1
3,4,24.48,1
4,99,53.95,1
99,71,6.59,1
77,11,20.34,1
11,14,117.39,1
14,159,14.54,1
159,162,26.26,1
162,9,25.29,1
9,93,32.76,1
38,13,16.32,1
84,27,8.2,1
27,84,8.2,1
174,2,11.81,1
2,1,26.81,1
29,34,17.65,1
106,108,4.01,1
181,180,11.78,1
139,141,14.09,1
53,60,8.9,1
60,53,8.9,1
104,155,3.08,1
155,104,3.08,1
92,87,14.05,1
115,114,10.5,1
114,115,10.5,1
83,82,20.23,1
81,86,22.9,1
167,8,13.98,1
154,153,9.95,1
153,154,9.95,1
97,65,11.73,1
132,133,22.22,1
173,174,86.91,1
175,174,53.83,1
176,175,86.72,1
152,151,7.12,1
151,152,7.12,1
94,95,27,1
129,128,10.51,1
124,122,5.61,1
147,100,9.2,1
134,137,14.56,1
117,116,12.77,1
41,37,16.18,1
49,51,9.54,1
11,26,13.33,1
24,23,9.62,1
39,40,13.74,1
106,112,9.86,1
108,106,4.01,1
109,108,31.96,1
144,143,28.41,1
45,46,9.1,1
111,157,51.08,1
111,110,25.71,1
169,3,14.72,1
102,149,17.06,1
149,102,17.06,1
73,142,16.93,1
17,16,40.39,1
166,161,46.87,1
156,66,35,1
150,66,3.33,1
19,20,54.43,1
55,56,37.04,1
145,107,25.43,1
10,179,83.34,1
179,10,83.34,1
101,96,12.61,1
76,74,26.93,1
32,31,34.13,1
21,25,40.26,1
162,164,19.35,1
89,90,42.05,1
175,168,14.21,1
6,7,79.7,1
64,140,1.45,1
63,64,41,1
113,106,26.42,1
112,106,9.86,1
112,145,33.86,1
145,111,17.74,1
111,145,17.74,1
28,33,100.77,1
33,36,14.23,1
135,134,31.28,1
134,135,31.28,1
137,134,14.56,1
137,136,65.85,1
136,137,65.85,1
62,138,192.63,1
138,62,192.63,1
71,99,6.59,1
71,70,57.27,1
70,71,57.27,1
118,119,20.14,1
119,118,20.14,1
119,123,21.69,1
86,85,57.08,1
86,30,8.22,1
30,86,8.22,1
30,14,32.47,1
14,30,32.47,1
14,159,14.54,1
42,44,86.15,1
52,54,105.21,1
15,50,88.81,1
50,72,54.01,1
12,13,20.16,1
13,78,23.09,1
5,158,129.56,1
23,22,98.97,1
20,23,65.72,1
20,59,99.56,1
59,20,99.56,1
88,82,30.79,1
82,83,20.23,1
81,83,56.98,1
81,79,27.21,1
79,81,27.21,1
79,80,67.22,1
80,79,67.22,1
130,129,20.44,1
129,130,20.44,1
129,126,36.08,1
126,129,36.08,1
170,169,49.47,1
3,169,14.72,1
4,3,24.48,1
75,76,58.71,1
76,73,19.16,1
73,38,130,1
13,38,16.32,1
78,13,23.09,1
1,78,161.3,1
1,177,77.99,1
177,1,77.99,1
177,178,130,1
178,177,130,1
165,47,54.58,1
47,163,10.25,1
163,47,10.25,1
163,160,20.53,1
52,58,165.39,1
54,52,105.21,1
56,54,165.18,1
57,56,57.06,1
18,16,97.5,1
16,18,97.5,1
16,15,82.4,1
15,16,82.4,1
15,69,202.82,1
69,68,115.99,1
68,69,115.99,1
67,146,12.87,1
67,150,25.99,1
150,67,25.99,1
150,181,36.46,1
181,150,36.46,1
147,181,11.57,1
147,148,36.35,1
148,4,67.01,1
3,4,24.48,1
3,10,43.44,1
10,3,43.44,1
10,171,77.36,1
171,10,77.36,1
172,171,167.45,1
101,98,16.1,1
91,90,17.17,1
90,168,15.62,1
