node u,node v,length,label
1,2,57.98,0
1,6,91.16,0
4,3,35.91,0
6,5,14.14,0
6,8,56.13,0
7,19,85.10,0
8,12,77.82,0
8,27,83.95,0
8,9,20.00,0
9,7,79.94,0
10,27,101.35,0
10,1,27.59,0
11,40,37,0
12,18,24.83,0
12,43,800.00,0
40,11,37,0
14,4,259.94,0
15,33,31.81,0
15,32,30.42,0
16,29,58.91,0
16,37,151.57,0
17,30,282.89,0
18,20,63.43,0
18,15,53.17,0
19,24,49.53,0
20,16,28.90,0
21,10,20.39,0
22,14,32.59,0
22,2,155.78,0
23,14,42.30,0
24,23,129.12,0
24,4,91.89,0
25,23,150.92,0
26,19,31.72,0
27,12,38.13,0
27,28,52.65,0
30,7,21.28,0
30,31,81.53,0
31,32,23.98,0
31,34,62.13,0
32,9,10.13,0
33,20,61.82,0
33,34,49.26,0
34,39,187.19,0
35,36,167.93,0
36,11,310.77,0
37,39,87.16,0
37,38,24.29,0
40,41,170.00,0
41,42,180.00,0
13,43,180.00,0
42,44,20.00,0
13,40,9,0
36,39,72,0
43,12,850,0
44,18,190.00,1
43,44,110.00,1
