ID,latitudine,longitudine
1,41.2201635,15.2755077
2,41.2196422,15.2755231
3,41.2196185,15.2786183
4,41.2197304,15.2782155
5,41.2206552,15.2763841
6,41.2207432,15.276262
7,41.2211017,15.2771157
8,41.2212021,15.2760377
9,41.2213057,15.2761992
10,41.220082,15.2751984
11,41.225076,15.2724684
12,41.2213352,15.2751259
13,41.2248253,15.2719182
14,41.2190889,15.2763678
15,41.2214162,15.2757372
16,41.2223446,15.2749484
17,41.2231367,15.2795048
18,41.2215585,15.2751303
19,41.2203833,15.2767648
20,41.2221289,15.2751412
21,41.219899,15.2752129
22,41.2187989,15.2764133
23,41.2194262,15.2761339
24,41.2201546,15.277273
25,41.2205623,15.2764311
26,41.2205822,15.276493
27,41.2209926,15.275146
28,41.2209509,15.274519
29,41.2227787,15.2745794
30,41.221272,15.2772317
31,41.2214759,15.2762953
32,41.2213333,15.2760838
33,41.2216583,15.2755347
34,41.2219653,15.2759593
35,41.2240653,15.2735323
36,41.2240928,15.275539
37,41.2235208,15.2747535
38,41.2236645,15.2745594
39,41.2236173,15.2757877
40,41.224868,15.272005
41,41.224105,15.273442
42,41.222709,15.273995
43,41.2236173,15.273225
44,41.222645,15.273802
