node u,node v,length,label
1,66,42.70,0
2,3,102.52,0
3,67,88.91,0
4,5,36.29,0
4,152,47.91,0
5,67,127.19,0
7,14,105.32,0
8,23,98.08,0
8,77,26.18,0
9,139,86.98,0
10,34,19.47,0
10,43,37.77,0
11,12,20.56,0
11,124,36.06,0
12,74,63.32,0
12,123,51.44,0
12,13,93.91,0
13,22,26.86,0
14,48,82.78,0
15,158,23.25,0
16,60,254.00,0
16,60,928.46,0
17,6,122.06,0
18,33,31.63,0
18,27,76.06,0
19,68,188.47,0
19,112,71.83,0
20,19,23.72,0
20,97,186.08,0
20,111,29.98,0
21,100,19.85,0
22,18,22.69,0
22,71,15.20,0
23,89,25.94,0
24,138,85.05,0
24,9,33.19,0
25,26,50.87,0
25,13,34.19,0
26,28,31.89,0
27,26,25.38,0
28,27,36.90,0
28,29,40.88,0
29,31,28.41,0
30,150,31.79,0
30,25,62.51,0
31,32,32.04,0
31,33,193.48,0
31,151,90.19,0
33,17,209.62,0
34,125,22.54,0
34,35,37.01,0
35,65,25.90,0
35,43,20.48,0
37,36,14.89,0
38,129,38.26,0
38,113,62.17,0
39,38,52.10,0
39,128,7.31,0
40,4,7.58,0
41,40,94.45,0
41,163,63.70,0
42,68,13.68,0
43,133,24.38,0
43,44,67.83,0
44,41,43.50,0
45,46,16.93,0
46,47,43.60,0
47,9,55.60,0
47,36,105.70,0
48,83,222.13,0
48,62,13.30,0
49,50,55.96,0
49,53,39.40,0
50,118,58.45,0
50,55,31.29,0
51,85,55.38,0
51,119,69.42,0
52,49,35.57,0
52,16,280.40,0
53,57,28.55,0
53,55,73.77,0
54,52,281.44,0
55,58,28.05,0
55,56,63.52,0
56,118,31.89,0
57,54,19.78,0
57,160,41.83,0
58,117,69.19,0
59,51,35.90,0
61,63,269.12,0
62,61,13.43,0
62,114,32.88,0
63,64,36.70,0
63,17,187.16,0
65,146,32.85,0
65,5,148.02,0
66,2,15.28,0
67,66,98.10,0
68,39,53.18,0
68,97,25.63,0
70,69,72.01,0
70,153,262.68,0
71,72,81.45,0
71,73,20.82,0
73,74,104.46,0
73,148,25.31,0
75,14,35.89,0
76,142,83.90,0
76,141,12.83,0
77,24,44.58,0
78,80,23.13,0
78,86,88.51,0
78,86,74.67,0
79,51,21.70,0
79,126,70.35,0
80,81,37.39,0
80,116,17.18,0
81,82,64.75,0
82,115,12.12,0
82,88,51.67,0
84,100,14.29,0
86,88,48.70,0
87,84,60.65,0
88,84,23.29,0
89,21,38.41,0
89,102,12.00,0
91,109,92.58,0
92,93,28.77,0
92,96,102.68,0
93,109,12.92,0
94,92,148.72,0
95,20,85.57,0
95,110,15.65,0
97,70,59.14,0
99,93,56.46,0
99,21,43.04,0
100,101,15.45,0
101,107,18.78,0
102,99,10.14,0
102,103,35.01,0
104,96,21.82,0
104,105,160.07,0
105,45,17.32,0
105,106,11.48,0
107,21,16.68,0
107,108,82.58,0
109,90,104.08,0
110,104,112.86,0
110,111,117.21,0
111,155,21.45,0
112,36,8.82,0
112,113,19.20,0
113,37,11.66,0
114,81,184.39,0
114,15,139.90,0
115,87,14.19,0
116,117,30.56,0
116,15,49.39,0
117,126,15.59,0
117,56,38.30,0
118,79,16.23,0
119,78,29.97,0
120,34,36.51,0
121,122,51.00,0
122,120,21.52,0
122,10,33.68,0
123,144,54.45,0
125,11,52.09,0
125,123,17.24,0
126,80,30.74,0
126,119,22.71,0
127,129,32.59,0
128,135,26.27,0
129,134,25.53,0
129,128,42.56,0
130,76,33.84,0
131,122,27.06,0
131,132,30.52,0
132,10,26.54,0
132,133,40.10,0
133,136,30.20,0
133,134,68.18,0
134,44,23.95,0
134,135,43.01,0
135,41,25.63,0
135,68,46.81,0
136,37,48.90,0
136,139,42.56,0
137,141,27.13,0
138,137,35.78,0
138,131,27.52,0
139,132,28.08,0
139,138,30.24,0
140,8,22.96,0
140,142,27.90,0
141,131,37.71,0
142,77,21.53,0
142,137,77.34,0
143,145,16.26,0
144,75,11.75,0
145,144,20.73,0
145,120,34.45,0
146,147,35.28,0
150,29,38.97,0
150,151,70.49,0
153,154,59.65,0
153,2,95.73,0
155,156,30.89,0
155,112,75.00,0
157,46,45.71,0
158,161,15.60,0
158,54,114.36,0
159,161,64.19,0
159,160,75.79,0
160,58,43.11,0
161,159,4.84,0
162,40,49.69,0
6,149,17.00,0
7,149,17.00,0
148,149,17.00,0
96,98,61.00,0
14,130,71.07,1
130,140,81.86,1
76,121,16.41,1
121,75,52.90,1
75,74,49.69,1
83,87,17.10,1
87,23,26.19,1
61,54,98.08,1
