ID,latitudine,longitudine
1,41.5402696,15.1349831
2,41.5399858,15.1343988
3,41.5397447,15.1332188
4,41.5407235,15.1319402
5,41.5410016,15.1321632
6,41.5438982,15.1310094
7,41.5435535,15.1308198
8,41.5422569,15.1279196
9,41.5414082,15.1284102
10,41.5419374,15.1299577
11,41.5423176,15.1309678
12,41.5424783,15.1308457
13,41.5428897,15.1318312
14,41.5430583,15.1297412
15,41.5430738,15.1268272
16,41.5446913,15.1250871
17,41.5449351,15.131442
18,41.5432409,15.1319717
19,41.5406211,15.1285913
20,41.5404199,15.1284968
21,41.5415279,15.126229
22,41.5431233,15.1317489
23,41.5418017,15.1269102
24,41.5416772,15.1282556
25,41.5425892,15.1319182
26,41.5426265,15.1325274
27,41.5428191,15.1326911
28,41.5425266,15.1328404
29,41.5421737,15.1329279
30,41.542043,15.1320958
31,41.5420337,15.1331676
32,41.5417843,15.1333605
33,41.5433988,15.1322878
34,41.5420178,15.1301655
35,41.5417295,15.1303876
36,41.5411524,15.128917
37,41.5411793,15.1290922
38,41.5407128,15.1296751
39,41.5405212,15.1302463
40,41.5406748,15.1318765
41,41.5407823,15.1308663
42,41.5402436,15.1309501
43,41.5416386,15.1301736
44,41.5411118,15.1305846
45,41.5413709,15.1271386
46,41.5413297,15.1273344
47,41.5411812,15.1278193
48,41.5433565,15.1289035
49,41.5444864,15.1269596
50,41.5441166,15.1265086
51,41.5437641,15.1254514
52,41.5446541,15.1265956
53,41.5443015,15.1273635
54,41.5440456,15.1278327
55,41.543873,15.1266968
56,41.5436353,15.1260045
57,41.5441537,15.127644
58,41.5436571,15.1268712
59,41.5440608,15.1252812
60,41.546383,15.1230901
61,41.5434837,15.1287223
62,41.543364,15.128744
63,41.5456579,15.1296996
64,41.5459852,15.129643
65,41.5415277,15.130543
66,41.5400625,15.1345511
67,41.540493,15.133532
68,41.5402948,15.1308007
69,41.5395224,15.1297273
70,41.5395808,15.1304569
71,41.5432501,15.1316806
72,41.542881,15.1308353
73,41.543417,15.1315673
74,41.5429705,15.130463
75,41.5427683,15.1299306
76,41.5424756,15.1291953
77,41.542048,15.1280646
78,41.5429397,15.1259131
79,41.5438487,15.1256863
80,41.5430154,15.126172
81,41.5427022,15.1263355
82,41.5421443,15.1265583
83,41.5420625,15.1269653
84,41.5418142,15.1260922
85,41.5437161,15.1247891
86,41.5423805,15.1256824
87,41.5420129,15.1267708
88,41.5420033,15.1259724
89,41.5416892,15.1266371
90,41.5406533,15.1252934
91,41.5408914,15.1257341
92,41.5408015,15.1265242
93,41.5410568,15.1265782
94,41.540459,15.1250202
95,41.5397989,15.1279059
96,41.5401314,15.1261994
97,41.540081,15.1306863
98,41.5402554,15.1261674
99,41.5414973,15.1267083
100,41.5416878,15.1261235
101,41.5416682,15.1259397
102,41.5415852,15.1266757
103,41.5415853,15.1270414
104,41.540075,15.1264466
105,41.5413526,15.126932
106,41.5414492,15.1268849
107,41.5415216,15.1260316
108,41.5410353,15.1253933
109,41.5409973,15.1264448
110,41.5398218,15.1277227
111,41.5406115,15.1282764
112,41.5410746,15.1289376
113,41.5410892,15.1291639
114,41.5433739,15.1283492
115,41.5421299,15.1267027
116,41.5430778,15.1263609
117,41.5433237,15.126197
118,41.5439031,15.1258673
119,41.5431883,15.1257739
120,41.5423123,15.1299715
121,41.5425449,15.1293694
122,41.5422031,15.1297635
123,41.5422456,15.1303115
124,41.5424679,15.1313517
125,41.5421083,15.1304078
126,41.5432689,15.1260246
127,41.5411421,15.1298793
128,41.5405534,15.1303229
129,41.5408868,15.1300717
130,41.5427422,15.1289993
131,41.5420774,15.1294881
132,41.5418382,15.1296677
133,41.5415304,15.1299188
134,41.5410029,15.1303363
135,41.5406693,15.1305979
136,41.5413963,15.1296032
137,41.542256,15.1289847
138,41.5419727,15.1291885
139,41.5417333,15.1293608
140,41.5423634,15.1281559
141,41.5423745,15.1292697
142,41.5421353,15.1282955
143,41.5425169,15.1296075
144,41.5426755,15.1299982
145,41.5425866,15.1297792
146,41.5412717,15.1307401
147,41.5411532,15.1311289
148,41.5435924,15.1313754
149,41.5436973,15.1309515
150,41.5421017,15.1324696
151,41.5414818,15.132647
152,41.5405321,15.1324524
153,41.5394846,15.1335451
154,41.5389743,15.1337661
155,41.5407848,15.1281631
156,41.5406784,15.1278203
157,41.5414209,15.1278698
158,41.5432488,15.1269647
159,41.5434121,15.1268518
160,41.5439012,15.1272733
161,41.5433734,15.1268785
162,41.5402768,15.1316609
163,41.5402627,15.1311557
