node u,node v,length,label
4,152,47.91,1
7,14,105.32,1
8,77,26.18,1
10,34,19.47,1
10,43,37.77,1
11,12,20.56,1
11,124,36.06,1
12,74,63.32,1
12,13,93.91,1
14,48,82.78,1
16,60,254,1
17,6,122.06,1
19,112,71.83,1
20,97,186.08,1
22,71,15.2,1
24,138,85.05,1
25,26,50.87,1
26,28,31.89,1
27,26,25.38,1
28,27,36.9,1
30,150,31.79,1
31,32,32.04,1
31,33,193.48,1
33,17,209.62,1
34,125,22.54,1
35,43,20.48,1
39,128,7.31,1
40,4,7.58,1
41,40,94.45,1
41,163,63.7,1
43,44,67.83,1
44,41,43.5,1
47,36,105.7,1
48,83,222.13,1
49,50,55.96,1
50,118,58.45,1
50,55,31.29,1
51,85,55.38,1
51,119,69.42,1
52,49,35.57,1
52,16,280.4,1
53,57,28.55,1
53,55,73.77,1
54,52,281.44,1
55,56,63.52,1
56,118,31.89,1
65,146,32.85,1
68,39,53.18,1
70,153,262.68,1
73,148,25.31,1
75,14,35.89,1
76,142,83.9,1
77,24,44.58,1
78,86,88.51,1
79,51,21.7,1
79,126,70.35,1
80,81,37.39,1
81,82,64.75,1
82,88,51.67,1
84,100,14.29,1
86,88,48.7,1
87,84,60.65,1
88,84,23.29,1
89,102,12,1
92,96,102.68,1
93,109,12.92,1
95,20,85.57,1
97,70,59.14,1
99,93,56.46,1
100,101,15.45,1
101,107,18.78,1
102,103,35.01,1
105,106,11.48,1
107,21,16.68,1
110,111,117.21,1
111,155,21.45,1
112,36,8.82,1
112,113,19.2,1
114,15,139.9,1
118,79,16.23,1
121,122,51,1
122,120,21.52,1
122,10,33.68,1
125,11,52.09,1
125,123,17.24,1
126,80,30.74,1
128,135,26.27,1
129,134,25.53,1
130,76,33.84,1
131,122,27.06,1
132,10,26.54,1
133,136,30.2,1
134,44,23.95,1
135,68,46.81,1
136,139,42.56,1
137,141,27.13,1
138,131,27.52,1
139,132,28.08,1
140,8,22.96,1
142,137,77.34,1
144,75,11.75,1
145,144,20.73,1
146,147,35.28,1
150,151,70.49,1
153,2,95.73,1
155,156,30.89,1
155,112,75,1
158,54,114.36,1
159,161,64.19,1
148,149,17,1
14,130,71.07,1
130,140,81.86,1
76,121,16.41,1
121,75,52.9,1
75,74,49.69,1
83,87,17.1,1
87,23,26.19,1
61,54,98.08,1
3,2,102.52,1
67,3,88.91,1
5,4,36.29,1
67,5,127.19,1
23,8,98.08,1
139,9,86.98,1
123,12,51.44,1
22,13,26.86,1
158,15,23.25,1
60,16,928.46,1
33,18,31.63,1
27,18,76.06,1
68,19,188.47,1
111,20,29.98,1
100,21,19.85,1
18,22,22.69,1
89,23,25.94,1
9,24,33.19,1
13,25,34.19,1
29,28,40.88,1
31,29,28.41,1
25,30,62.51,1
151,31,90.19,1
35,34,37.01,1
65,35,25.9,1
36,37,14.89,1
113,38,62.17,1
38,39,52.1,1
68,42,13.68,1
133,43,24.38,1
46,45,16.93,1
47,46,43.6,1
9,47,55.6,1
62,48,13.3,1
54,57,19.78,1
117,58,69.19,1
51,59,35.9,1
63,61,269.12,1
114,62,32.88,1
17,63,187.16,1
5,65,148.02,1
2,66,15.28,1
66,67,98.1,1
97,68,25.63,1
74,73,104.46,1
141,76,12.83,1
80,78,23.13,1
86,78,74.67,1
116,80,17.18,1
21,89,38.41,1
109,91,92.58,1
93,92,28.77,1
92,94,148.72,1
110,95,15.65,1
21,99,43.04,1
99,102,10.14,1
96,104,21.82,1
105,104,160.07,1
45,105,17.32,1
90,109,104.08,1
104,110,112.86,1
37,113,11.66,1
81,114,184.39,1
117,116,30.56,1
15,116,49.39,1
126,117,15.59,1
78,119,29.97,1
34,120,36.51,1
144,123,54.45,1
119,126,22.71,1
128,129,42.56,1
132,131,30.52,1
133,132,40.1,1
134,133,68.18,1
135,134,43.01,1
41,135,25.63,1
37,136,48.9,1
137,138,35.78,1
138,139,30.24,1
142,140,27.9,1
131,141,37.71,1
77,142,21.53,1
145,143,16.26,1
120,145,34.45,1
29,150,38.97,1
46,157,45.71,1
161,158,15.6,1
160,159,75.79,1
58,160,43.11,1
40,162,49.69,1
149,6,17,1
149,7,17,1
140,142,27.9,1
142,76,83.9,1
76,121,16.41,1
121,75,52.9,1
75,14,35.89,1
14,48,82.78,1
48,83,222.13,1
23,8,98.08,1
8,77,26.18,1
77,142,21.53,1
142,76,83.9,1
74,12,63.32,1
12,123,51.44,1
123,144,54.45,1
144,75,11.75,1
75,14,35.89,1
54,158,114.36,1
158,15,23.25,1
15,114,139.9,1
114,62,32.88,1
62,61,13.43,1
80,81,37.39,1
116,80,17.18,1
106,105,11.48,1
26,27,25.38,1
2,66,15.28,1
42,68,13.68,1
102,99,10.14,1
52,49,35.57,1
85,51,55.38,1
59,51,35.9,1
