node u,node v,length,label
1,110,281.54,0
2,15,28.21,0
3,4,225.15,0
4,49,104.88,0
4,103,264.24,0
6,7,193.08,0
7,58,3.85,0
9,10,39.68,0
9,113,111.56,0
10,12,40.34,0
10,107,384.46,0
11,65,19.67,0
12,11,9.31,0
14,95,77.79,0
15,93,9.74,0
16,9,99.03,0
16,115,131.25,0
17,16,29.29,0
18,19,40.31,0
19,122,26.28,0
20,97,27.51,0
20,100,39.63,0
21,19,45.15,0
22,24,26.35,0
22,15,117.30,0
23,25,23.76,0
23,20,43.28,0
24,26,24.92,0
24,23,57.90,0
25,27,16.74,0
26,28,23.27,0
26,23,27.57,0
27,100,41.71,0
28,25,27.26,0
29,3,15.67,0
30,27,31.11,0
30,104,336.62,0
32,33,10.36,0
32,3,25.12,0
33,36,24.35,0
33,22,131.37,0
34,32,19.05,0
34,45,163.73,0
35,30,65.30,0
35,37,22.99,0
36,38,24.67,0
36,24,131.65,0
37,40,31.13,0
37,31,60.68,0
38,39,23.79,0
38,26,130.78,0
39,41,17.39,0
39,28,130.34,0
41,35,62.14,0
41,42,24.25,0
43,46,51.32,0
45,44,51.28,0
45,48,107.23,0
46,47,126.84,0
46,34,216.83,0
49,45,137.87,0
50,5,122.36,0
50,51,71.38,0
51,105,40.89,0
51,52,102.38,0
52,66,76.18,0
52,67,140.74,0
53,56,14.89,0
53,50,495.00,0
54,59,81.10,0
54,68,211.27,0
55,57,378.45,0
57,7,25.15,0
57,60,46.19,0
58,61,32.77,0
58,64,78.00,0
59,111,35.87,0
62,54,220.41,0
62,112,41.04,0
63,74,5.09,0
63,60,28.42,0
64,63,12.85,0
64,79,3.22,0
65,117,51.48,0
67,55,16.71,0
67,68,72.42,0
68,69,33.10,0
69,55,50.73,0
70,78,99.31,0
71,73,109.21,0
73,71,21.65,0
74,62,24.35,0
74,2,169.79,0
75,71,37.80,0
76,73,18.61,0
76,59,84.56,0
77,76,18.88,0
77,59,60.62,0
78,84,48.36,0
79,8,17.03,0
80,73,35.36,0
80,75,27.46,0
81,77,18.87,0
81,86,36.35,0
82,76,32.09,0
82,80,16.18,0
83,77,29.50,0
83,82,19.43,0
84,90,26.54,0
84,72,99.70,0
85,81,25.57,0
85,65,28.91,0
86,83,20.56,0
86,116,25.29,0
87,89,33.81,0
87,91,164.78,0
88,56,205.30,0
89,78,36.55,0
89,90,55.44,0
90,88,26.23,0
91,92,124.69,0
93,99,134.92,0
93,92,11.62,0
95,126,115.98,0
96,95,26.06,0
96,98,88.97,0
97,18,48.32,0
97,21,40.51,0
98,99,28.64,0
98,96,47.71,0
99,101,24.35,0
100,21,28.10,0
101,29,50.03,0
101,94,104.11,0
103,102,7.56,0
103,87,217.34,0
107,106,97.56,0
108,1,303.51,0
108,111,126.57,0
109,114,56.54,0
109,107,58.50,0
110,11,114.56,0
110,108,39.07,0
111,85,35.63,0
112,75,31.21,0
112,116,103.61,0
113,109,188.18,0
115,113,40.00,0
115,121,131.80,0
116,2,38.13,0
117,2,26.51,0
117,118,15.91,0
118,119,33.74,0
118,12,92.31,0
121,123,108.48,0
121,120,31.46,0
122,17,42.72,0
122,18,55.26,0
123,124,24.39,0
123,17,64.10,0
125,13,191.19,0
127,53,405.66,0
29,94,140.00,1
94,14,31.00,1
14,126,26.00,1
126,13,5.00,1
13,91,17.00,1
91,8,42.00,1
79,92,157.84,1
69,60,21.19,1
